name,price,review
Dr Zoe Edwards,19.0,"""Perspiciatis laudantium ut; Deleniti ab eligendi ratione architecto , Dolore id deserunt"""
Miss Frances Banks,50.0,"""Note: Atque fuga illum, then Itaque tempore"""
Heather Hall,48.0,"""Note: Soluta distinctio ex, then Sint temporibus perspiciatis nesciunt"""
Luke Williams,,"""Asperiores placeat sint; Recusandae fuga magnam eum , Pariatur aliquam dolorum accusamus saepe"""
Miss Ashleigh Nash,72.0,"""Eius totam dolor enim natus velit; Voluptate ea dolorem , Quis distinctio"""
Frances Jones,56.0,"""Eius autem; Odio , Commodi officiis quod"""
John Woodward,56.0,"""Note: Perspiciatis repudiandae, then Iste facilis totam exercitationem ab adipisci"""
Mrs Shirley Price,7.0,"""Note: Odio dicta magni sint, then Voluptatum enim necessitatibus"""
Annette Taylor,90.0,"""(At quis) , Repudiandae and Rem porro"""
Kenneth Foster,65.0,"""Eaque repellendus modi nisi, Exercitationem temporibus iusto Quis aperiam accusamus quas"""
Miss Denise Oliver,61.0,"""Note: Cupiditate soluta in tenetur reprehenderit, then Architecto"""
Miss Diana Davis,63.0,"""Alias temporibus, Dolore Omnis rem deserunt"""
Hilary James-Riley,56.0,"""Tenetur minus tenetur: Eveniet ducimus, Inventore tenetur iure impedit facilis vel"""
Stuart Cook-Jackson,42.0,"""Reprehenderit repudiandae: Soluta voluptas voluptate eaque, Corrupti odit veniam consequatur"""
Mr William Smith,43.0,"""(Temporibus) , Velit veritatis recusandae eius nemo and Illo voluptatum ea enim"""
Justin Jones,85.0,"""Debitis numquam; Ipsum quas iste , Exercitationem odit"""
Dr Dale Reeves,58.0,"""Consectetur ducimus; Veritatis similique commodi voluptas dolores , Deleniti sit reiciendis impedit"""
Charlene Hall,98.0,"""Note: Minima pariatur molestiae, then Consequatur voluptates explicabo saepe earum"""
Charlene Hill,83.0,"""Maiores sunt atque maiores tempore ut; Suscipit a quidem , Dolorem amet aliquam dolorem nam consequuntur"""
Suzanne Khan,28.0,"""Natus incidunt, Laborum delectus odit Ad dolores quaerat quibusdam dolore"""
 ,27.0,"""Molestiae quos ducimus; Ab tenetur deserunt , Autem quam"""
Mr Sean Dunn,47.0,"""Illo maiores; Quod sequi , Illo in"""
Mr Ashley Bird,73.0,"""Labore numquam: Autem animi quibusdam quasi veniam quam, Inventore facere officiis"""
Amber Preston,45.0,"""Corporis optio; Culpa a amet , Et nemo"""
Clive West,5.0,"""Fuga laboriosam enim; Repellendus molestias nemo , Facilis quam necessitatibus ipsum"""
Sharon Kaur,43.0,"""Vitae cupiditate, Sapiente Facilis beatae omnis inventore"""
Irene Jones,7.0,"""(Aperiam reiciendis voluptates) , Molestias fugiat possimus quia and Perferendis doloremque voluptatem quam"""
Kelly Smith,78.0,"""Possimus omnis ratione; Fuga , Sunt deleniti assumenda"""
Miss Dawn Grant,18.0,"""(Aspernatur sequi incidunt) , Ut fuga and Voluptate"""
Ricky Butler,74.0,"""Note: Commodi blanditiis, then Dicta repellendus ipsam"""
Mrs Olivia George,6.0,"""Note: Officiis, then Harum ex"""
