# This is a comment line to skip
name,username,price,score,salary,note
Frank Baker,frank_baker_9233,28.0,91.1,37.2,"""Note: Spring also gun, then Choice"""
Alexa Smith,alexa_smith_8463,50.0,50.1,46.2,"""Avoid determine wish, Board phone Whether tell"""
Courtney Wolf,courtney_wolf_4392,73.0,46.1,63.2,"""Deal short; Than push song , Around oil amount stuff"""
Christopher Valenzuela,christopher_valenzuela_6390,12.0,65.1,27.2,"""Key hour represent situation nearly contain: Change hour western occur sense, Interview operation consider dinner table"""
Daniel Hart,daniel_hart_6716,13.0,91.1,46.2,"""(Plant) , Six everything and Accept successful"""
Brandon Roth,brandon_roth_7001,94.0,89.1,23.2,"""Consumer morning perform: Provide however, Charge sound employee wall close the"""
James Roberts,james_roberts_7214,82.0,66.1,54.2,"""(Trade perhaps maybe value) , Glass indicate without also trade and Board employee"""
Alexa Cordova,alexa_cordova_1757,94.0,36.1,92.2,"""Note: Garden example north contain moment few, then Our return according"""
Joshua Moreno,joshua_moreno_3204,94.0,89.1,72.2,"""(Week above central) , Stand and Seat prepare"""
Gene Simpson,gene_simpson_5557,50.0,57.1,61.2,"""Always more baby race, Include one stuff travel future general Service opportunity cut play"""
Jaclyn Wright,jaclyn_wright_6031,25.0,32.1,46.2,"""Billion debate friend trade: Behind contain model direction, Ago environmental"""
James Morton,james_morton_9700,33.0,43.1,26.2,"""Note: Site present push, then Something cup"""
Melissa Chen,melissa_chen_8207,68.0,44.1,1.2,"""Book: Minute, Behavior clearly sound environment suggest"""
Megan Estrada,megan_estrada_8216,17.0,92.1,11.2,"""(Firm experience whether team easy) , Wind peace and Outside"""
Michael Hinton,michael_hinton_1700,58.0,7.1,34.2,"""(Side) , Subject way office question well ever and Personal democratic high many"""
l,danielle_mendoza_8715,73.0,80.1,44.2,"""Baby left year, Account sell Real so"""
Diane Smith,diane_smith_3715,58.0,50.1,90.2,"""(Quite husband) , Former role marriage major and View different"""
Karen Silva,karen_silva_5216,98.0,13.1,16.2,"""Per order father wide: Factor be kind cost, Society"""
Jonathan Sweeney,jonathan_sweeney_2546,23.0,,55.2,"""(Quality authority artist hundred particularly) , Form old sister give pretty product and Quality instead raise"""
Amy Perez,amy_perez_4564,62.0,9.1,90.2,"""Cause wind want; Line baby alone , Bad gun personal"""
Christopher Thompson,christopher_thompson_2662,18.0,8.1,74.2,"""Happen yourself final; Through skill benefit minute , Himself visit use course partner"""
Dean Hill,dean_hill_4754,70.0,43.1,48.2,"""Wall necessary production everyone, Do Hundred bag surface finish argue"""
Alexandra Black,alexandra_black_2636,14.0,32.1,90.2,"""Up able know, Color wait present despite play other Focus tough life thousand claim paper"""
Amanda Scott,amanda_scott_8381,24.0,50.1,40.2,"""Investment beyond, Between everybody record least Body exactly tax"""
Stephanie Douglas,stephanie_douglas_3560,13.0,99.1,11.2,"""Whatever serious specific response, Community soldier school Just"""
Richard Rodriguez,richard_rodriguez_9304,2.0,53.1,86.2,"""Cost institution its: Strategy explain, Always seem"""
Jose Kelley,jose_kelley_4345,10.0,71.1,72.2,"""Collection plant everything sort young: Page couple and challenge, Finally"""
Raymond Santiago,raymond_santiago_6763,38.0,32.1,3.2,"""(Policy role outside eat) , Arrive exist and East"""
Stephen Garza,stephen_garza_9370,62.0,87.1,39.2,"""Note: Recognize hard, then Trade discussion prove"""
Scott Ortiz,scott_ortiz_7673,78.0,68.1,24.2,"""Good: Population line, Say"""
Andres Shaw,andres_shaw_2198,73.0,31.1,97.2,"""(Congress second laugh) , Weight and Mrs where"""
Marie White,marie_white_9045,86.0,72.1,23.2,"""Employee night spring: Understand, Eight off floor month"""
Martha Allen,martha_allen_0252,62.0,38.1,83.2,"""Mission fill executive commercial hospital; Activity American , Movie blue plant leader project responsibility"""
Melissa Frederick,melissa_frederick_5803,89.0,56.1,73.2,"""Also argue you fill current, Around anything PM Project quite get"""
Michael Marshall,michael_marshall_2439,67.0,52.1,56.2,"""(Scene establish particular) , Under pretty and Into expect according"""
Peggy Rivera,peggy_rivera_5750,16.0,85.1,78.2,"""Note: Free assume sport arrive, then Film see"""
Linda Mcdaniel,linda_mcdaniel_4594,94.0,95.1,59.2,"""Note: That score above operation cost, then Home collection"""
James Myers,james_myers_0619,71.0,50.1,92.2,"""(Relationship home huge role) , Miss and Born term"""
Jeff Mercer,jeff_mercer_5036,82.0,2.1,62.2,"""Thousand various base; Than explain health , Still energy"""
Sharon Benson,sharon_benson_4933,55.0,12.1,74.2,"""Person tree happy better; Defense difference develop great agency stand , Fish suggest big"""
Nicole Ross,nicole_ross_9712,45.0,75.1,53.2,"""Note: Agent language, then Policy"""
Laura Simmons,laura_simmons_4623,54.0,52.1,62.2,"""(News) , Camera outside and Drop similar exactly edge ground"""
John Gill,john_gill_6358,71.0,99.1,,"""Health bill their billion such; Great hour , When group identify bank"""
Michele Vazquez,michele_vazquez_6786,48.0,55.1,93.2,"""Century almost vote necessary gun; His small somebody full , General board"""
Bradley Harmon,bradley_harmon_8530,22.0,79.1,63.2,"""Keep full course; A argue education research , Produce"""
Aimee Howard,aimee_howard_5736,46.0,58.1,41.2,"""Note: Tend continue, then Happen city worker debate"""
Daniel Horton,daniel_horton_1793,,69.1,11.2,"""(Wind country movement learn) , Everything and Defense"""
Brent Holmes,brent_holmes_6901,19.0,43.1,60.2,"""(Country house eight) , A political guy and Expert a human"""
Diana Reyes,diana_reyes_2829,1.0,51.1,70.2,"""Note: International, then Live cold mean"""
