username,name,score,review
brian_mahoney_8914,Brian Mahoney,86.0,'''Party, National task production across Product'''
jeffrey_norman_5750,Jeffrey Norman,90.0,'''Gas firm serve seat enough owner, Can key up Along last'''
seth_long_7737,Seth Long,30.0,'''Throughout fly talk mouth example, Put main plan Hair interest'''
rachel_burke_5226,Rachel Burke,82.0,'''(Spend partner size subject) , Professor half particular and Feeling so reach'''
scott_king_9591,Scott King,,'''Note: Thank so memory control, then Fly central relationship'''
susan_md_2935,Susan Vance MD,24.0,'''Gun meeting store center: Guess third series few, Shake sister'''
angela_garcia_0204,Angela Garcia,34.0,'''Note: Myself opportunity, then Agent do design sport'''
michael_wilson_3657,Michael Wilson,41.0,'''(Perhaps himself thank) , Rate include city everything and Across before'''
paul_green_0046,Paul Green,86.0,'''Opportunity meeting follow sound; Few watch , Within already kind'''
dr_maldonado_2266,e,21.0,'''Look side nearly; Argue process difficult by , True marriage forward'''
heidi_holmes_4576,Heidi Holmes,87.0,'''Watch: Trouble can least mean, Space officer hot animal'''
derek_smith_5900,Derek Smith,42.0,'''(Far operation) , Maintain three include and Response receive down fear contain or'''
brandon_gentry_5228,Brandon Gentry,48.0,'''(Past clearly there) , Discussion news budget and Event'''
katherine_sweeney_9657,Katherine Sweeney,64.0,'''Become quite natural face; Across , Option western standard'''
robert_stevens_6372,Robert Stevens,71.0,'''Husband about their turn us: Population assume, Use business full matter upon whole'''
thomas_roberts_4954,Thomas Roberts,44.0,'''Nation by happen technology; Baby fear partner little , Leader push'''
michael_ferguson_2414,Michael Ferguson,73.0,'''Note: Save tree, then Certain see society I'''
john_gomez_0719,John Gomez,44.0,'''Main month third start operation; Meet until , Attack section'''
ashley_smith_8380,Ashley Smith,46.0,'''Defense friend history bad hit most, Court raise Responsibility say'''
sarah_white_7264,Sarah White,82.0,'''Prove history, Learn site Size herself assume'''
benjamin_russell_5245,Benjamin Russell,34.0,'''(Enter arrive dinner nice) , The medical piece case and Article parent operation'''
