# This is a comment line to skip
username;name;score;price;message
mr_hope_2203;Mr Bradley Hope;78.0;84.1;"""Velit; Voluptates quaerat corporis rerum Facere totam autem eligendi"""
albert_anderson_4283;Albert Anderson;45.0;66.1;"""Voluptatibus dicta ex: Voluptates dolorem magni consectetur cumque; Unde"""
bernard_cooper_7262;Bernard Cooper;62.0;35.1;"""Nihil incidunt assumenda; Quis Molestiae laborum"""
daniel_patel_5286;Daniel Gough-Patel;53.0;3.1;"""Quaerat consectetur ut: Doloremque; Eaque aliquid quaerat"""
mrs_roberts_9892;Mrs Elaine Roberts;66.0;84.1;"""Laboriosam ea; Iste ad sed cupiditate Libero"""
tracey_vincent_8285;Tracey Vincent;30.0;15.1;"""Odit sint labore aperiam minus quae; Neque omnis libero et Iure"""
beverley_hunt_7465;Beverley Hunt;4.0;80.1;"""Note: Praesentium recusandae similique iure minima aut; then Voluptatum quod repellat iure sit"""
mr_scott_0832;Mr Wayne Scott;35.0;70.1;"""Magnam ab iusto: Voluptate repudiandae a iure; Eaque nam asperiores quod a"""
dr_douglas_7455;Dr Iain Douglas;2.0;73.1;"""(Sint deleniti) ; Cumque and Repellat sit"""
dennis_clarke_6932;Dennis Clarke;3.0;;"""Ipsum soluta corporis optio at: Omnis hic necessitatibus; Officia adipisci harum consequatur fugit"""
dr_mckenzie_0746;Dr Judith McKenzie;65.0;73.1;"""(In doloremque dolor) ; Ex blanditiis quisquam consectetur numquam adipisci and Inventore"""
catherine_webb_9395;Catherine Webb;53.0;14.1;"""(Ab velit) ; Soluta nesciunt and Perferendis reiciendis ipsum minus"""
sharon_evans_8581;Sharon Evans;33.0;75.1;"""Note: Perspiciatis sint; then Possimus quibusdam nemo"""
eric_taylor_2755;Eric Taylor;67.0;68.1;"""Note: Nam esse; then Mollitia"""
arthur_ward_9750;Arthur Stewart-Ward;74.0;14.1;"""Deleniti incidunt distinctio asperiores quis; Reiciendis Tenetur provident qui accusantium"""
diana_brien_6138;Diana Schofield-O'Brien;83.0;72.1;"""Note: Voluptates quasi; then Dolore consequuntur"""
marc_dickinson_7650;Marc Dickinson;73.0;87.1;"""Alias quo esse quaerat dolorem; Cupiditate laborum laboriosam eaque Repudiandae"""
mrs_wood_9242;Mrs Kate Wood;68.0;78.1;"""Note: Rerum incidunt aliquid minima; then Nobis dignissimos saepe corrupti"""
