# This is a comment line to skip
username,price,remark,review
kyle_johnson_0503,90.0,"""Note: Accusantium omnis assumenda, then Esse dolorem qui""","""Alias; Dolores consequuntur amet quas sunt , Error eos"""
jack_rhodes_9179,100.0,"""Nisi dolorum ipsa; Eius at laudantium at , Perferendis minima""","""(Vero minima iusto incidunt) , Saepe dolorem dicta and Exercitationem cumque odit nobis"""
jake_walker_7469,8.0,"""Debitis magni sunt: Repellat ducimus quis est nisi, At earum facilis""","""Qui officiis sint quibusdam neque; Quisquam consequuntur voluptas , Error ipsam quas"""
callum_franklin_8000,18.0,"""Laborum quibusdam; Saepe magnam doloremque , Molestias praesentium""","""Facilis tempore labore; Repellat quo vero , Facere"""
paul_stewart_3226,52.0,"""Note: Numquam minus sed praesentium, then Similique quaerat mollitia""","""(Ea laudantium dolore soluta) , Ex molestias and Repellat quae"""
teresa_jones_4978,31.0,"""Note: Ullam alias fugit veritatis, then Impedit""","""(Nisi) , Nam sequi mollitia vitae voluptatem and Laboriosam"""
ms_james_9252,63.0,"""Dolor, Quisquam facilis fuga Vitae ea fugit""","""Iure autem; Accusantium , Provident non"""
caroline_wilkins_7391,46.0,"""Note: Sapiente inventore soluta, then Ducimus""","""Beatae labore; Pariatur sapiente ipsum magni aspernatur exercitationem , Quae debitis labore"""
kayleigh_edwards_6569,46.0,"""Neque praesentium quia, Iste saepe Inventore reiciendis""","""Unde eos, Facere quia Laboriosam enim quam"""
miss_butler_7283,28.0,"""Optio in voluptatibus ad voluptatum ipsam, Cum voluptatem magnam ratione quos Corrupti repudiandae quidem""","""Doloribus illo eaque eaque: Asperiores vel reiciendis aliquid necessitatibus facere, Maxime laborum"""
ms_haynes_6202,91.0,"""Repellendus similique enim officiis dolores: Exercitationem vel eveniet, Explicabo repellat ad""","""Iusto dolores eaque: Harum cupiditate voluptatem totam dolorum, Impedit explicabo"""
kirsty_bailey_7545,32.0,"""Velit repellendus aliquam; Deleniti itaque , Doloremque possimus est""","""Note: Quibusdam id facere, then Ipsa quod"""
charlie_burke_5562,46.0,"""A incidunt; Dicta maxime , Quas natus temporibus in quo""","""(Deserunt maiores) , Itaque error commodi and Necessitatibus eveniet aspernatur accusamus"""
karen_walsh_6027,48.0,"""Note: Quisquam repellendus reiciendis, then Corrupti iusto temporibus""","""Laboriosam iste ad, Officiis Odio corporis commodi iure"""
lindsey_ellis_0918,13.0,"""Eius ducimus quas: Nisi, Dignissimos adipisci quibusdam""","""Note: Itaque sunt, then Possimus similique"""
ann_walker_0443,97.0,"""Note: Cumque ab rerum, then Optio explicabo""","""(Aut nemo eligendi fuga) , Ea recusandae voluptate and Magnam amet at"""
connor_wood_3876,91.0,"""Note: Sunt cum aliquam consequatur ratione, then Tenetur""","""Note: Possimus repudiandae, then Quaerat alias facilis culpa"""
keith_white_2983,6.0,"""Note: Excepturi architecto quae iusto, then Laudantium""","""Recusandae temporibus; Eum voluptatum porro nostrum , Veritatis excepturi explicabo fugiat laudantium"""
charlie_clark_5749,10.0,"""Cumque incidunt: Optio dicta ullam, Est""","""Eligendi; Ratione ipsa , Quidem atque repellendus"""
gary_hawkins_7169,57.0,"""Note: Debitis necessitatibus praesentium, then Pariatur doloribus""","""Repudiandae nihil tempora iure eos impedit; Fuga doloremque , Esse"""
joan_brown_1062,45.0,"""Non occaecati; Similique , Esse quia aperiam quisquam""","""(Rem voluptates) , Animi eaque eveniet accusamus and Maiores unde eius"""
ms_johnson_3205,4.0,"""(Quia saepe soluta) , Maxime tenetur aut commodi esse amet and Laboriosam""","""Note: Mollitia odio animi veritatis architecto consequatur, then Distinctio corrupti hic ad"""
donna_wilkinson_6413,65.0,"""Note: Consequatur laborum molestias, then Deleniti modi""","""Officiis sit atque similique dignissimos, Enim quod recusandae ea Alias delectus"""
gary_brown_1709,55.0,"""Tempore error; Occaecati consequuntur in , Ad magnam""","""Note: Harum in nulla architecto, then Iste culpa"""
brandon_parkin_1801,87.0,"""(Magni est) , Commodi and Doloremque ab""","""Note: Facere atque nihil cupiditate, then Blanditiis asperiores"""
james_johnson_7472,63.0,"""(Impedit quasi) , Laborum recusandae and Asperiores cumque sit officiis""","""Nam reprehenderit ipsum voluptatibus inventore; Impedit autem distinctio eaque qui consequuntur , Repudiandae dolorum"""
holly_smith_6083,94.0,"""Note: Excepturi facilis, then Cumque tempora illo facilis""","""Nam voluptas blanditiis quae; Incidunt numquam , Blanditiis a quae vero dolores"""
