# This is a comment line to skip
name,price,salary,comment,note
Ryan Stuart,36.0,2.1,'''Note: Compare suddenly practice politics action, then Early during''','''Official rather cup leave, Car join recently Suddenly crime'''
Donna Anthony,46.0,5.1,'''Hit, Change several kind Away seat generation prove democratic''','''Usually hear, What no Listen'''
Molly Sullivan,26.0,15.1,'''Note: Form campaign house could, then Blood health not name''','''Nature; Past mission effort , Middle recent second reduce'''
Troy Walter,30.0,97.1,'''Note: Me foot your three, then Happy appear increase''','''(Worry whether middle) , Seek budget American and Service interesting mission tree'''
Kenneth Richard,66.0,80.1,'''World: Live Mr effort, Few war''','''Future mission: Protect sign toward job, Much key'''
Kendra Olson,34.0,25.1,'''Economy; What action central , Just so''','''Tree customer hard support; Amount provide , Far consumer population'''
Jordan Stone,68.0,21.1,'''(Point myself inside) , Scene minute physical and Senior last herself''','''International; Ever trouble , Page politics'''
Scott Hall,41.0,68.1,'''Note: Second life smile once, then Money produce card federal''','''(Visit final) , Require responsibility and Until television'''
Maria Smith,5.0,99.1,'''Note: Because industry street view her, then Unit''','''Station letter, Us Their American'''
Brian Hernandez,52.0,1.1,'''Should soon positive standard help: Audience study she, Before tough public''','''Door cause choose, Score chance thing conference Difference'''
Richard Burns,13.0,89.1,'''Note: Over, then Letter seven thing''','''Particularly candidate need check sea, Really Executive car player interview'''
Alexander Lloyd,66.0,61.1,'''Discover my, Letter various degree Lawyer important''','''(Church suggest use according) , Show prevent and Force kind decade cell already play'''
Allison Hill,31.0,34.1,'''Deal: Wind item, Up check discover''','''(Few occur system) , Rather and Environmental institution'''
William Padilla,10.0,78.1,'''(Some civil) , See enjoy last two and Nature everybody note''','''(City executive this hundred father) , Work and Able sense'''
Colin Miller,83.0,79.1,'''Be, Business Lead big''','''Good single itself understand: Finish avoid despite weight, Board dinner'''
Jessica Williams,98.0,47.1,'''Western tax speak: Contain new occur, Language more''','''(Manager industry) , Wrong grow production and Mr can none often'''
Craig Knight,14.0,69.1,'''Source have house theory maybe, Hope religious relationship guy Building material sit''','''Truth which, Floor voice Field smile human compare'''
Stephen Ward,71.0,18.1,'''Product almost structure against: Face hand return, Research whom ok answer''','''(Return nice entire none and) , Science director and Thing'''
Linda Zamora,11.0,,'''Worker record support; Fund , Police movie''','''(Hard adult) , Which recently old imagine and Draw population'''
Melissa Norman,97.0,99.1,'''Note: Identify boy, then Ok''','''Thousand focus trade on, Wall something With national church'''
