name,username,score,age,rating,comment
Frank Morris,frank_morris_5225,33.0,12.1,8.2,'''Develop dinner certain: Or sell, People while future'''
Madeline Gonzalez,madeline_gonzalez_5576,29.0,37.1,100.2,'''Theory school, Remain knowledge Little class'''
Alyssa Kelly,alyssa_kelly_8148,44.0,72.1,24.2,'''Edge as air purpose, Near window enter pick Production various'''
Emily Andrews,emily_andrews_8047,44.0,67.1,29.2,'''(Ground north) , Develop south and Cell'''
Donna Gray,donna_gray_8628,3.0,37.1,19.2,'''Structure look final, Big Adult outside nice'''
Richard Christian,richard_christian_3356,83.0,5.1,90.2,'''Can force son; Much recent , Especially admit'''
Julia Brock,julia_brock_3364,40.0,9.1,80.2,'''Assume run cultural: Detail Congress style, Chair scientist'''
Steven Taylor,steven_taylor_4325,75.0,38.1,51.2,'''Color late: Down have current, Glass air'''
Jennifer Williams,jennifer_williams_9371,69.0,81.1,88.2,'''(Play save tough off large act) , Total research and Wind'''
Tiffany Ruiz,tiffany_ruiz_1269,17.0,88.1,37.2,'''Note: Gas, then Save'''
Jeremy Porter,jeremy_porter_6299,59.0,100.1,71.2,'''Eye trade list focus win: I billion onto off, Oil catch into be bank hair'''
Steven Brown,steven_brown_9778,31.0,95.1,43.2,'''His left, Left term firm Professor wall large'''
Isaac Cunningham,isaac_cunningham_3459,60.0,50.1,70.2,'''Executive chair eye read price home, Against truth though Role big middle'''
Christine Santiago,christine_santiago_4972,13.0,64.1,49.2,'''Image anything: Sing natural conference parent, Play anything many never'''
Yolanda Johnson,yolanda_johnson_4775,83.0,99.1,31.2,'''Bit board, View true They according Congress important amount sort'''
Melissa Clay,melissa_clay_0428,88.0,20.1,25.2,'''Nice; Cover the contain , Performance eye doctor'''
Andrew Schroeder,andrew_schroeder_1422,8.0,38.1,45.2,'''Visit media, Effort Support seven someone'''
Beverly Young,beverly_young_4278,86.0,71.1,46.2,'''Rather, Personal audience ahead every among box Garden memory inside'''
Albert Santos DDS,albert_dds_8937,63.0,78.1,54.2,'''(Lay property personal material gas) , Dog different and Daughter'''
Paula Hayes,paula_hayes_6452,66.0,34.1,99.2,'''Bed interesting eye; Meeting , Eye friend recently'''
Lauren Cortez,lauren_cortez_8098,77.0,98.1,8.2,'''(Modern would) , Oil market to and Moment ago'''
Thomas Hernandez,thomas_hernandez_6220,64.0,12.1,3.2,'''Down tough; It before sit seek , Range animal'''
Kim Carlson,kim_carlson_2431,74.0,46.1,57.2,'''Popular though; Budget until , Past do example heart describe'''
Gary Barrett,gary_barrett_5322,72.0,1.1,86.2,'''Tend particularly record would if resource; Again area , Successful important show'''
Nicholas Castro,nicholas_castro_5256,69.0,92.1,37.2,'''Note: Fast always, then Me full person'''
Gregory Douglas,gregory_douglas_4774,,89.1,59.2,'''Network miss mean, Source local remain care trip Court blood'''
David Howard,david_howard_0736,94.0,19.1,58.2,'''Poor speech, Cost explain threat once Simply half'''
Mark White,mark_white_6988,78.0,47.1,26.2,'''Son Congress; Region owner seven daughter , Evening this'''
James Burgess,james_burgess_1329,60.0,34.1,,'''Note: Public candidate, then Then matter'''
Louis Cooper Jr.,louis_jr_4859,49.0,53.1,86.2,'''Note: Southern he why, then Travel mean add'''
Rodney Lee,rodney_lee_3726,31.0,49.1,68.2,'''Building small, Air stand talk List probably television discussion production'''
Suzanne Riley,suzanne_riley_8687,60.0,33.1,72.2,'''Pattern: Role big, Quite fill religious reality'''
Kathryn Smith,kathryn_smith_5431,55.0,9.1,88.2,'''Note: Debate family daughter, then Third this detail yourself man'''
Anne Jackson,anne_jackson_9509,92.0,61.1,24.2,'''Cover strategy blue; Little time at way think , Pretty'''
Elizabeth Craig,elizabeth_craig_4214,2.0,94.1,40.2,'''Note: Which identify, then Candidate'''
A,jeffrey_hoffman_3652,15.0,85.1,80.2,'''(Owner hot guy finish) , Lead and Them quality'''
Christopher Salinas,christopher_salinas_4380,43.0,85.1,47.2,'''Note: Better position, then American page window natural'''
Chris Scott,chris_scott_5827,7.0,,12.2,'''Read; Property form floor , My cost'''
Jeremy Best,jeremy_best_3342,94.0,58.1,37.2,'''Stand: Whole country occur, Wife'''
Randall Harris,randall_harris_9432,38.0,54.1,4.2,'''Note: Under television, then Rather hand'''
Donald Munoz,donald_munoz_2651,87.0,17.1,89.2,'''(Doctor) , Mention price work and Positive early tell onto write'''
