name;total_count;review;remark
Sally Khan;35.0;'''Note: Inventore laboriosam temporibus eligendi; then Magnam ut''';'''Ullam aliquid dolore suscipit: Aliquam quisquam porro; Perspiciatis iure reprehenderit'''
Dr Nigel Fraser;59.0;'''Amet atque eos porro; Ipsam repellat ea ; Ab''';'''Ducimus doloribus perspiciatis cum maxime in; Ratione ; Voluptatem totam quam'''
Mr Julian Johnson;14.0;'''Voluptates accusantium; Vero eius ; Doloremque excepturi laboriosam consectetur''';'''Vero; Aliquid ratione aspernatur ; Ut ducimus'''
Paula Bishop;88.0;'''Ipsa esse cupiditate: Odit nobis quasi eveniet; Aspernatur veritatis expedita''';'''(Blanditiis cumque) ; Sapiente voluptatem quidem quibusdam voluptatem voluptates and Magnam mollitia enim'''
Miss Lorraine Hope;60.0;'''Commodi dignissimos: Itaque ipsum debitis facilis; Dolorum nemo magnam''';'''Note: Doloremque quaerat; then Saepe ut iusto'''
Shannon Ryan-Kaur;83.0;'''Quod impedit: Repellendus vero dolorum iure eos provident; Ipsa''';'''Saepe: Enim ad non; Veniam quod'''
Terence Smith;1.0;'''Vel earum; Amet necessitatibus Quidem quisquam''';'''Deleniti sed sit corrupti numquam; Facilis ex Iste libero'''
Mr Matthew Howard;46.0;'''(Eligendi magnam eveniet soluta nisi) ; Veniam mollitia doloribus consequuntur and Soluta distinctio perspiciatis itaque''';'''Optio totam: Ut incidunt maiores beatae; Facere quae ea'''
Holly Hall;56.0;'''Note: Temporibus soluta; then Sint perferendis''';'''(Architecto) ; Similique asperiores veniam vero and Adipisci iste architecto'''
Kirsty Dodd;54.0;'''Note: Explicabo neque accusantium; then Quasi quod non consequuntur''';'''Cumque harum natus libero; In ipsa ; Ratione ab cupiditate porro blanditiis'''
l;38.0;'''Et amet: Minus quas error nisi in magnam; Dolorem optio''';'''(Nam autem) ; Aliquam and Error a'''
Robin Slater;63.0;'''(Sed nesciunt) ; Culpa dolor dolorum and Sequi quasi''';'''Aspernatur fugiat nemo: Exercitationem natus vitae eligendi; Enim aperiam similique'''
Gillian Black-Sutton;50.0;'''Quisquam quisquam nam cupiditate aliquid; Maxime omnis ; Laudantium consequuntur''';'''Cupiditate totam tempora; Expedita recusandae sequi corrupti ; Corporis dolores'''
Stephanie Morris;8.0;'''Animi; Blanditiis iure quisquam Consequuntur''';'''(Officiis provident rerum nostrum) ; Voluptatum vitae necessitatibus recusandae and Aliquam cupiditate commodi voluptas ullam ipsa'''
Fiona Thompson;5.0;'''Sit: Quos ipsam cupiditate optio; Molestias quo''';'''Inventore illum animi; Animi officia corrupti odio voluptates aut ; Consectetur illo deserunt explicabo'''
Dr Naomi Marshall;45.0;'''Voluptatibus labore: Inventore ipsam; Ab dicta''';'''(Culpa reiciendis distinctio veniam fuga) ; Officiis tenetur and Quae laborum'''
Lucy Collins;90.0;'''Iusto praesentium cum quos; Est dignissimos earum omnis ; Rerum atque''';'''Cumque distinctio: Reprehenderit ex occaecati; Earum nam odit'''
Ms Abigail Heath;95.0;'''Deserunt: Id blanditiis alias architecto; Et eum''';'''(Quidem) ; Eius labore ducimus quisquam architecto and Id et ut'''
Dr Tony Parker;43.0;'''Libero; Tempora vero officiis Ea earum''';'''(In debitis commodi facere) ; Adipisci reprehenderit quo and Doloremque reiciendis nostrum similique perferendis'''
