name;age;score;total_count;review;summary
Thomas Smith;;24.1;93.2;"""(Gun easy stay find see) ; Very land stuff use six and Teach pick""";"""Generation team society; Mother before hold write ; Public action"""
x;2.0;80.1;11.2;"""Level military; Enjoy represent care ; Smile medical scene final""";"""Note: Material reason after wall dog; then Serve month"""
Dorothy Anderson;78.0;87.1;100.2;"""Note: Fill; then West ground policy return scene""";"""Look nice significant PM; Pressure show station financial Five far continue sell sea"""
Peter Haney;3.0;52.1;85.2;"""Note: Investment key drop so; then Alone face yet""";"""Deep anything; Personal themselves analysis food loss itself Purpose simply room last it represent"""
Scott Kent;74.0;82.1;27.2;"""Show wind season: Travel; Everything including""";"""Executive mission final: Parent born; Show music find pattern"""
Evan Allen;60.0;;45.2;"""List tend garden look analysis although; Ok employee detail No everything second""";"""Couple require; Whatever fear very determine choice Difficult suddenly"""
John Gonzalez;35.0;39.1;12.2;"""Probably especially military; Might teacher red rise life Agency keep Republican try save cause""";"""Decade either per; Push democratic Usually"""
Karen Duncan;56.0;13.1;51.2;"""About; Prepare check throughout build ; Traditional answer""";"""Town recently; Factor ; Might middle ago company agreement"""
Megan Ibarra;40.0;60.1;36.2;"""(Soon could blue) ; Life analysis and Program enough evidence song mother""";"""At heart; Consider news million prevent include Back six ability"""
Monica Jackson;60.0;94.1;74.2;"""Perhaps though; Gun per safe them whom ; What campaign""";"""Note: Identify real create; then Myself message process"""
Laura Newton;98.0;62.1;6.2;"""(Deep machine) ; Involve tonight and Something become""";"""Church; Include professional ; Like baby"""
Charles Wilkins;13.0;53.1;72.2;"""Behavior daughter protect effect; Bad cultural decision Foot response""";"""Note: Home; then Box day"""
Morgan Patterson;46.0;1.1;59.2;"""(Already) ; Cold network treat and Forward recognize""";"""Get bed: Property air despite mission; Employee former shoulder win think suddenly"""
Randy Mcgee;65.0;72.1;9.2;"""Note: Nice country serious; then Politics sign a""";"""Past opportunity; Really Thought half"""
Sarah Munoz;22.0;27.1;82.2;"""Hope series; Guy Executive human different""";"""(Race) ; Detail change floor continue fire occur and Capital reach actually final race agree"""
Brian Gray;78.0;32.1;41.2;"""Material situation; Able Imagine air""";"""(Pressure notice) ; Help especially industry and Beyond reveal scientist"""
David Carter;44.0;10.1;45.2;"""Add; Stop top Happy well""";"""(Happy subject edge) ; Picture place expert and Growth other buy fire music"""
Daniel Wilson;48.0;26.1;40.2;"""Hot response production: Unit less hot partner; Four""";"""Scene; Ok American Practice"""
Amber White;39.0;57.1;41.2;"""Note: Likely international; then Happen""";"""Note: General how bag end seven; then Morning accept"""
Vincent Miller;73.0;7.1;;"""Thousand program; Camera market work Economy side point we""";"""Heart six: Maintain front city; Necessary her"""
Patricia Hansen;5.0;74.1;32.2;"""Drive professor threat above: Begin difference finally owner; Lose hundred build again think""";"""Bed audience student: Move entire reality; Law receive whatever"""
Mary Clark;49.0;93.1;71.2;"""Note: Democratic plant lot; then Girl state""";"""Medical however; Order one home movement ; Significant worker less professional"""
Scott Perez;51.0;6.1;16.2;"""(Door although line no or likely) ; Peace focus and Girl organization face name""";"""Note: Government spring; then Worry"""
Victoria Fowler;40.0;3.1;81.2;"""Note: Benefit minute Congress; then Camera finish""";"""Speak; Like record lot this up ; Price economic record business"""
Christine Johnston;26.0;47.1;41.2;"""Coach child; Crime open quickly fill ; Both theory trade""";"""(Letter general card) ; Research his and Stuff decade mother"""
Erin Cook;69.0;19.1;11.2;"""Executive may; Show Door mother water""";"""Expert member thousand summer; Miss forward ; Miss election environment challenge"""
