name	username	total_count	salary	remark	message
Nicole Harper	nicole_harper_1033	37.0	26.1	'''(Now hold prove) 	 Style generation seat with and Side while'''	'''Something indicate threat down; If player 	 Floor value'''
Kimberly Jennings	kimberly_jennings_5260	45.0	18.1	'''Note: Sell recently director history	 then Develop spend worker'''	'''Coach American; Discussion 	 Suffer top outside'''
Sherry Schmidt	sherry_schmidt_4119	19.0	43.1	'''Magazine pick: Report approach face	 Measure short'''	'''Wait bed; Human big certain admit campaign 	 Small leave'''
Stacey Richardson	stacey_richardson_1807	27.0	98.1	'''Indeed to ahead: Mind develop	 Check candidate'''	'''Necessary	 Subject Matter off'''
Kirsten Kirby	kirsten_kirby_4346	54.0		'''(Executive build like) 	 Note home and Food'''	'''Face think organization: Agent main	 Head way truth'''
Alexis Hayes	alexis_hayes_1222	100.0	6.1	'''Stay window scene father	 Claim ready from Whole blue'''	'''Note: Through I agreement give	 then Cell who purpose unit'''
Jason Fisher	jason_fisher_3611	67.0	85.1	'''Organization talk; Rather resource hope appear nor 	 Figure recognize without series four'''	'''(News effort claim more) 	 Drug teach along rock drug certain and Sort manager everyone'''
Jessica Davis	jessica_davis_4449	100.0	23.1	'''Note: Would occur huge	 then Offer risk around'''	'''Note: Speak against around among fly	 then Sense today'''
Brian Stone	brian_stone_9894	99.0	30.1	'''(Lose production baby) 	 Her table star nice from change and Page way floor close'''	'''North	 Tv in successful value choice into Hand wife easy down important'''
Cameron Castillo DDS	cameron_dds_4467	66.0	21.1	'''Standard; Exactly think training 	 Each all think board'''	'''Able expert family wrong point; All situation 	 Bit'''
Daniel Colon DDS	daniel_dds_3622	71.0	74.1	'''Base wear	 Sport trial cell Television treat keep'''	'''Painting necessary it friend feeling; Speak television seat professor 	 Mouth other night avoid'''
Barbara Church	barbara_church_8205	3.0	65.1	'''Note: Run wonder gun	 then At hot site'''	'''(Fund watch) 	 Opportunity small and Idea pick late'''
Whitney Evans	whitney_evans_2074		97.1	'''(Coach serve apply result) 	 May out and Small speak'''	'''Camera raise kind	 Else rest through long Result nice'''
Thomas Mcdonald	thomas_mcdonald_7372	10.0	81.1	'''Pass that six enough company machine	 However individual peace Hot'''	'''Audience computer	 Address use check adult Allow without as'''
Miguel Berg	miguel_berg_2886	65.0	32.1	'''Analysis high would suddenly series: Use among respond week fact likely	 Against how fall'''	'''Others blue	 Hope foot Matter perhaps model call nation character'''
Angela Fowler	angela_fowler_3128	7.0	29.1	'''Much issue score computer; Task 	 Best'''	'''(Nor of) 	 Seem ok and Within staff media movie itself'''
Christopher Wilkins	christopher_wilkins_1485	33.0	32.1	'''Town pattern show: Smile dark some particular threat much	 One base raise'''	'''(Follow production rock land) 	 Move open and Catch magazine'''
Joshua Roberts III	joshua_iii_5361	44.0	39.1	'''(Enjoy back first) 	 New design and Explain when do care week wind'''	'''Note: Economic treat tax	 then Democratic three'''
Deborah Simon	deborah_simon_6662	86.0	12.1	'''Choice appear: Inside	 Reveal factor pattern technology'''	'''Explain range beyond record	 Heavy Tax buy she'''
Sarah Riddle	sarah_riddle_5854	55.0	9.1	'''Significant above or see; Decade open hand after research 	 All check'''	'''(Rule less serve power) 	 Treat and Store compare'''
Sean White	sean_white_7729	47.0	61.1	'''Kitchen back social doctor operation; Professional whatever hair share 	 Property television'''	'''(Collection employee quickly) 	 Development yet dream and Operation fill there eight'''
Christine Mcconnell	christine_mcconnell_4283	13.0	67.1	'''He central; Speak movement wonder life 	 Subject campaign local'''	'''North stuff gun energy number; Citizen 	 Mr safe'''
Emily Nguyen	emily_nguyen_9839	63.0	6.1	'''Note: World each hotel	 then Professor appear scientist'''	'''Note: Decide	 then Will hour'''
Jeremy Clayton DDS	jeremy_dds_2090	34.0	18.1	'''Note: Easy bad	 then You'''	'''Note: Enter indicate	 then Always give'''
David Hicks	david_hicks_9549	80.0	10.1	'''Business also nor center value; Little rock one worker 	 Beat week'''	'''(Customer to argue yourself catch) 	 Daughter among state mention provide and Left else mind on practice interesting'''
Frederick Ochoa	frederick_ochoa_0719	61.0	87.1	'''(Tough manage close investment condition) 	 Bad drug say stop and Those herself'''	'''Bit along gun product quality moment: Fill	 Mr executive laugh'''
e	dr_iv_4193	61.0	4.1	'''Must weight	 Film View environment'''	'''Plan improve student	 Exist paper area Well catch'''
Tanya Walton	tanya_walton_3997	13.0	53.1	'''Start finish: Network debate we large	 Poor'''	'''Campaign example; Commercial themselves thus 	 Carry nor laugh event'''
Cynthia Ryan	cynthia_ryan_9954	76.0	51.1	'''Note: Unit right	 then Technology back want'''	'''Region: Republican experience threat coach high	 Ok large'''
Wesley King	wesley_king_9087	89.0	11.1	'''Window possible other success: Admit soldier	 Material nation surface'''	'''Family work; Worry rule allow office door 	 Hope'''
Carrie Powers	carrie_powers_6595	99.0	11.1	'''(Hundred join past) 	 Treatment study take lot carry and Right how'''	'''(Early development exactly example serious) 	 Hit seem tough and Billion on'''
Jason Lynch	jason_lynch_4922	82.0	78.1	'''Those truth; New single knowledge recently anyone international 	 Bed method tough next tax'''	'''American recently break once; Discussion for 	 Shake history remember ground'''
