# This is a comment line to skip
name;total_count;age;score;summary
Claire Jones;62.0;37.1;12.2;'''Nostrum odit quidem itaque tempora; Commodi nam excepturi dolorem repellendus suscipit Sint numquam sequi ut'''
Lynn Farmer;71.0;1.1;32.2;'''Nisi quasi harum veritatis sapiente necessitatibus; Ipsa sunt ; Ea officiis maiores'''
Barbara Edwards-Carter;93.0;46.1;35.2;'''Note: Aliquam est sit architecto soluta; then Accusamus necessitatibus molestiae'''
Colin Thompson;30.0;3.1;91.2;'''(Dolorem placeat porro occaecati accusantium) ; Voluptatum doloribus nemo consectetur and Modi hic velit'''
Jemma Walker;43.0;2.1;97.2;'''Note: Consectetur atque; then Tempore'''
Dr Albert Chapman;27.0;59.1;12.2;'''Saepe: Excepturi suscipit; Ipsam minus magni'''
Mr Ryan Willis;69.0;16.1;55.2;'''(Fugit voluptas quia) ; Necessitatibus necessitatibus repellat and Magnam id debitis'''
Fiona Ball;11.0;88.1;24.2;'''(Tenetur dicta) ; Illo soluta vitae perspiciatis and Excepturi eius blanditiis ratione facilis'''
Mr Lawrence Williams;2.0;67.1;67.2;'''Rerum quam minus alias; Ullam culpa dolor ; Exercitationem sit impedit'''
Oliver Hall;24.0;35.1;95.2;'''Esse qui rem; Amet cumque distinctio ; Nihil quas totam odit impedit'''
 ;37.0;35.1;99.2;'''Natus quo voluptatibus sequi debitis: Aspernatur sequi consectetur velit; Molestias eveniet beatae'''
Miss Marion Poole;99.0;100.1;44.2;'''(Facere ipsa) ; Porro qui and Enim'''
Nathan Khan;42.0;60.1;35.2;'''Commodi odio impedit; Hic rerum expedita Perspiciatis modi'''
Dr Matthew Jackson;94.0;44.1;23.2;'''Note: Est numquam; then Amet quia'''
Tom Peters;11.0;16.1;8.2;'''Eius excepturi doloremque quidem quidem distinctio: Quis nam; Hic eos quidem'''
Marilyn Jones;87.0;84.1;85.2;'''(Excepturi commodi quod) ; Possimus velit and Reiciendis soluta eveniet laboriosam quos illo'''
Miss Rachel Kerr;71.0;100.1;30.2;'''(Cum officia amet) ; Eos enim and Minima quia animi ipsa ea laudantium'''
Dr Lee Hayward;8.0;78.1;75.2;'''Dignissimos magnam: Facilis esse accusamus; Voluptate temporibus'''
Hayley Wells;72.0;74.1;3.2;'''(Voluptates explicabo rerum incidunt) ; Iusto ipsa ab and Debitis nemo'''
Stanley Reynolds;68.0;35.1;51.2;'''Note: Quibusdam fugit nesciunt; then Voluptatum beatae'''
Alexander Freeman-Lawrence;86.0;67.1;63.2;'''Dolor quia: Cum; Placeat'''
Julian Stewart;5.0;41.1;87.2;'''Note: Ex; then Nisi minus nam'''
Miss Kerry Taylor;83.0;75.1;58.2;'''Note: Soluta fugiat veritatis; then Nobis'''
Joanna Humphries;84.0;29.1;38.2;'''Note: Autem; then Iusto atque eius'''
Miss Maureen Williams;27.0;95.1;28.2;'''Pariatur hic voluptate; Eveniet fuga provident maiores Ab repellat unde voluptatibus'''
Paige Alexander;34.0;27.1;95.2;'''Magnam similique earum doloribus: Assumenda distinctio aliquid velit; Fugit'''
Sara Stephenson-McDonald;37.0;4.1;;'''Pariatur dolore quod: Ipsam exercitationem; Architecto ad'''
Patrick Peacock-West;42.0;32.1;27.2;'''Quae; Possimus vel quaerat ; Officiis dolorem qui'''
Suzanne Farmer;68.0;8.1;18.2;'''Dolores; Expedita dolorum error pariatur ; Quia'''
Frederick Barker;83.0;56.1;38.2;'''Note: Voluptatum; then Nisi sapiente'''
Abbie Richardson;;21.1;70.2;'''(Beatae distinctio) ; Cum voluptas and Ab similique ex'''
Jacob Todd;19.0;28.1;45.2;'''Vel ratione; Architecto accusamus tempora ; Quod officiis exercitationem'''
Maria Brooks;39.0;88.1;63.2;'''Minima: Similique quis; Cumque consequuntur culpa unde'''
Mrs Andrea Johnson;39.0;26.1;9.2;'''(Dignissimos) ; Iste itaque maiores tempora aspernatur and Hic sint'''
Carly Walker;10.0;81.1;47.2;'''Note: Numquam; then Libero consectetur cupiditate'''
Janice Gardiner;1.0;28.1;19.2;'''Praesentium exercitationem; Non sapiente consequatur Minima nisi'''
Deborah Mellor-Price;97.0;88.1;36.2;'''(Aspernatur recusandae provident cum repellendus) ; Magni nisi and Dolore exercitationem dolorem porro'''
Miss Joan Perry;88.0;56.1;41.2;'''Molestiae: Nobis adipisci; Ex veniam'''
Mr Cameron Khan;38.0;95.1;97.2;'''Vitae consectetur; Quibusdam saepe laudantium facilis rerum enim Doloremque autem'''
Denise Kelly;56.0;5.1;28.2;'''Animi; Ratione itaque consequatur ; Aperiam soluta doloribus'''
Ashleigh Hancock;10.0;59.1;70.2;'''Veniam aliquid explicabo illo: Molestiae laudantium molestiae cupiditate; Quasi amet'''
Mr Lewis Harrison;64.0;46.1;22.2;'''Consequuntur itaque perspiciatis rerum; Quam corporis similique laborum voluptatum Assumenda'''
Margaret Bruce;85.0;82.1;58.2;'''Omnis quam; Ad quae nulla Consequatur nulla laudantium tenetur'''
Shaun Weston;47.0;;43.2;'''Voluptates mollitia veniam; Vel architecto Autem'''
Anthony Reynolds;75.0;6.1;6.2;'''Tenetur; Quod officiis ; Neque sequi at error placeat'''
Guy Rhodes;54.0;36.1;78.2;'''Alias maxime aliquid; Quidem ea voluptatibus Repellendus'''
