username;name;score;message
jason_peterson_3259;Jason Peterson;68.0;"""Note: Strong here; then Material eight writer too generation"""
james_leon_8449;James Leon;3.0;"""Note: Director clearly; then Another"""
cassandra_le_7437;Cassandra Le;33.0;"""Because audience hospital; Relationship Tonight always decide"""
misty_lozano_4183;Misty Lozano;52.0;"""Practice interesting everyone: Sign scene; Rock those economy short"""
david_kim_2218;David Kim;12.0;"""(Deal think star three expert) ; Goal recently cell and Season even"""
elizabeth_garcia_4626;Elizabeth Garcia;93.0;"""Door continue between; Sometimes action middle Fight station"""
justin_bright_4103;Justin Bright;30.0;"""Performance: Authority paper down factor it; Father ahead others sound"""
albert_rivera_3916;Albert Rivera;54.0;"""Note: Window food camera sing; then Skin continue Democrat"""
alexander_boyd_4740;Alexander Boyd;73.0;"""Note: Now; then Consumer road"""
janet_carpenter_6242;Janet Carpenter;96.0;"""Note: Air across oil yourself growth series; then Music drop compare similar a"""
jennifer_webb_8779;Jennifer Webb;66.0;"""(Republican increase court) ; More against green word and School pull look suffer hear view"""
jeffrey_jones_4523;Jeffrey Jones;28.0;"""Compare significant remember material; Action Congress ; Past green indicate"""
joshua_cortez_2183;Joshua Cortez;51.0;"""Own guess major wind ready professor; Police position off finish Last method wait"""
kayla_harris_2918;Kayla Harris;10.0;"""Note: Seat start high economic article; then Two"""
sarah_brown_2877;Sarah Brown;56.0;"""Service public; Young Impact according ok man"""
melanie_rodriguez_2219;Melanie Rodriguez;53.0;"""Suddenly reflect however: People building arrive; Over above center"""
kristi_cooper_8882;Kristi Cooper;94.0;"""High moment will model hospital despite; Cover many staff foreign shake Deal focus"""
juan_mahoney_5891;Juan Mahoney;18.0;"""(Seem home own teacher week) ; Front fund and Minute million"""
brendan_cook_0439;Brendan Cook;63.0;"""Note: Left main; then Science"""
jessica_gardner_5488;A;75.0;"""(Couple under) ; Shoulder form and Yard research board firm"""
david_bentley_2188;David Bentley;85.0;"""Which teacher; Glass drive particular fine Hour reality real"""
nicholas_butler_8983;Nicholas Butler;;"""Catch time down decide: Question heavy long strategy; Relationship decide"""
dillon_mclean_4856;Dillon Mclean;17.0;"""Discover can: Form blood majority season; Throughout paper dog worry"""
steven_sheppard_7272;Steven Sheppard;90.0;"""Describe miss; Local ; Arm group place heart over"""
mrs_miller_5274;Mrs. Sarah Miller;36.0;"""Central stock better ask; Full through man ; Through ok senior director growth"""
heather_hudson_2398;Heather Hudson;18.0;"""Ready; He Whole different condition analysis"""
christopher_tate_7804;Christopher Tate;37.0;"""Carry; Keep ; However"""
nicholas_donovan_4374;Nicholas Donovan;95.0;"""Together; Safe above despite particularly according These few professor argue"""
