username,name,total_count,price,salary,summary
joanne_morris_8880,Joanne Morris,53.0,61.1,80.2,"""(Perferendis ratione earum) , Soluta iure suscipit and Voluptatum qui"""
ms_johnston_2656,Ms Stacey Johnston,66.0,99.1,,"""Sit eius labore voluptatem autem consectetur: Expedita, Recusandae ut perspiciatis"""
joyce_moore_2476,Joyce Moore,69.0,16.1,48.2,"""Inventore laborum eaque, Soluta esse error Doloribus amet cumque expedita odio"""
melanie_poole_0137,Melanie Edwards-Poole,97.0,39.1,63.2,"""(Consequuntur quidem) , Occaecati vitae and Id omnis velit"""
dr_frost_3197,Dr Bethan Frost,55.0,24.1,63.2,"""Adipisci: Reprehenderit esse recusandae, Accusamus quia fuga suscipit veritatis"""
dr_spencer_6362,Dr Laura Spencer,55.0,,28.2,"""Eligendi labore tempora; Aspernatur necessitatibus dolorum modi , Aliquid repellat adipisci labore asperiores"""
karl_craig_1475,Karl Craig,71.0,87.1,92.2,"""Nobis qui sed laborum aliquid: Aliquid necessitatibus alias, Odit iste"""
joan_smith_2505,Joan Smith,25.0,62.1,93.2,"""Note: Ad blanditiis laborum esse ducimus, then Enim"""
james_waters_4559,James Waters,10.0,3.1,92.2,"""(Minus magnam est ipsam) , Natus vero facilis nihil quas distinctio and Alias aliquam"""
julian_smart_1520,l,36.0,52.1,53.2,"""Eos numquam: Distinctio exercitationem tenetur expedita, Est tenetur pariatur enim"""
graham_jones_4049,Graham Jones,17.0,10.1,83.2,"""Dolores eaque; Quisquam magni , Quidem"""
janice_barnes_6916,Janice Barnes,8.0,19.1,2.2,"""Molestias dignissimos laboriosam commodi: Explicabo earum, Debitis veritatis repellat sint voluptas fuga"""
julie_patterson_7015,Julie Patterson,23.0,6.1,13.2,"""(Sed quaerat quos) , Tempore est incidunt aut ipsam voluptatum and Deleniti"""
barry_clark_0077,Barry Clark,23.0,59.1,53.2,"""Note: Repellendus suscipit saepe facere, then Aliquid beatae"""
dr_clarke_1911,Dr Joseph Clarke,44.0,64.1,84.2,"""Note: Unde maxime, then Ullam sint ullam fugit"""
hilary_nicholls_9317,Hilary Nicholls,67.0,74.1,77.2,"""Consectetur cumque; Sequi nisi at illo delectus , Accusamus modi"""
mr_perry_3388,Mr James Perry,96.0,76.1,79.2,"""Note: Ipsa ex, then Possimus fugit"""
abbie_taylor_5700,Abbie Taylor,35.0,83.1,77.2,"""Possimus debitis consequuntur, A cum Eaque magni praesentium adipisci maiores"""
anthony_turner_7795,Anthony Turner,,23.1,46.2,"""Consectetur maxime quos assumenda reiciendis, Fugiat expedita non Magni nobis laudantium"""
helen_sharpe_9629,Helen Sharpe,10.0,73.1,95.2,"""Laboriosam omnis: Incidunt consequatur, Repellat voluptate itaque tempora"""
miss_austin_6479,Miss Beth Austin,86.0,78.1,65.2,"""(Inventore ratione cum delectus provident) , Beatae at debitis iste quibusdam fugit and Nostrum tempora labore"""
mrs_johnson_3943,Mrs Kate Johnson,35.0,63.1,64.2,"""Note: Error placeat laudantium necessitatibus labore eius, then Explicabo"""
mrs_forster_2730,Mrs Katherine Forster,40.0,76.1,41.2,"""Eum reprehenderit voluptatum, Deleniti quibusdam Natus vitae sapiente nisi"""
