username,price,rating,salary,summary
kimberley_neill_1832,48.0,21.1,99.2,'''Neque; Culpa vitae atque , Quae quos ipsam numquam veniam'''
anthony_allen_5739,11.0,78.1,16.2,'''Consequuntur tempore, Quasi Eos nobis tempora doloremque voluptatem'''
denise_elliott_9606,94.0,,19.2,'''Ab sit possimus magni natus; Pariatur quidem molestiae pariatur eos , Suscipit quaerat velit maxime'''
shane_simpson_5453,47.0,52.1,84.2,'''Eveniet; Voluptate eaque , Beatae repellendus architecto eligendi'''
emma_jackson_8801,90.0,35.1,98.2,'''(Quas rem dolorem officia) , Dolores repellat porro molestias repudiandae consequatur hic and Esse voluptatem distinctio pariatur dicta error'''
mr_jones_6527,81.0,85.1,41.2,'''Beatae maxime, Quibusdam Molestiae eligendi'''
kyle_holland_8814,50.0,84.1,1.2,'''Harum at laborum recusandae amet dicta: Debitis minus minus aperiam labore, Et dicta corporis eaque'''
mr_holmes_5539,67.0,85.1,69.2,'''Animi minus soluta nostrum accusamus, Dicta culpa ipsa Aspernatur'''
scott_lamb_8614,38.0,1.1,73.2,'''(Dolor occaecati enim) , Quos numquam architecto and Temporibus facilis similique'''
mr_jones_7413,36.0,76.1,99.2,'''(Laboriosam officia quae ducimus) , Enim alias and Similique molestias consectetur delectus tenetur illo'''
ruth_miah_1585,65.0,44.1,21.2,'''(Aperiam non excepturi) , Vel veniam vel ipsum quasi consequatur and Incidunt natus possimus dolore ipsa quam'''
miss_steele_1146,31.0,13.1,10.2,'''Perferendis saepe; Veniam sunt , Mollitia'''
dennis_faulkner_5308,90.0,59.1,86.2,'''Note: Exercitationem rerum, then Voluptate placeat dolorum'''
megan_heath_6491,80.0,14.1,51.2,'''Deleniti eos facilis occaecati repellat voluptas: Labore sunt, Saepe beatae eos dolore ipsam facere'''
ian_barrett_2262,95.0,9.1,82.2,'''Repellat rem; Hic voluptatem ratione odio , Voluptatibus recusandae doloremque iste'''
stanley_smith_0366,83.0,72.1,10.2,'''Distinctio; Ut error , Et reprehenderit'''
nicole_pratt_0611,,4.1,20.2,'''Corporis reiciendis: Harum neque quibusdam amet, Sit repudiandae iste'''
antony_scott_6259,64.0,35.1,6.2,'''Aspernatur deleniti: Culpa voluptatibus rem, Architecto praesentium porro porro perferendis nisi'''
jamie_charlton_6925,79.0,74.1,41.2,'''Note: Vero, then Sint repellat corrupti'''
brett_hall_9668,21.0,57.1,76.2,'''Dolorum sapiente alias: Quae rerum possimus, Enim ipsam'''
nicola_sykes_3638,48.0,18.1,4.2,'''Culpa: Placeat, Ipsum fugit'''
ms_smith_6504,31.0,33.1,73.2,'''Note: Quidem, then Fuga cumque hic sequi'''
rachel_davies_9472,89.0,94.1,49.2,'''(Sit cum natus accusantium maxime commodi) , Sunt expedita totam esse et and Quas quaerat ex suscipit'''
dr_clarke_5623,68.0,100.1,95.2,'''(Voluptates neque) , Facere alias iure and Sed animi beatae'''
jennifer_harris_5721,32.0,67.1,63.2,'''Eligendi itaque error similique voluptas; Veniam mollitia nobis velit , Deleniti tenetur quisquam aliquam at'''
declan_peters_2638,51.0,50.1,74.2,'''Note: Accusamus, then Veritatis'''
john_powell_1899,48.0,2.1,18.2,'''Corporis ducimus: Reiciendis illo, Odit saepe ab accusamus'''
nicholas_burrows_9779,9.0,29.1,,'''Corporis corporis tenetur, Nulla Alias minus inventore ducimus'''
mathew_hamilton_5946,59.0,29.1,31.2,'''Harum deleniti, Non minus enim Iure expedita quam minima'''
