# This is a comment line to skip
name;price;age;rating;message;summary
Kimberly Decker;53.0;35.1;;"""(Whether hand fill charge) ; Film speech list and Admit perhaps debate""";"""Travel conference; Occur ; Real quite possible around herself"""
Tracy Malone;93.0;67.1;58.2;"""Wrong forward subject reality; Single ; Worker art region station reality nature""";"""Everybody unit military community detail; Service light hair Wait material play"""
Darren Jenkins;71.0;50.1;75.2;"""Report event; Model stand ; Top country produce""";"""Agency why production: System break; Little call process spring"""
Joseph Smith;38.0;66.1;38.2;"""Forward sort kitchen very: Page thing rest Mr recent; Our happen generation""";"""(Five song main door) ; Away field and There member turn to"""
Bernard Bennett;37.0;24.1;25.2;"""Factor along: Ball ball; Strong drop""";"""Look us skin person: Work painting run; Make"""
Eric Perez;71.0;72.1;77.2;"""Note: Newspaper wide recognize; then Player note""";"""Food thus policy own; Board for read where early You"""
David Barrett;98.0;52.1;79.2;"""Note: Eat least part seem; then Perhaps""";"""Note: Central; then Involve tree"""
Adam Bentley;28.0;76.1;94.2;"""(Win product partner any) ; Quality education investment peace once and Fine performance""";"""Note: Born; then Surface opportunity movement"""
Stephanie Miles;35.0;49.1;43.2;"""Apply thank; Soon part Leg push""";"""Identify in hot: Animal; Push themselves save everything"""
Antonio Foster;83.0;15.1;14.2;"""Also choose: Meeting exist plant; Page loss usually""";"""(Dog) ; Official edge message anything window and Eight receive morning"""
Shawna Phillips;24.0;6.1;89.2;"""Wonder their chance; Cup executive Project hope""";"""Up born health; Total far tough receive ; Forward per expert"""
Richard Navarro;85.0;49.1;42.2;"""(Each) ; Speak pretty worry onto future politics and Certainly add""";"""Necessary hit reason; Fall receive write environment Because ahead"""
David Allen;88.0;54.1;100.2;"""Federal subject; Level hot Open""";"""Grow meet; Worker capital or ; Would newspaper"""
Kristen Flores;85.0;30.1;21.2;"""List address drive actually; Along discover ; At society""";"""Have painting human gun; Bar nothing win Traditional special eat"""
Sherry Fisher;81.0;98.1;54.2;"""(Chance best billion central) ; Oil same political and Any want beautiful hard""";"""Resource quickly wear offer future beyond; Travel management out fast Man person green customer matter"""
Karen Summers;91.0;40.1;98.2;"""Note: Detail case director education maintain theory; then Last morning father some""";"""(Effect series social front) ; Especially sign return top recently and Medical change on"""
Jonathan Caldwell;69.0;88.1;63.2;"""Style major plan usually; Want unit hospital ; Value skill collection""";"""Chair: Quite room; Real hand word"""
Nicole Austin;56.0;97.1;35.2;"""Possible actually large; Cold bad parent Father""";"""(Himself world star school because) ; Chair type and Big major nor professional"""
Melissa Ellis;61.0;30.1;96.2;"""No well her environmental; Mouth section front ; Door Republican where action remain""";"""Policy over size perhaps; Sense defense since ; Attorney station seem"""
Jonathan Henry;94.0;94.1;24.2;"""Manager beautiful according born role course: Audience mention focus way; Skin season assume""";"""Among camera recent; Generation how writer Morning"""
Andrew Hayes;22.0;10.1;100.2;"""Each year they: Practice design such nearly sense; Mother later hard actually""";"""(Add development agency big) ; Value the see fish morning ahead and He worry direction"""
Lindsey Bradford;60.0;79.1;99.2;"""Note: Couple win detail; then Around pretty market""";"""Note: Shoulder say; then Put analysis car television you leader"""
Matthew Tucker;11.0;37.1;2.2;"""Note: Front individual; then New option country expert benefit""";"""Note: Big; then Financial tell"""
Edward Thomas;75.0;56.1;23.2;"""Democrat before score; List race she View number mission give health""";"""Dark another ahead when; Main take me child ; Good push wrong debate"""
Randall Hodge;58.0;16.1;34.2;"""Anything between occur; Almost act child Down thought become get look""";"""(Machine) ; Organization remain learn scene throw and Wall natural write say bed"""
Mark Berry;99.0;69.1;45.2;"""Whether party leg attack culture; Price want rest ; Daughter place""";"""Note: Data suggest; then There process light"""
x;;98.1;9.2;"""Note: Research kind; then Simple seek beat upon these""";"""House anyone school: Can design you; Individual truth thing southern"""
Amy Berry;95.0;90.1;73.2;"""(Fall business lawyer take) ; Eye front and Economic send""";"""Live near page: Others clearly agent; Create"""
Cynthia Li;83.0;94.1;73.2;"""Student sound: Officer free; Evening everything""";"""Point smile live; Total military ; Hospital reflect deep"""
Jack Castro;10.0;;42.2;"""Machine bad; Free water center position ; Suddenly""";"""Chance add; Similar anyone appear sell ; Rest"""
Nathan Mccoy;66.0;76.1;22.2;"""Note: Skin set certainly operation style; then But open""";"""Material; Say point ; Soon official good participant expect field"""
Nicole Huynh;74.0;54.1;22.2;"""Some cover face; Especially age production explain economic month ; Capital provide""";"""(Happen red speak television) ; See certainly left and Often soldier"""
