# This is a comment line to skip
name,username,price,salary,total_count,description
Mrs. Lisa Vaughn,mrs_vaughn_7883,63.0,83.1,44.2,'''(Anyone charge) , No interview finish again and Age nearly line no physical'''
Amanda Hoffman,amanda_hoffman_6665,56.0,87.1,39.2,'''(Provide street others level) , Page of fight and Source message technology raise watch'''
Stacie Khan DDS,stacie_dds_7488,95.0,60.1,94.2,'''(Phone tough outside) , Decision street and She truth book'''
Robert Thompson,robert_thompson_6954,6.0,63.1,86.2,'''Thousand three style agreement green: Help reveal, Knowledge management'''
Charles Armstrong,charles_armstrong_0295,21.0,58.1,71.2,'''According; Hour financial , Short newspaper'''
Stephanie Lopez,stephanie_lopez_0954,73.0,84.1,71.2,'''Air car near; Eight politics ready economy pull modern , Design enjoy sell important'''
Justin Nguyen Jr.,justin_jr_2161,5.0,22.1,27.2,'''Design develop stock; Cover military address I , Responsibility age accept area'''
Brian Jones,brian_jones_6697,85.0,73.1,35.2,'''Responsibility budget easy million, Show space Score in part'''
D,sharon_west_7727,100.0,28.1,8.2,'''Sign practice should will box; Condition anyone among , Sometimes southern sure agree exist'''
Rebecca Johnson,rebecca_johnson_6578,75.0,93.1,66.2,'''Something draw; Maybe , Tend entire player'''
Phillip Hoffman,phillip_hoffman_1258,95.0,,62.2,'''Unit growth require during edge: Smile attention, Them most'''
Theresa Harvey,theresa_harvey_2840,33.0,40.1,85.2,'''Note: Report seek, then Choose really consider'''
Laurie Gutierrez,laurie_gutierrez_4670,48.0,40.1,61.2,'''Safe president language pretty; Court bring range buy , Run purpose first old'''
John Turner,john_turner_2764,,13.1,78.2,'''Speech quality gas free mother bag, Can maintain point Break'''
Marcus Mendez,marcus_mendez_6442,67.0,52.1,20.2,'''Decide feeling, Five Concern chance'''
Christy Mccann,christy_mccann_5493,76.0,42.1,43.2,'''Bill win know: His, Five ten culture than'''
Aaron Walters,aaron_walters_2545,35.0,27.1,61.2,'''Note: Total vote ok, then Discussion street person'''
Ian Carney,ian_carney_1587,90.0,34.1,4.2,'''(Quality decide able late) , Grow discussion single and Major lawyer Mrs especially'''
Thomas Christensen,thomas_christensen_6756,12.0,76.1,5.2,'''Soon bank; Study institution , Especially understand'''
Anthony Williams,anthony_williams_8981,61.0,62.1,65.2,'''Respond; Actually miss , Door consumer stay use behind'''
Riley Williams,riley_williams_0196,78.0,56.1,90.2,'''Event seat economy cost special, Then book poor Into'''
Crystal Guerrero,crystal_guerrero_0146,94.0,23.1,47.2,'''Note: Involve there, then Peace force different'''
Max Gilmore,max_gilmore_9231,9.0,45.1,,'''Of take time; Those , Visit size onto money'''
Catherine Schultz,catherine_schultz_1917,61.0,72.1,37.2,'''Fight probably marriage far visit; Series up dream voice , Agreement that pattern'''
Justin Robertson,justin_robertson_2026,46.0,33.1,15.2,'''Section effort threat here, Which very Town until next'''
William Smith,william_smith_5150,12.0,46.1,4.2,'''Note: True despite, then Tonight way'''
Jennifer Simpson,jennifer_simpson_1451,5.0,98.1,24.2,'''Production: How already at student, Reach himself source three organization prove'''
Michael Alexander,michael_alexander_2836,62.0,73.1,29.2,'''Note: Risk garden human, then Type voice include'''
Frank Johnson,frank_johnson_6593,36.0,64.1,64.2,'''Say others, Article current front Single dog race move'''
Sean Fisher,sean_fisher_3315,35.0,94.1,21.2,'''(Prepare first across) , Five often school and Conference'''
William Nelson,william_nelson_6687,70.0,85.1,11.2,'''Note: His, then Beyond cover'''
Kelly Hale,kelly_hale_8959,48.0,71.1,62.2,'''Note: Lay environment hit, then Prove my arm'''
