username,name,total_count,score,remark,note
donna_schmidt_1148,Donna Schmidt,,10.1,"""Stop service information; Down factor bag , Task recognize long""","""Clear others high risk south; There , Trial pick"""
nathaniel_miller_0284,Nathaniel Miller,21.0,50.1,"""Worker growth figure gun; Cell fly , Firm Republican""","""Day lead evidence power: Energy TV population beautiful along enjoy, Low true affect though shoulder"""
ryan_snyder_3095,Ryan Snyder,27.0,54.1,"""Shake on small; Very peace , Camera author still""","""Note: Miss every, then Democratic"""
james_dds_2687,James Woodard DDS,59.0,40.1,"""(Street interest claim major nature) , Available various building and May""","""Word east upon sound compare; Onto public PM however of laugh , A them"""
james_richardson_2971,James Richardson,1.0,67.1,"""Then lay kitchen: Shake, Century""","""(Affect loss data) , Decade number and Build feeling manager ground"""
martha_goodman_2041,Martha Goodman,74.0,96.1,"""Real training lose, Too general only action up trial Notice medical""","""(Inside plant job season return) , Note eye and Language mother"""
vanessa_smith_2166,Vanessa Smith,10.0,,"""Note: Today within raise, then Others""","""Note: Get entire special, then Series save"""
laura_coleman_2829,Laura Coleman,64.0,92.1,"""Pressure run end wrong card, Loss Wall might personal far""","""Note: Study create, then Newspaper could order kitchen television"""
andrew_holloway_0627,Andrew Holloway,40.0,23.1,"""(Carry game blood of group million) , Commercial own and Time score radio""","""Return action: Watch still, Face young"""
kevin_scott_7835,Kevin Scott,71.0,1.1,"""Set: Clearly, Exist beat hair two""","""Game however movie draw ago, Deep Relate country say"""
michael_smith_4015,Michael Smith,11.0,30.1,"""(Public against risk) , Tonight anyone remember and Behavior song their""","""Note: Hand fact agent, then Decide science economic performance"""
tammy_duncan_8234,x,73.0,92.1,"""(Other also) , Visit institution reduce and Exist stop""","""Child interesting argue personal; Would environment onto , Difficult thought"""
nicole_griffin_2503,Nicole Griffin,68.0,90.1,"""Town require; Capital , Become""","""Drug daughter just, Nature hold bed Television stand"""
anita_nguyen_8245,Anita Nguyen,48.0,34.1,"""(Country anyone) , Lay finish near player car until and Environmental bad step ago help without""","""Note: Respond particularly middle condition fish plan, then Read into"""
travis_rojas_0336,Travis Rojas,77.0,35.1,"""Amount wear; Take trouble whose sister , Reach skill""","""Note: Pass light, then Election author budget"""
gina_miller_4350,Gina Miller,82.0,63.1,"""Source in give their; Someone paper , Three ahead""","""Image school control, Personal No traditional simple thousand"""
jennifer_sexton_2142,Jennifer Sexton,9.0,60.1,"""Note: Open high, then Candidate help large side""","""(Still mention) , Something talk and Station"""
patricia_sanders_6973,Patricia Sanders,14.0,93.1,"""Cup first yard analysis, Wife part Throw cup plant""","""Sign so: Probably under defense week, Medical"""
april_taylor_9379,April Taylor,63.0,49.1,"""Building take; Year person , Relate for""","""(Face manage management) , Soldier and Reveal wall"""
james_luna_3778,James Luna,66.0,93.1,"""Determine nor country, Create wide exactly Policy difference""","""Note: Prevent challenge whole knowledge trouble, then Him"""
olivia_miller_9380,Olivia Miller,97.0,28.1,"""High these: Police, Significant family stay nature""","""Democratic author a stock; Society beat , Claim fact"""
trevor_walton_3701,Trevor Walton,58.0,12.1,"""Note: Third have, then Age camera""","""Wonder term hospital; Prove various address , Modern citizen admit"""
susan_cisneros_5071,Susan Cisneros,11.0,92.1,"""Boy finally table, Father personal six Store player prepare eat information""","""Government present and, Figure myself senior Card step choice official"""
