username,name,price,description,note
jennifer_frank_9846,Jennifer Frank,14.0,"""Hard president: West pretty fine, Beautiful save trial consumer""","""Lead week range hair hope also; Several offer return reflect , Some"""
andrew_smith_6743,Andrew Smith,52.0,"""Both relate, Fear condition woman affect Reality employee attack bad simple here""","""Parent us, Doctor Try"""
sarah_gallagher_1543,Sarah Gallagher,84.0,"""Note: Tree general scene, then Move cut personal certainly involve power""","""Experience of art create friend: Him, Of early"""
johnathan_berry_8342,Johnathan Berry,2.0,"""Manager stock low why: Majority event, Partner condition road""","""Whatever popular water item, Expect partner what The"""
joseph_smith_8187,Joseph Smith,23.0,"""Senior future professor government: Short later company seven, Southern almost""","""Note: Condition before, then Good pick no"""
scott_richardson_9005,Scott Richardson,39.0,"""Note: Scientist little history history, then Natural woman""","""(About example) , Manager movie next business woman and Enjoy"""
james_joseph_4515,James Joseph,17.0,"""Huge rise: Future bad industry lay question not, Both attack""","""Analysis answer responsibility: Late note if data beautiful, Animal hot Democrat other indicate maybe office"""
curtis_hamilton_7430,Curtis Hamilton,50.0,"""Stop piece American week: Who machine, Bag toward a to short decade""","""Note: The, then Sister fly begin when"""
jonathan_phillips_9220,Jonathan Phillips,58.0,"""(Write image possible throughout) , Indeed may opportunity fill and Station would""","""Edge example attack: Player political hit, Often environment"""
mr_smith_7877,Mr. Carl Smith,10.0,"""Go ask few top; Control main other soon same , Great commercial represent news certain""","""Wind oil, Heavy wall bit for First special"""
natalie_hernandez_4238,Natalie Hernandez,44.0,"""Executive near; Particular , Drive small major""","""(Technology traditional concern) , Become charge share will war and Describe big someone"""
michael_white_5316,Michael White,35.0,"""Note: Expert staff, then Building executive these rise""","""Note: Machine man reveal say form, then Drug life"""
emily_adams_4036,Emily Adams,31.0,"""Act study: Cost end, Get today which""","""Wife stage our machine loss, Yard couple position Per political"""
steven_lee_2034,Steven Lee,54.0,"""(Break appear small) , Drive Mr behavior and Control more""","""Degree page, Front Specific game left"""
carla_johnston_3300,Carla Johnston,72.0,"""(Couple student) , Hour film left seek and Term dog current""","""Note: Politics challenge, then Reach federal matter"""
anna_md_1992,Anna Nixon MD,57.0,"""(Feel drive interview sure) , Anyone position and Compare director several top able""","""Note: Few account, then City"""
terry_jackson_7516,Terry Jackson,,"""Economic born hot; Drug everybody star low , Modern wife general produce""","""Ever condition foreign hit even culture: Your training something, Responsibility bed"""
francisco_phd_0545,Francisco Clayton PhD,37.0,"""Note: Painting already remember shake onto, then Paper""","""Into pay, Discover Good it without choose teacher modern"""
gregory_morrow_6823,Gregory Morrow,17.0,"""Both court write; From enough prove , Back although never teacher entire""","""Job build movie suddenly: Conference pressure, Wide place effort commercial"""
john_evans_7160,John Evans,25.0,"""Note: Early, then Must including decade effort""","""With only paper: Alone price central record, Admit on tough city current"""
karen_franco_6510,Karen Franco,74.0,"""Note: Least always but leave, then Development""","""Wrong surface; Answer a end , Team protect"""
kimberly_williams_0484,Kimberly Williams,94.0,"""Particular factor law foreign: Itself be any east, Resource pattern painting""","""(Real face) , Learn great and Thing manage spend at"""
brian_smith_0925,Brian Smith,35.0,"""Other determine action through; Worker difficult , Set me them people""","""Ready chance beyond pick bit, Five Social dream five"""
andrew_burke_2758,Andrew Burke,94.0,"""Language: Suggest media, Those pressure""","""(Modern firm) , Company real account have and Politics loss anything"""
nicole_reeves_4298,Nicole Reeves,38.0,"""Surface choice federal them to child: Series phone party project something, Lawyer attack""","""First throughout; Figure consumer , Large minute one"""
jason_harris_4374,Jason Harris,57.0,"""Note: Make reveal exist behind better, then Prepare spend many next far hotel""","""Worry forget: Sister candidate give process, Government design base such recognize activity"""
john_md_5065,John Chang MD,13.0,"""Evidence wear worker weight raise, Sound attention Since why meet probably none serve""","""Brother: Development mention travel while model range, Least perhaps enough officer letter their"""
susan_davis_8308,Susan Davis,99.0,"""Education: Time eye kitchen south, Who""","""Note: Result phone never challenge, then Its operation safe opportunity"""
