# This is a comment line to skip
name	score	price	age	description	message
Emily Reed MD	78.0	24.1	23.2	"""Note: Without add energy	 then Take old travel skill usually"""	"""Would economic	 Wish these whose language Detail southern memory behavior when nothing"""
Sara Torres	89.0	9.1	28.2	"""Sense: On area	 Head scientist tax memory"""	"""Note: Affect policy	 then Attention believe"""
Sharon Rice	100.0	24.1		"""Southern organization form former	 Growth discuss Project ahead"""	"""Try amount growth; Health president down 	 Trouble lead"""
Amanda Wright	48.0	58.1	50.2	"""Guess he perhaps	 Room specific tell Add dark seem century never value"""	"""Born feeling weight again; Well image admit blue 	 Offer trip inside"""
Jacqueline Carter	24.0	28.1	19.2	"""Her according interesting; Forward which gas 	 Score guess safe"""	"""Several still up: Necessary cup save guy north	 Set significant book"""
Stephen Deleon	37.0	31.1	38.2	"""Claim this author; Let which 	 Together hospital artist though"""	"""Note: Security young prove yeah	 then Three"""
Jennifer Jacobs	53.0	88.1	76.2	"""Quickly eye assume argue; Republican there end 	 Clearly team who change"""	"""Point possible before	 Budget prove work sure her long Into kid final answer"""
Michelle Harris	79.0	32.1	61.2	"""(Face among) 	 Local defense interview look and Already"""	"""Product find away; Beat onto 	 Citizen push"""
Amy Wise	63.0	10.1	19.2	"""Party discussion sell; Total arm for draw 	 Develop myself simply discuss"""	"""Stock spend explain more state; Laugh even later 	 Fly at reach foot"""
Margaret Frazier	81.0	29.1	23.2	"""Run treatment	 Difference special Trip scene suddenly safe expert successful"""	"""High exactly anyone: Study bring type	 Road end"""
Tami Johnson	78.0	76.1	96.2	"""Note: Most nor hear central any	 then Democrat idea strong build"""	"""(While election among) 	 Data above amount scientist sort and Benefit may ago name letter"""
Brandi Barker	92.0	79.1	78.2	"""Note: Else sound entire purpose nice	 then Couple leg whatever material color"""	"""Each; Maintain lot election simply 	 Painting image body kid"""
Judy Davis	75.0	62.1	17.2	"""Wrong; School inside conference enough 	 Close first him"""	"""Whole military	 Money Bag newspaper"""
Kevin Gonzalez	23.0	100.1	66.2	"""Note: Smile Congress	 then Thus American"""	"""Note: See item edge them available lead	 then Office start there parent energy"""
Brenda Spears		90.1	90.2	"""Agreement along represent time	 Country around Character child"""	"""Affect hundred state record bring: Respond	 Draw feel house force"""
Erica Flynn	17.0	14.1	5.2	"""Note: Wall oil anything president	 then Staff lead ground"""	"""Note: Own boy	 then Fact discover total recent"""
Heather Taylor	64.0	67.1	2.2	"""Can	 Bank Finish west age"""	"""Consider experience	 Weight form color cup customer step Get your"""
Lorraine French	63.0	60.1	90.2	"""Language between: Bit hour his	 College today pick stuff get"""	"""National rest really; Effort yard 	 Same knowledge"""
Kendra Michael	77.0		8.2	"""Discuss college weight throughout really poor	 Loss Along"""	"""South sea; Between energy career all 	 Hear someone"""
Richard Jones	77.0	96.1	62.2	"""Smile would teach; Dog nearly 	 Trial group discover free range"""	"""(Across next data west) 	 Glass form sit and Authority operation customer"""
Mandy Pruitt	74.0	23.1	96.2	"""Note: Clearly though practice modern sort rich	 then Box field center above power"""	"""Piece parent: Whose language it cultural	 Manage like specific"""
Kimberly Ward	86.0	100.1	51.2	"""Enjoy wife stop fight name: Base very quality source religious	 Field herself particularly factor"""	"""Risk low	 Wide provide Agent born himself"""
Jennifer Craig	67.0	76.1	3.2	"""(Day daughter young) 	 Never military every dark and Itself run lead five money"""	"""Note: Meeting	 then Under"""
D	16.0	42.1	54.2	"""Past lay blue: Hear see	 Level trial will may get relate"""	"""Note: Well network marriage	 then Three around note manage"""
Sandra Montoya	51.0	62.1	3.2	"""Month themselves until	 Form deal Act"""	"""(Involve with whom) 	 Should heart water and Political national"""
Justin Mcdonald	99.0	41.1	15.2	"""All: Safe Mr recent wide front	 Animal another network tonight certain catch"""	"""(Military newspaper affect lose) 	 Such he central and Right"""
