username;name;salary;price;rating;remark
carl_todd_6709;Carl Todd;;46.1;47.2;'''Illo hic illum amet: Veniam ratione; Veritatis totam'''
elliott_nicholls_2814;Elliott Nicholls;98.0;5.1;21.2;'''Ducimus quasi: Magnam aut similique; Incidunt nobis inventore unde'''
ashleigh_wilkinson_8644;Ashleigh Wilkinson;100.0;;72.2;'''Est facere nesciunt odit; Dicta ; Saepe doloremque est aut reprehenderit'''
dr_gregory_3055;Dr Glen Gregory;16.0;95.1;63.2;'''Facilis molestiae: Quod perspiciatis sequi consequatur nisi reiciendis; Velit velit laborum'''
gail_oliver_6753;Gail Oliver;48.0;91.1;22.2;'''Nostrum; Aspernatur ; Provident aliquid autem quae'''
suzanne_rahman_5583;Suzanne Rahman;42.0;4.1;51.2;'''Neque sed explicabo nam quia; Occaecati earum sit cum quos Perspiciatis consequatur'''
declan_shepherd_7963;Declan Shepherd;93.0;53.1;54.2;'''Note: Amet ullam; then Reiciendis ab nobis'''
ms_robinson_5686;Ms Heather Robinson;47.0;8.1;39.2;'''(Eius) ; Ex est ipsum and Id vel assumenda'''
alexander_martin_0037;Alexander Gibson-Martin;73.0;8.1;38.2;'''Dolorem illo odit quam ipsum debitis: Iste; Temporibus quisquam'''
marcus_martin_2288;Marcus Martin;92.0;48.1;15.2;'''Note: Commodi perferendis qui; then Temporibus'''
andrew_ford_1200;Andrew Wade-Ford;62.0;36.1;37.2;'''Ut; Magnam nulla aliquam rem saepe ; Fuga suscipit earum'''
lesley_hanson_1265;Lesley Hanson;40.0;18.1;60.2;'''Velit modi totam; Ut laudantium quam iste Quibusdam molestiae eos exercitationem explicabo'''
leigh_may_9198;Leigh May;53.0;11.1;91.2;'''Amet quos cupiditate sunt eveniet: Libero vero occaecati; Blanditiis corporis nihil quas'''
shaun_foster_2657;Shaun Foster;91.0;23.1;68.2;'''Dolorem; Exercitationem ullam rerum distinctio repellendus Molestiae non dolorem architecto'''
ms_stewart_5612;Ms Catherine Stewart;54.0;65.1;1.2;'''(Sapiente iste iste) ; Doloremque magnam and Voluptas ex'''
gareth_blackburn_3626;Gareth Blackburn;32.0;17.1;80.2;'''Soluta porro; A iusto consectetur quibusdam ; Illo vel officia maiores'''
mr_hughes_6879;Mr Karl Hughes;83.0;22.1;31.2;'''(Delectus ea aliquid) ; Magnam dolor et and Officiis'''
jacqueline_edwards_6270;Jacqueline Edwards;55.0;96.1;;'''(Repellat dicta sit) ; Ut delectus pariatur quam quidem and Quod'''
marcus_sutton_3942;Marcus Sutton;75.0;100.1;54.2;'''Accusamus nesciunt odio nam quidem nisi: Exercitationem non; Atque natus'''
pauline_hewitt_7140;Pauline Hewitt;17.0;92.1;63.2;'''Note: Tenetur suscipit; then Vel temporibus'''
sharon_skinner_1452;e;46.0;86.1;18.2;'''Totam dicta a dicta libero: Consequatur alias ducimus; Maxime'''
jake_butler_0876;Jake Butler;97.0;34.1;15.2;'''Doloribus ab porro temporibus: Cumque; Magnam optio repellendus quod cumque'''
barbara_briggs_9646;Barbara Briggs;65.0;77.1;1.2;'''Consequatur omnis: Veritatis excepturi; Sint necessitatibus'''
geraldine_harris_7217;Geraldine Harris;60.0;8.1;98.2;'''Blanditiis eligendi; Voluptates Porro inventore'''
dr_whitehouse_1898;Dr Danny Whitehouse;29.0;97.1;41.2;'''(Voluptas facilis quibusdam officia) ; Hic perferendis and Iusto beatae'''
claire_hobbs_6287;Claire Hobbs;29.0;1.1;49.2;'''(Impedit quas assumenda) ; Deleniti repellat explicabo and Id ipsa'''
mr_farrell_1563;Mr Marcus Farrell;53.0;10.1;4.2;'''(Vel deserunt rem) ; Dignissimos voluptatum and Minus voluptate officia itaque'''
miss_thompson_3959;Miss Deborah Thompson;21.0;47.1;25.2;'''(Aliquam delectus eius non) ; Doloribus aliquid and Nemo a'''
melanie_harvey_8716;Melanie Morrison-Harvey;87.0;56.1;39.2;'''Modi; Quae vero mollitia occaecati sint Incidunt reiciendis consequuntur'''
ms_page_6690;Ms Stephanie Page;30.0;55.1;47.2;'''Repellat ad; A quisquam dignissimos Id consectetur ratione'''
victoria_adams_5349;Victoria Adams;13.0;91.1;15.2;'''Totam maxime nemo dolor; Et expedita maxime Consectetur aut in blanditiis'''
gail_jones_0230;Gail Cook-Jones;93.0;37.1;68.2;'''(Eveniet corrupti) ; Qui ad and Tenetur occaecati magni enim'''
donald_mason_1522;Donald Fox-Mason;60.0;39.1;74.2;'''Note: Placeat quibusdam; then Repellendus quaerat'''
mathew_jones_3744;Mathew Jones;52.0;20.1;2.2;'''Voluptates vero asperiores dolor ipsa; Corrupti dignissimos quisquam ; Ullam officiis fugit eaque'''
miss_potter_0154;Miss Jessica Potter;14.0;57.1;100.2;'''Tempore nemo distinctio; Ipsum animi ; Recusandae quos'''
lee_smith_1489;Lee Smith;18.0;85.1;10.2;'''Ad voluptatum: Culpa sit eveniet; Dolorum aperiam modi quo sequi iusto'''
miss_murphy_4269;Miss Joanne Murphy;19.0;94.1;69.2;'''Soluta alias vel; Temporibus illo doloribus at dolorum ducimus Illum'''
denis_lewis_6834;Denis Lewis;77.0;89.1;55.2;'''Note: Nemo corrupti ea; then Consequatur asperiores'''
