# This is a comment line to skip
username;name;price;score;description;message
james_walker_1301;James Walker;100.0;100.1;"""Note: Whom include consider; then On individual center face""";"""Technology; Time field return ; Laugh they car somebody employee position soldier"""
duane_brown_8998;Duane Brown;23.0;96.1;"""To operation dark; Policy tough Could fall value treat""";"""Note: Trade with office white; then Will offer customer"""
christopher_baker_4548;Christopher Baker;51.0;55.1;"""Over: Animal us way; However position begin hand each reduce""";"""Note: Few south interest; then Other simply"""
kathryn_weber_9948;Kathryn Weber;63.0;8.1;"""Lot plant seem; Door evening ; Front move""";"""(Place new admit third) ; Record blood and Return save"""
seth_williams_8265;Seth Williams;18.0;92.1;"""Contain last; Second Hotel on""";"""(Policy provide institution discuss development) ; Seem when third ability finish and Part table attorney rather opportunity close"""
anthony_stokes_4531;Anthony Stokes;18.0;38.1;"""International action return; Company young support Long and ball""";"""Wait five reduce site protect season: Body; She without"""
anthony_harrison_2264;Anthony Harrison;58.0;44.1;"""Sign morning interesting against; Describe between side garden boy think Bill feel camera""";"""Live reveal where lawyer record card; Friend risk Interview interview out reduce ago million"""
amy_bell_7325;Amy Bell;29.0;26.1;"""Note: Rich small more kid hear; then Apply form shake bit very""";"""Note: Population phone; then Institution close across"""
kelly_adams_7231;Kelly Adams;68.0;90.1;"""Leg page; Myself Ready""";"""Note: Remain hear couple race; then Nor size"""
sandy_thompson_8510;Sandy Thompson;3.0;36.1;"""Myself debate ready; Right best ; Trial even""";"""Pretty wife affect: If; Mind fact natural here"""
sarah_brown_3481;Sarah Brown;22.0;98.1;"""Bad responsibility ahead development: Treat city state; Heavy example""";"""(May foot they) ; Candidate word customer hear and Staff air high general administration"""
alexandria_johnson_0724;Alexandria Johnson;1.0;59.1;"""Eight tax present; Stuff Mind too sing""";"""Military foreign stock: Star rule section; Town staff whose"""
joseph_foster_2075;Joseph Foster;14.0;38.1;"""(Them garden) ; Chair art hear difficult health and Campaign town its""";"""Go author knowledge; Than thus Effect"""
