name;total_count;score;summary
Jennifer Jones;30.0;90.1;"""Note: Check memory everybody dark; then Next doctor yet"""
Cynthia Alexander;91.0;83.1;"""Lose; Discover explain likely ; Performance may second"""
Charles Smith;93.0;92.1;"""(Management red stop) ; Market kind chair speak and Power property bill"""
Anthony Smith;46.0;72.1;"""Cultural stock through; Position we theory Necessary rate across"""
Tony Walker;3.0;81.1;"""Nature manage; Plan worry resource power Eight"""
Wanda Vaughan;55.0;43.1;"""Other: Effort story process itself; Trouble news five"""
Diane Jones;76.0;4.1;"""Seat hair case week; Guess TV Various popular face"""
Michael Bonilla;9.0;67.1;"""Note: His often memory until; then Hard still sometimes position describe"""
Amanda Sullivan;18.0;23.1;"""(Meet) ; Director group piece choice somebody police and Name"""
Amanda Vega;45.0;84.1;"""Eight step step; Race else car Human perhaps kid adult"""
David Alvarado;37.0;70.1;"""Human begin against one idea; Hospital many summer style medical Deep line experience health popular character"""
o;;1.1;"""(Girl change gas far tend) ; Argue small bed and Student husband"""
Ryan Pierce;74.0;66.1;"""Parent discover art same: When choice interest song ready letter; Thank wonder"""
Zachary Lyons;17.0;36.1;"""Campaign eight capital large Democrat: Side buy summer; Number usually ground line particularly law"""
Allison Carpenter;99.0;2.1;"""Note: Republican heavy free; then Together myself political race"""
Jill Delgado;50.0;44.1;"""Deal agency off; Other church ; Treat purpose receive"""
Brooke Walsh;57.0;70.1;"""Officer positive true simply: Ok build; Big play dream"""
William Marsh;94.0;68.1;"""(Current give hit four after likely) ; We and Something dinner each across interview"""
Mark Bray;75.0;67.1;"""Few; Carry follow hear ; Defense professional high"""
Justin Malone;16.0;2.1;"""Hard understand cut; Gas ; Future trip"""
Darin Hammond;70.0;;"""Note: South order think recently; then Certainly player east relate"""
Dr. Andrew Sanchez;74.0;81.1;"""Note: These might; then Tonight artist professional"""
Steven Christian;67.0;55.1;"""Story science mind; Identify feel several If ahead"""
Erica Garza;32.0;20.1;"""Note: Music what minute; then Feel"""
Margaret Farmer;4.0;87.1;"""(Over music) ; Take same cold cold necessary song and Interview chance"""
Matthew Snyder;19.0;87.1;"""Cut reveal TV; Expect else lose way PM thousand First good especially thing over fight"""
Heather Garner;39.0;65.1;"""Imagine painting newspaper again watch: First prove catch radio care; Long expert impact"""
Amber Long;46.0;61.1;"""Note: Bill good mission particular early; then Trip pattern"""
Teresa Howell;22.0;59.1;"""Control time particular population say: Pressure deal; Black four act best result"""
Willie Neal;81.0;32.1;"""(Later support fire) ; Century language and Them project"""
Billy Richardson;26.0;86.1;"""Shoulder; Act popular Film soldier have majority return"""
