username	name	score	description	note
frances_harris_0976	Frances Harris	48.0	"""Eos eius facere delectus provident praesentium: Beatae	 Similique repellendus vitae nihil"""	"""Maiores dolores; Officia consequuntur 	 Corrupti aspernatur nemo animi ea"""
jasmine_hunter_1711	Jasmine Hunter		"""Esse ad quibusdam; Repellendus 	 Odit recusandae praesentium"""	"""Ullam vero: Suscipit debitis molestias repudiandae	 Quam pariatur"""
stanley_mason_3582	Stanley Mason	47.0	"""Voluptatem sunt	 Ipsa ex quia Quas ad eos"""	"""(Dolores) 	 Quos unde and Quo quibusdam sed blanditiis"""
dr_sims_8386	Dr Bruce Sims	5.0	"""Est odit tempore tempora a: Dolores	 Sunt"""	"""(Dolor doloremque hic soluta) 	 Ab delectus reprehenderit blanditiis and Quis enim"""
frederick_wood_0160	Frederick Wood	41.0	"""Repellat at; Error accusantium nobis nemo velit 	 Dolores cupiditate quae quis exercitationem"""	"""Note: Dolore suscipit optio	 then Modi fuga expedita exercitationem odit"""
leigh_cooper_3885	Leigh Cooper	26.0	"""(Facilis adipisci) 	 Quaerat at and Quaerat facilis temporibus tenetur quasi maxime"""	"""Voluptatum: Natus deleniti autem	 Libero aut a"""
judith_davies_5480	Judith Francis-Davies	60.0	"""Corrupti nemo: Ex quas nemo quo	 Sit reprehenderit ea"""	"""(Tenetur porro veniam tempore) 	 Ex sint tenetur soluta voluptatem and Magni dolore nostrum architecto voluptate"""
louis_robinson_9018	Louis Robinson	96.0	"""Quasi maiores quam corporis suscipit pariatur; Minus autem ullam cumque ipsum 	 Sequi magnam recusandae perspiciatis"""	"""Note: Placeat nihil accusantium nulla	 then Eveniet nam dicta"""
miss_williams_3212	Miss Ruth Williams	1.0	"""Note: A minus labore explicabo corporis cum	 then Quasi quibusdam dignissimos"""	"""Laboriosam assumenda nesciunt; Minus optio officia 	 Delectus repellat"""
michael_johnson_9090	Michael Johnson	31.0	"""Dolor vel dolorem sed	 Ab nostrum Atque possimus corrupti"""	"""Omnis voluptates dolores non	 Magnam Voluptates odit reprehenderit quia officiis"""
