username	name	score	price	review
amanda_glover_3569	Amanda Glover	71.0	67.1	'''Then become design fast: Doctor world population cultural	 Ok human'''
erica_velazquez_5177	Erica Velazquez	89.0	72.1	'''Note: Production country a life challenge	 then Do view move study'''
randy_underwood_5603	Randy Underwood	46.0	28.1	'''Road eight best; Strategy investment form finally 	 Pressure action game attorney after'''
keith_taylor_9835	Keith Taylor	23.0	31.1	'''(Administration figure issue public name property) 	 Garden these standard any and Natural establish computer not speech thought'''
tina_bradley_8058	Tina Bradley	56.0	59.1	'''Professional window	 Police both Meet born camera'''
matthew_west_4278	Matthew West	66.0	40.1	'''Evidence: Could financial	 Organization budget general'''
gregory_norman_5125	Gregory Norman	29.0	1.1	'''Set view pick them edge; Candidate person race large 	 General author expert factor'''
ashley_rivera_5570	Ashley Rivera	73.0	29.1	'''(Candidate agency hour mention) 	 Edge section effort bit possible and Few practice'''
deborah_bullock_6968	Deborah Bullock	55.0	92.1	'''Note: Indeed	 then Against resource partner expect'''
douglas_andersen_7447	Douglas Andersen	67.0	35.1	'''(Same) 	 National night know and Future'''
michael_jackson_9771	Michael Jackson	72.0	66.1	'''Note: Wish next later	 then Happy east attention beyond'''
tiffany_jackson_1936	Tiffany Jackson	66.0	57.1	'''Note: Knowledge base candidate	 then Certainly night none'''
nicholas_scott_3624	Nicholas Scott	81.0	48.1	'''(There daughter own page PM) 	 Store employee and Generation throw'''
brandon_swanson_5973	Brandon Swanson	77.0	26.1	'''Less American: Town child first	 Mean international care interview'''
melanie_dds_0299	Melanie Blair DDS	24.0	40.1	'''Note: See general	 then Cover another federal focus position'''
heather_herrera_2720	Heather Herrera	83.0	74.1	'''Mouth without because on ten eat	 Wait just sort different really Interview'''
christian_dean_1840	e	95.0	47.1	'''Base partner	 Toward threat whether political take Full information'''
caleb_compton_7718	Caleb Compton	26.0	57.1	'''Note: Rest	 then Leave any'''
krista_morrison_9307	Krista Morrison	92.0	47.1	'''Child; Challenge year wait 	 Media someone road region'''
mark_mcgee_6959	Mark Mcgee	45.0	75.1	'''Word; Prevent generation huge 	 Company player movie condition'''
shane_johnson_8072	Shane Johnson	39.0	84.1	'''Note: Those return share writer fall individual	 then Enter front letter hard'''
eric_tyler_8461	Eric Tyler	70.0	36.1	'''State long nearly especially: Rise article sit	 Small player level statement field such'''
tyler_cox_5356	Tyler Cox	68.0	74.1	'''Might enter edge follow tax cause: Respond leader	 Member hour strong bad'''
darren_james_1824	Darren James	7.0	14.1	'''Program	 Weight discover accept building wrong store Drop rise need'''
ashley_marshall_0820	Ashley Marshall	19.0	63.1	'''Benefit him	 Shake table memory mission Special'''
larry_crawford_2247	Larry Crawford	6.0	40.1	'''Ability feeling pressure term	 Whole money worker serious Program fly participant buy while western'''
randy_larsen_8105	Randy Larsen	40.0	11.1	'''Note: Gas suffer vote	 then Improve change career according'''
william_jr_7279	William Edwards Jr.	64.0	9.1	'''Pm mother east day air: Become drop claim	 Oil phone hold'''
ryan_reed_7145	Ryan Reed	80.0	21.1	'''Month glass or; See per 	 Standard'''
craig_mccarthy_4622	Craig Mccarthy	46.0	30.1	'''Attorney space: Nature	 Best his yes all'''
jacqueline_cunningham_9021	Jacqueline Cunningham	55.0	14.1	'''Note: Industry then whole	 then Seven government'''
christopher_price_0053	Christopher Price	65.0	4.1	'''It also along	 Blue Respond leave street'''
andrea_ramirez_5512	Andrea Ramirez	39.0	63.1	'''Face campaign room	 Share under watch Bring discover song'''
christina_stanley_0488	Christina Stanley	92.0	8.1	'''(Heavy question common door detail knowledge) 	 Check choice budget party music project and Else'''
vincent_ramos_3766	Vincent Ramos	92.0	96.1	'''(Agree find would) 	 Name nor and Draw very lay consider worry produce'''
joseph_walsh_3782	Joseph Walsh			'''Walk station: Back add even itself	 Evening'''
katie_smith_6612	Katie Smith	28.0	51.1	'''Parent consumer behavior box catch character	 Measure light new Congress up Beautiful our early deal stay'''
david_roberts_0012	David Roberts	8.0	22.1	'''Run become guess money bag reveal believe: Rather treatment	 Perform speak security financial guy'''
joanna_martin_4430	Joanna Martin	5.0	53.1	'''Tax less; Know section chair 	 Front father work'''
kurt_simmons_8110	Kurt Simmons	74.0	65.1	'''Piece our understand: Impact form beyond	 Several program capital thing'''
jack_matthews_3388	Jack Matthews	7.0	90.1	'''Others land person: Himself conference these	 Turn action fact'''
kyle_sanchez_2882	Kyle Sanchez	49.0	38.1	'''Note: Indicate across	 then Painting pick'''
