name,salary,review
Sam Faulkner,46.0,"""A: Quasi illo iusto, Neque aliquid"""
Jill Berry,6.0,"""Doloribus earum perferendis: Cum amet asperiores, Ratione accusamus iure nemo"""
Samantha Lowe-Parker,29.0,"""Voluptatem maiores, Totam id Corrupti tenetur rerum"""
Stewart Foster-Green,56.0,"""Accusantium minus impedit quam; Magni molestias debitis autem facilis , Rerum fugiat ex"""
Mr Vincent Johnson,88.0,"""Dolore neque, Soluta Illo harum et corrupti itaque"""
Donald Martin-Dean,7.0,"""(Odio voluptates iste perferendis odit velit) , Consequuntur and Soluta"""
Charlotte Walton,53.0,"""Rem in distinctio quas reiciendis: Mollitia ratione sint repudiandae, Autem asperiores cupiditate minus"""
Lewis Smith,16.0,"""Nostrum eveniet quidem quasi; Dolore dolore , Quaerat"""
Amber Clark-Turner,61.0,"""Cupiditate; Veritatis nesciunt omnis iure , Hic minima sapiente soluta ab quaerat"""
Katy Buckley,73.0,"""(Ipsa vitae blanditiis minus) , Deleniti ratione aspernatur and Labore laudantium"""
Mohammed Dean,94.0,"""Ratione consequatur ratione porro; Corrupti magni numquam aliquam , Maiores"""
Duncan Webb,73.0,"""Molestias porro alias illum: Excepturi aliquid nulla, Eaque explicabo"""
Connor Williams,98.0,"""Neque a molestias: Id eveniet, Laudantium recusandae"""
Donald Taylor,97.0,"""Deserunt ab: Maxime quas, Eius itaque"""
Miss Sally O'Connor,63.0,"""Note: Ducimus quasi, then Deleniti praesentium sed"""
Connor Baker-Clarke,79.0,"""Note: Consequuntur laborum illum saepe animi exercitationem delectus, then Mollitia illum maxime veniam"""
Connor James,43.0,"""Note: Laudantium dolore facilis dolores odio, then Quam quis"""
Mr Ashley Bolton,16.0,"""(Veniam alias sequi aliquid) , Quidem hic velit non nemo and Labore"""
Ms Denise Conway,68.0,"""Eaque dolore molestias quidem: Cupiditate sapiente, Labore facilis"""
Terry Clark,69.0,"""Note: Tempora, then Numquam"""
Norman Burns-Schofield,,"""Laborum modi: Enim repellat corrupti, Sapiente tempora"""
Emily Lewis,1.0,"""Note: Perspiciatis voluptates, then Dolor perspiciatis ratione veritatis laudantium"""
Karen Douglas,25.0,"""Eaque iusto; Ut illo eveniet , Repellendus fuga"""
Gerard Ahmed,79.0,"""(Non voluptatum quam) , Tenetur id and Eligendi"""
Dr Gordon Johnston,33.0,"""Officiis optio debitis, Odit facilis Laudantium numquam velit"""
A,25.0,"""Perspiciatis praesentium, Sed unde corporis Corrupti molestiae"""
Mr Vincent Allen,7.0,"""Dolorum quas fugiat cupiditate, Quidem alias Iure similique debitis ut dolore"""
