username	name	score	price	salary	comment
hugh_wright_3505	Hugh Wright	57.0	82.1	80.2	'''Sed alias cumque: Sit labore	 Cupiditate molestiae'''
patricia_hughes_4372	Patricia Hussain-Hughes	68.0	14.1	58.2	'''Molestias illum: Iure asperiores quidem	 Voluptatem deleniti'''
david_carroll_4801	David Carroll	56.0	1.1	74.2	'''Corrupti reiciendis vero; Harum molestias tenetur quo 	 Voluptatem quaerat'''
kim_young_7159	Kim Young	87.0	95.1	83.2	'''Ut	 Repudiandae iste odit nihil architecto laudantium Ea amet voluptatem'''
mr_welch_5798	Mr Damien Welch	1.0	72.1	62.2	'''Illo	 Et ut rem Illo vel architecto occaecati esse ad'''
miss_turner_3985	Miss Natalie Turner	67.0	44.1	41.2	'''(At sapiente excepturi accusamus animi commodi) 	 Suscipit dolores expedita doloremque fuga tempora and Culpa molestiae illum reiciendis modi'''
edward_smith_6276	Edward Smith	100.0	28.1	40.2	'''Note: Quis cum ea	 then Quidem ut tempore est'''
dr_bowen_0664	Dr Chloe Bowen	64.0	26.1	53.2	'''Quibusdam doloribus: Aliquam accusantium minus sequi occaecati at	 Cupiditate quod fuga'''
helen_hall_1372	Helen Hall	64.0	91.1	41.2	'''Quam earum	 Dicta molestiae provident nobis Architecto sunt'''
sara_wilkins_3056	Sara Wilkins	65.0	98.1	77.2	'''Quisquam voluptas quae	 Modi sed nemo eaque Perspiciatis rerum'''
naomi_mills_0446	Naomi Mills	84.0	94.1	57.2	'''Assumenda perferendis nobis enim: Excepturi deleniti atque aliquid facere	 Veniam repudiandae quis nulla pariatur iste'''
kimberley_jones_1553	Kimberley Jones	100.0	98.1	7.2	'''Note: Ex ut ipsa saepe	 then Earum explicabo'''
jenna_murphy_3260	Jenna Murphy	33.0	18.1	57.2	'''Fugit dicta nulla cumque sint inventore: Eos ipsa nostrum veniam	 Fuga velit'''
mr_rogers_5155	Mr Damien Rogers	21.0	20.1	36.2	'''Veniam laudantium quos enim; Aut 	 Fuga repudiandae architecto corrupti'''
marc_young_3071	Marc Young	86.0	58.1	25.2	'''Ducimus error vitae iste unde	 Alias beatae voluptatum Provident quisquam fugiat perspiciatis'''
edward_hopkins_9458	Edward Hopkins	71.0	67.1	91.2	'''Note: Culpa deserunt maxime	 then Dolorum'''
deborah_armstrong_7145	Deborah Armstrong	58.0	29.1	41.2	'''Consequatur; Sit sequi cum 	 Possimus corporis et cumque aspernatur'''
bethan_ellis_5996	Bethan Ellis	67.0	3.1	72.2	'''Note: Accusamus sunt totam deserunt	 then Hic fuga repellendus tempora iusto'''
iain_taylor_2613	Iain Taylor	70.0	83.1	87.2	'''Totam cum sunt	 Ducimus quam similique dolores voluptatum Numquam accusamus'''
heather_andrews_3999	Heather Harris-Andrews	87.0	21.1	78.2	'''Reprehenderit dolores; Commodi voluptate iste repellendus totam 	 Incidunt nemo'''
kenneth_norton_1182	Kenneth Norton	73.0	24.1	33.2	'''Voluptatibus id	 Corrupti minima ex fugiat quis Doloremque laudantium illum'''
dr_knight_2540	Dr Peter Knight	61.0	94.1	92.2	'''Eius animi; Vero facere consequuntur voluptatibus possimus 	 Itaque deleniti ex'''
john_clarke_0310	John Clarke	48.0	20.1	3.2	'''(Dolores eligendi quisquam) 	 Consequuntur sit dolores provident and Optio magni architecto quidem'''
jonathan_brown_4045	e	22.0	87.1	63.2	'''Ullam tenetur quaerat: Nisi sequi hic doloremque	 Odio culpa'''
