username	name	age	score	note
russell_williams_0267	Russell Williams	43.0	18.1	'''Newspaper food law; May back century way practice no 	 Republican glass wide'''
mr_young_8934	Mr. Phillip Young	56.0	25.1	'''Enough edge economy: Challenge plan prevent	 Wall'''
james_pham_4669	James Pham	78.0	67.1	'''Person nature religious: Audience	 Learn rich'''
ronald_miller_6101	Ronald Miller	53.0	6.1	'''Because; Live firm at skill 	 Medical'''
brian_romero_9966	Brian Romero	48.0	35.1	'''Eight wife happen: Possible citizen professor	 Watch'''
stephanie_blair_7182	Stephanie Blair	11.0	90.1	'''(Need season choice according) 	 Parent heavy and Could specific anyone'''
rebecca_clark_0078	Rebecca Clark	85.0	76.1	'''One against reach detail: Grow beat	 Arm'''
amy_ball_8921	Amy Ball	97.0	39.1	'''We administration sound line; Democratic turn 	 Vote other'''
patricia_white_7800	Patricia White		18.1	'''Suggest beat successful; Parent 	 Drug take'''
sara_cannon_3243	e	17.0	14.1	'''Significant matter question easy	 Key wish fund Window save'''
emily_winters_0972	Emily Winters	46.0		'''(Family) 	 According career and Figure development over describe environment'''
jeffery_williams_7897	Jeffery Williams	16.0	29.1	'''Matter total: Since like health a religious	 Serious once part it respond'''
donald_ferguson_7540	Donald Ferguson	85.0	37.1	'''Stage bill act; Theory store person 	 Gas from president section listen travel'''
michelle_greer_2365	Michelle Greer	22.0	39.1	'''Note: Exactly because job mind strategy	 then Rather'''
joyce_hernandez_4023	Joyce Hernandez	15.0	89.1	'''Evidence development everybody: Concern	 Adult trouble'''
anthony_logan_8181	Anthony Logan	29.0	57.1	'''Process season	 Measure price now treatment bed Growth that similar kind'''
patricia_simon_8902	Patricia Simon	15.0	92.1	'''Note: Without simply	 then Major direction although'''
elizabeth_lyons_3087	Elizabeth Lyons	14.0	68.1	'''Change; Past hospital country 	 Time feel'''
jacqueline_pearson_7142	Jacqueline Pearson	27.0	83.1	'''Man whose writer final positive: Fine short	 Experience air gun structure'''
donald_lewis_8707	Donald Lewis	40.0	7.1	'''Size attack follow create establish	 Individual close Statement stuff record start'''
taylor_thomas_7623	Taylor Thomas	68.0	5.1	'''(Unit minute) 	 Record by maybe tend candidate and Must camera task best'''
joanna_adams_2970	Joanna Adams	28.0	98.1	'''Note: College	 then Plan force organization remain'''
