# This is a comment line to skip
username;rating;total_count;price;note;message
melinda_nguyen_4761;73.0;7.1;81.2;"""Full art: Save vote; Food political response necessary many""";"""Note: Have nation particularly worry write; then Place fill conference"""
ronald_wilson_3058;49.0;89.1;95.2;"""Interest itself ask bad figure write; Issue generation ; Enough lose""";"""Himself suffer behind manager; Lay focus student bag ; Court machine"""
bobby_horne_5245;3.0;52.1;19.2;"""Word authority suggest property trouble: Teacher two campaign foot; Development trial TV smile quickly business""";"""Foot partner what; Pm east also two Ever hear sort"""
john_contreras_7271;14.0;51.1;51.2;"""Note: Law; then Join employee""";"""(Argue our treat watch light) ; Move and Research"""
jasmine_neal_0298;18.0;9.1;33.2;"""(Good actually) ; Quality great and Great seat blood message story interview""";"""Evening read conference; Run ; Research rise measure return song white"""
kimberly_moore_7090;57.0;78.1;1.2;"""Recent coach concern compare; Behind receive quickly themselves World next""";"""Nearly partner religious remember: Smile mission much piece; Think senior into"""
danny_perkins_1140;43.0;82.1;87.2;"""Religious may discussion address; Model ; Current arrive""";"""(Talk nearly bag soon market) ; Alone conference office and Gun be data"""
mark_mitchell_4176;52.0;19.1;18.2;"""Pressure by machine: Firm fall participant health white; Add""";"""Analysis cup improve student network; Actually Plant program"""
george_bray_1947;40.0;95.1;74.2;"""Study chair; Without lead society ; Ask attention kid trade""";"""(Good professor buy) ; Among box and Wear white rest"""
bob_potter_6191;34.0;1.1;99.2;"""Above drug establish deal it gun; Provide eight institution read size ; A hand important meeting""";"""(Answer ask each focus) ; Financial story and Also could order green hotel car"""
stacey_collins_5201;93.0;22.1;68.2;"""(Own generation) ; Source about and Story nature wall""";"""Note: Style card last; then Early now study"""
linda_gallagher_4661;70.0;74.1;18.2;"""(Tell list public) ; Dream water cover and Tree realize perhaps line leave usually""";"""Month thing plan or television: Stop; She"""
james_walker_5992;8.0;12.1;57.2;"""Idea; Thousand trouble rule ; Think process painting least trial region""";"""Help professor throw floor: Art any others; Interest"""
christine_roberson_3569;64.0;44.1;94.2;"""Analysis: Draw seven ball; Wrong""";"""(Attack close ready) ; Dog charge exactly gas ask stock and Difficult too"""
kiara_brown_8631;94.0;39.1;99.2;"""Parent grow; Pick toward what ; Perform experience""";"""Fight long choice design; Tax similar ; Team truth want"""
brian_smith_9498;58.0;47.1;69.2;"""(Seem think) ; Song country investment and Country""";"""Gun close religious thank protect: Out enjoy; Cultural"""
steven_evans_4591;;92.1;;"""Note: Thus response establish gas management including; then Happen must character investment""";"""Dream them view treatment; Teach deal tend here pretty Ok fall"""
edward_peterson_0630;62.0;13.1;16.2;"""Dream yourself bag none: Expert guess; Boy church start up prove""";"""(Relate cover artist above address) ; Many and Card enough"""
tracy_thompson_0800;33.0;100.1;55.2;"""Foreign: Become each can; Degree herself thousand deep assume""";"""Note: Voice sure however; then Story score may finish"""
