# This is a comment line to skip
name;price;note;review
John Rosales;64.0;"""(Statement key sure of) ; Him president defense three investment and Most office soldier billion international""";"""Stand; Leader other how tell draw ; Charge whom activity"""
Christine Campos;98.0;"""(That fact trip range) ; Like expert such and Senior rock none where""";"""Note: World minute; then Describe per more"""
Alexander Vaughn;11.0;"""Win; Billion PM anything Identify office old process""";"""Note: Stage lose; then Every"""
Tammy Hernandez;59.0;"""Right your always wall; Myself little standard from hotel home Picture the career""";"""(Cell quite) ; Best environmental and Scientist trouble"""
Aimee Johnson;46.0;"""Home show heavy; Letter yet Government huge""";"""(Green entire) ; Her factor what and Mother"""
Mr. Roy Castillo PhD;50.0;"""Choice; Turn ; Pay people air customer""";"""(Arrive) ; Woman step budget why and Ahead"""
Audrey Williams;29.0;"""Music that example: Point air move; Color argue already""";"""(How others this) ; Play stop and Far policy"""
Devon Liu;46.0;"""Between bag style although police: Foreign school half run tree; His half impact""";"""Listen last: Option social simply but; Phone thing store reveal amount hour"""
Theresa Mcdowell;17.0;"""Fact; Authority or us Rise without""";"""Note: Cause team; then Wide save"""
Tyler Ballard;;"""Kind position one; Challenge standard Win article fear training""";"""Minute spring situation reach; Face travel more impact ; Foot"""
Dana Compton;94.0;"""(Huge within rise) ; Know need decide always and Guess big""";"""Note: Lawyer those; then Southern"""
Rebecca Barker;70.0;"""(Charge often go) ; Improve message someone deep and Place""";"""Stop which industry western; Movie audience want see oil everyone ; Manager laugh article"""
l;2.0;"""(Surface general) ; Pay final and Watch""";"""Best cause upon appear; Attention eight ; Hand finally detail"""
Deborah Erickson;68.0;"""Commercial low break; Rest ; Opportunity own""";"""Reach television mean: Foot side finally increase; Usually spring"""
Theresa Harris;93.0;"""Note: Sometimes little never; then Audience affect""";"""Woman war; Writer memory at Last"""
Roger Meyers;30.0;"""(Stop yard voice movement follow) ; Talk culture and His too""";"""(Significant activity seat) ; Life tough life and However compare least event"""
Allen Phillips;26.0;"""Red grow; Morning value fine Decade able economic""";"""Civil politics: When; Rest"""
Connie Harvey;57.0;"""Director ask almost everyone tonight; Inside six suffer former several ; Red""";"""Check environmental; Smile production Market article eat general realize"""
John Lee;34.0;"""(Commercial window imagine message marriage) ; Of home by image represent and Catch sound left president""";"""Movement do; Reason senior score suddenly include throw Rock number doctor thousand"""
Michael Russo;12.0;"""(Another eye cost large yes fear) ; Public security conference sea and Relationship loss""";"""Fly range doctor team site; Sometimes every first game campaign ; Including look father factor necessary"""
Gary Boyd;32.0;"""Movie war hundred; Form whether language cut Oil share theory""";"""Its performance; Manager miss ; Opportunity lead million"""
Amanda Gonzalez;71.0;"""Note: Ago thought; then Minute another""";"""Note: Protect operation these yes practice fill; then Actually clear"""
Anthony Torres;22.0;"""Past serve force; Herself student well Must off quickly threat the""";"""Experience win; Sound final race Lose should"""
Mary Woodward;35.0;"""Answer side kitchen; Month job interview ago still Billion government few pay although""";"""South determine call four; Old total ; Deep find available"""
Megan Sullivan;45.0;"""Note: Budget land bed want; then But note American""";"""(Community will forget including fill) ; Friend and Particularly daughter check each minute"""
Amanda Watson;39.0;"""Want box hope; How memory forward PM process Plan rather it really""";"""Note: Group have sport; then Yes above"""
Tracy Robles;41.0;"""Style just: Fear her national health; Try guy beyond""";"""Chance arm force international; Face glass figure Security live"""
Megan Daniel;39.0;"""Strong field; Program best Firm""";"""Note: Now statement individual; then Throw true"""
Brian Duke;3.0;"""On education beyond star; Sometimes piece focus finally sign Body""";"""Note: Operation; then Where month of"""
Denise Young;46.0;"""Trial ever natural; Concern very war ahead ; Least""";"""Arrive material course: Wear people; Child keep"""
