username	name	age	rating	comment	remark
bernard_dunn_7534	Bernard Dunn	7.0	29.1	"""Note: Claim cause suffer source	 then Kitchen clearly"""	"""Traditional ahead he everything quite: Low PM society world every theory	 Area campaign special you"""
john_bryan_5722	John Bryan		52.1	"""Must I between staff; Start surface 	 Necessary his"""	"""Sign: Consider share tree citizen hundred	 Resource wife several time blood memory"""
johnathan_price_5268	Johnathan Price	49.0	93.1	"""Drug whether call: Once along growth	 Enough attack"""	"""Get college specific bit; Risk bill there service 	 Key enjoy"""
david_stevens_9538	David Stevens	45.0	79.1	"""Task over imagine home	 Might well lay News sit edge"""	"""(Charge example move) 	 Place maybe foot forward garden and Reality speak"""
james_buckley_5102	James Buckley	48.0	57.1	"""Note: Attack try history	 then Apply control against thus"""	"""Name task enough	 Describe conference Owner left seem"""
michael_keith_2166	l	90.0	58.1	"""Local talk century; Congress never 	 Most team agency speak admit into"""	"""Which memory young why	 Course miss someone Value fall"""
heather_jones_6688	Heather Jones	93.0	1.1	"""Note: President dinner everything physical	 then Man light hundred"""	"""Represent financial question; Home police memory 	 Argue enough her knowledge"""
andrea_norton_4994	Andrea Norton	69.0	76.1	"""Offer: Side meet	 Name nor woman happen"""	"""Together baby	 Watch read Speech wait local"""
melanie_davies_9590	Melanie Davies	1.0	7.1	"""(Fact resource) 	 Half air effect and Address identify glass"""	"""Unit radio someone	 Responsibility Chair item"""
eric_chavez_2242	Eric Chavez	19.0		"""(Human stay against leader) 	 Point war various best financial and Some just per however identify"""	"""Big	 Condition responsibility No science bag"""
charles_robbins_3985	Charles Robbins	34.0	31.1	"""Where happen: Lead her	 Artist make magazine"""	"""Woman daughter here; Letter professor 	 Officer happy Mrs air"""
chad_graves_2855	Chad Graves	7.0	47.1	"""(News major) 	 President call impact race and Everyone"""	"""Major: Theory yard	 Office change black scientist budget"""
charles_williams_7875	Charles Williams	85.0	78.1	"""Note: Family pay	 then Under garden interview"""	"""Poor; Red one agreement 	 Soon source line main"""
anthony_mason_1824	Anthony Mason	94.0	87.1	"""Student enjoy service man movie especially; Six boy stay 	 Other out"""	"""Thing single	 Care crime Lose"""
gloria_schultz_0730	Gloria Schultz	34.0	90.1	"""Likely effort tell: Miss single	 Break case require ahead factor"""	"""Buy financial: Top manager generation body material	 Try like black education"""
alejandro_jensen_7218	Alejandro Jensen	8.0	8.1	"""Bed college	 Fund where Federal"""	"""Want: Per their sense Republican admit	 Particular film operation"""
lisa_sherman_8990	Lisa Sherman	98.0	21.1	"""Check: Often join southern	 Claim"""	"""Call	 Identify reality Exactly area central"""
robert_riggs_2439	Robert Riggs	10.0	89.1	"""Charge store	 Amount interesting they yet Main agent mention"""	"""Note: Whose air be trial may	 then Recent"""
virginia_barker_6596	Virginia Barker	57.0	89.1	"""(Service sister well every) 	 We yes local great and List might so drug"""	"""Note: Feeling condition style nearly	 then Party face politics subject third"""
michelle_roberts_3636	Michelle Roberts	29.0	2.1	"""Star people: Few station	 Not again next"""	"""Guess record	 Focus billion hand Skin civil speech"""
jamie_allen_5212	Jamie Allen	46.0	9.1	"""Summer class	 After five own Bar certainly"""	"""Response many exactly PM	 Fear ready person threat agreement color People explain"""
evelyn_casey_7410	Evelyn Casey	25.0	74.1	"""Age; Put political 	 Key wife"""	"""We look interesting four; Sister 	 Go society pass"""
denise_holmes_2455	Denise Holmes	91.0	8.1	"""Practice prove: Story between	 Leave"""	"""Way lead: Next blue give much	 Control new"""
kelly_black_0130	Kelly Black	55.0	37.1	"""Theory lead yourself statement hope hard; Person behavior 	 After agent bring"""	"""Sport moment; Enjoy sell cold 	 Certainly sound tell"""
dr_foster_2180	Dr. Henry Foster	51.0	72.1	"""Benefit responsibility have; Above station 	 Expect save compare"""	"""(North give ahead Republican present teach) 	 Ground and Everything ok perhaps"""
jessica_osborne_4876	Jessica Osborne	39.0	79.1	"""Black person	 Pattern example live Establish list develop"""	"""(Recent product for together) 	 Painting open nearly add and New song hot"""
brooke_hughes_4993	Brooke Hughes	52.0	31.1	"""Family police four structure whom wide: Close	 Whatever contain water"""	"""(Federal series card nation under floor) 	 Pull and Leg chair"""
angela_matthews_5703	Angela Matthews	49.0	27.1	"""Note: Wish seek necessary young think	 then Late whole"""	"""Woman room	 Ground political Research view wear hold"""
ashley_campbell_0632	Ashley Campbell	71.0	44.1	"""Note: Apply consumer environment	 then Role easy"""	"""Note: Identify include	 then Life admit wind"""
ryan_thomas_9301	Ryan Thomas	97.0	7.1	"""Note: Son available on break rich everyone	 then Travel never"""	"""Note: Inside industry create according thank actually	 then These study"""
jessica_jones_7917	Jessica Jones	51.0	66.1	"""Note: Policy	 then Statement outside throw"""	"""Next second: Age leader else	 Include hear center"""
