name,username,salary,review
Kenneth Cochran,kenneth_cochran_4382,,'''Approach form ground: Drug military never business, Person only although line girl'''
Wendy Roberson,wendy_roberson_6053,13.0,'''(Trade) , Yard and Treat second have'''
Angel Osborne,angel_osborne_5324,69.0,'''Party run allow kid teach radio, Card me product Thought cell board score decade'''
Jeffrey Burton,jeffrey_burton_4129,32.0,'''Down phone: Issue religious, Officer nothing'''
Matthew Bailey,matthew_bailey_6606,29.0,'''Lot building, Pass director various Half tree any community fact thank'''
Gregory Powell,gregory_powell_1108,18.0,'''Find fly: Whom president end writer, Father specific'''
Sarah Parker,sarah_parker_7656,24.0,'''Charge great, Fire team Machine change thank'''
David Maxwell,david_maxwell_4782,17.0,'''Rich two school serve particularly responsibility; Gas , Million hope'''
Daniel Robertson,daniel_robertson_5783,93.0,'''Order, Image economic most throw Only learn'''
Renee Hendricks,renee_hendricks_1522,90.0,'''Store week; White property , National explain'''
Douglas Wilkins,douglas_wilkins_6700,77.0,'''Guy even nearly front friend: Reason agreement, Understand wall situation'''
Kristen Cain,kristen_cain_3006,6.0,'''Dinner administration create fill suggest let, Later far Give ahead possible a debate rock if'''
Bruce Lawson,bruce_lawson_0248,24.0,'''Price interest campaign, Education system Federal admit'''
Miranda Smith,miranda_smith_1869,83.0,'''Turn job, Soldier but dog scene Describe either ago business'''
Daniel Perez,daniel_perez_2540,66.0,'''These outside deal line: Once economy help month dinner condition, Think part stage they'''
Carol Diaz,carol_diaz_2592,17.0,'''Media since: Which million toward, Much hotel'''
 ,mr_anderson_2096,72.0,'''Population do: Management, Sense evening'''
Curtis Fisher,curtis_fisher_4324,90.0,'''Assume, Ago west will performance Other thought compare'''
Madeline Walker,madeline_walker_1113,26.0,'''Account when security research set any: Realize, Republican upon participant'''
Deborah Chen,deborah_chen_0806,35.0,'''(Eye without baby) , Customer authority remain despite decade and Building whether'''
Joanne Walker,joanne_walker_4973,30.0,'''Everyone cold company woman, Information nearly image join administration Skin'''
Kimberly Williams,kimberly_williams_9870,59.0,'''(Class easy) , School main system interesting and Mean if evidence'''
Miguel Murray,miguel_murray_6156,70.0,'''Final ever another: A peace decide enjoy, Run question kind'''
Anthony Hall,anthony_hall_1284,52.0,'''Should; Matter because hope operation , Film leave'''
Blake Griffin,blake_griffin_4959,81.0,'''Professional situation left; Bring guess , Three general pick drug'''
Kristina Carpenter,kristina_carpenter_8456,2.0,'''Business offer, Who dinner husband water Field near'''
Benjamin Taylor,benjamin_taylor_1696,40.0,'''Hospital scene: Popular treat, Fight'''
Gary Guzman,gary_guzman_3820,12.0,'''See without college where, Join issue Door skin'''
