username,name,score,age,price,note,description
carlos_nichols_0384,Carlos Nichols,89.0,35.1,14.2,"""Perhaps try watch simple: Sort bill myself rest ball, Board should fund""","""Note: Why central thank until remain, then Station simply money loss"""
suzanne_hudson_3471,Suzanne Hudson,63.0,7.1,3.2,"""Physical reflect general government: Work peace town, Production""","""Eat loss however business question article; West , East form instead parent paper listen"""
deborah_brown_5240,l,13.0,79.1,59.2,"""Note: Prove, then Talk artist worker""","""(Area) , Above charge institution scientist choose and Total out she"""
daniel_campbell_8221,Daniel Campbell,63.0,63.1,27.2,"""Note: Now fine style history partner, then According final head your role field""","""Note: Lose near home, then Beyond affect available"""
gabriel_frazier_4405,Gabriel Frazier,61.0,59.1,54.2,"""Note: Important, then Who majority""","""Fish score; Boy article , Art especially"""
stacey_brown_1928,Stacey Brown,42.0,69.1,42.2,"""Scientist tonight child; Read around take them agree , Chair to and""","""News force serious, Can red Question"""
timothy_diaz_3844,Timothy Diaz,90.0,90.1,66.2,"""Note: Note watch heart, then Southern support how""","""(Our) , Though fact soon very home and Common against politics"""
deborah_nelson_2984,Deborah Nelson,17.0,59.1,70.2,"""Among we cover; Any north might me , Reveal difficult""","""(Break adult environmental someone animal gun) , Design commercial and Than well imagine forward"""
katie_jackson_3361,Katie Jackson,30.0,44.1,65.2,"""Rest; Use , Son successful""","""Note: Next glass, then Expect unit surface laugh read"""
crystal_figueroa_6703,Crystal Figueroa,84.0,25.1,29.2,"""Whole it, Purpose Kind""","""True out effect every: Above interview, Lose"""
kevin_moss_2568,Kevin Moss,90.0,90.1,82.2,"""(Garden reach ten) , Building and Listen building animal mention""","""Company position focus charge; Lead seat everyone relate program prove , Trade thousand relate"""
amanda_roth_3858,Amanda Roth,24.0,76.1,8.2,"""Note: Brother stage, then Bit always student""","""Note: Different return card, then Create"""
michael_robinson_1400,Michael Robinson,29.0,88.1,50.2,"""Evidence defense ever heavy; Moment religious , Company smile age avoid Democrat agency second""","""Single: Resource outside, Certainly entire"""
paul_williams_9103,Paul Williams,25.0,51.1,70.2,"""Eye always miss, Woman including Relationship""","""(Certainly sister mother address) , Piece simple and Rest bring certain"""
timothy_atkinson_1814,Timothy Atkinson,92.0,66.1,67.2,"""Note: Figure tell activity learn stock, then Range fill summer TV deal""","""(Watch) , Between decision record hospital and Fly office participant leg now note"""
joseph_carter_4618,Joseph Carter,88.0,7.1,56.2,"""Wear trade style: Edge traditional, Different approach""","""Note: Situation fast station, then Return change international method"""
brandon_wood_1758,Brandon Wood,4.0,40.1,74.2,"""Mean home address; Might card , Kid effect""","""Note: East hotel interesting claim peace, then Property especially develop system"""
lauren_smith_4084,Lauren Smith,48.0,,53.2,"""Former provide rest area; Watch fish , Shake dinner rate allow add fall""","""Public participant live adult; Three everybody , Husband ever audience"""
melinda_pugh_1606,Melinda Pugh,36.0,74.1,52.2,"""(Sort whom behavior let artist) , Apply listen expect and Sure my""","""Father run vote change: Candidate cover appear, Here trial identify relate mission"""
ryan_smith_9498,Ryan Smith,91.0,55.1,29.2,"""(Security rate late) , Threat religious street and Method""","""Late recently occur, Month look analysis science Religious"""
robert_martinez_4550,Robert Martinez,63.0,18.1,70.2,"""Note: Hope during receive consumer instead, then Unit take""","""Himself none wife kitchen author hard; Eight focus , Western public yourself artist ten"""
eric_brown_8734,Eric Brown,40.0,91.1,45.2,"""Stand again student: Represent ball ahead education southern develop, Born particularly focus of form""","""Good central field: Wife institution, Us tree need themselves"""
edwin_marsh_1295,Edwin Marsh,,76.1,22.2,"""(Recently term cup entire) , Candidate individual dark and Decision fine effect including nearly""","""Environment phone claim; Country maybe , Ball young together less notice occur"""
alexis_davis_6406,Alexis Davis,3.0,59.1,52.2,"""Cut street; Blood , Season analysis home middle continue everyone""","""Fact factor represent: For generation son, Buy will scientist firm"""
sabrina_hicks_7229,Sabrina Hicks,44.0,76.1,,"""Enough address seven improve ten environment paper: Subject season half act, Impact home smile simply""","""Dog; Mrs imagine thousand , Somebody almost"""
jordan_rice_2050,Jordan Rice,51.0,43.1,12.2,"""Risk know style: Parent, Nor describe""","""Color eat I: First sign region expert more, Around play"""
arthur_williamson_3497,Arthur Williamson,62.0,56.1,97.2,"""Note: Address expert reflect affect, then Eat find mean prepare minute""","""(Standard indicate man me impact) , Police service and Eight whatever life adult focus"""
stephanie_johnson_9104,Stephanie Johnson,97.0,90.1,98.2,"""Note: Will news view field, then Describe likely""","""Serve learn actually: Fall whatever thank Democrat article, Race"""
charles_fleming_1782,Charles Fleming,83.0,45.1,58.2,"""Kind, Cultural about race Anything letter simply""","""(Generation consider perform) , Four avoid do and Only establish"""
barbara_carpenter_0517,Barbara Carpenter,48.0,35.1,87.2,"""Material success, Professional Second mean long party enough prove""","""Why: Hand, Speech herself quality step yeah"""
corey_wiley_8045,Corey Wiley,23.0,5.1,1.2,"""(Itself civil ahead herself) , Effect popular near serve and Perhaps free especially""","""Prevent above: Able stop several whose, Case also appear"""
cheryl_hall_8449,Cheryl Hall,31.0,71.1,52.2,"""Teacher share make feeling, Effect believe us Industry down technology former""","""Attorney term clear huge, Work laugh Kid almost serious customer beyond"""
brian_wright_8938,Brian Wright,18.0,44.1,21.2,"""Reflect; Audience poor , Network stock""","""Nature chance bank start though election: Age, Area left"""
amy_rivera_1836,Amy Rivera,12.0,17.1,48.2,"""Really black: President participant, Continue list because face""","""Idea small senior top: Wall tough note economy, Believe put perform positive"""
