# This is a comment line to skip
name	username	salary	review
James Reyes	james_reyes_8525		"""(Scene lay) 	 Study morning recognize and Pull including land"""
Emily Oneill	emily_oneill_0085	41.0	"""Discuss water: According produce	 Simply personal"""
Jennifer Tate	jennifer_tate_7152	25.0	"""Kitchen	 Board media garden action imagine experience region Wrong"""
Laurie Holland	laurie_holland_6355	63.0	"""(Police save threat else) 	 Tax and Current give return"""
Sheryl Reyes	sheryl_reyes_0547	27.0	"""Note: Occur power with design	 then Region his"""
Rachel Dunn	rachel_dunn_1843	13.0	"""Every still board	 Doctor attorney Country police body place sometimes"""
Stephanie Gonzalez	stephanie_gonzalez_5561	95.0	"""Claim necessary; Hold fund 	 Would necessary majority note lose"""
John Phillips	john_phillips_5732	26.0	"""Free	 Commercial each Consumer story plant"""
John Brown	john_brown_3200	5.0	"""(Budget least) 	 Hotel deal entire determine shake heart and From month"""
James Hughes	james_hughes_9636	97.0	"""Stock sense type; The doctor 	 Pretty face apply film"""
Kim Choi	kim_choi_1990	77.0	"""Act: Describe very dream total	 Operation account"""
Michael Hardin	michael_hardin_6022	92.0	"""Note: Challenge impact century	 then Camera"""
 	alice_garner_7805	33.0	"""Similar yes	 Look ready Live class compare"""
Richard Jackson	richard_jackson_0270	35.0	"""Note: Believe prepare	 then Design save"""
Raymond Newman	raymond_newman_0030	45.0	"""Note: Media yourself history national	 then Information"""
Richard Santos	richard_santos_4239	42.0	"""Note: Resource both everyone law any	 then Blue try determine but"""
Andrew Lyons	andrew_lyons_8935	54.0	"""Close thought talk class forward home: Whether type human sister miss	 Total beyond but home"""
Laura Ballard	laura_ballard_6712	18.0	"""Note: No quite have usually difference	 then Bank rich series"""
Charles Turner	charles_turner_2214	42.0	"""Or effect piece; Arrive bad back rate campaign 	 Protect who sit listen fire act"""
Karen Mason	karen_mason_2079	31.0	"""Music score	 What guy push suddenly road friend Rise computer people"""
Shannon Fisher	shannon_fisher_7240	96.0	"""Mr success trouble	 Person world Amount"""
Michael Smith	michael_smith_7119	58.0	"""Note: Feeling teach available else them provide	 then Consider"""
Carlos Black	carlos_black_9675	88.0	"""Note: Nothing research	 then Story father sign anyone"""
Daniel Collins	daniel_collins_8195	73.0	"""Create better son believe: Different project speech white near	 Per inside through can"""
Dylan Padilla	dylan_padilla_9693	11.0	"""Note: Final order realize response	 then Participant cell structure"""
Terry Lopez	terry_lopez_5445	56.0	"""Walk happy: Budget	 Of lead tell"""
Mark Olson	mark_olson_5079	38.0	"""(Everything shoulder wonder) 	 Tough from security class same hit and Establish"""
