# This is a comment line to skip
name;age;price;total_count;comment
Jennifer Hester;89.0;87.1;16.2;'''Note: Pattern traditional break; then Will play'''
Steven Fuller;88.0;9.1;3.2;'''Environment respond human: Always summer half box shake; Whether family'''
Mrs. Kristin Nelson;39.0;18.1;93.2;'''Note: Board husband; then Senior edge age'''
e;13.0;35.1;19.2;'''Beyond believe: Near to; Good third point just free condition'''
Nicole Evans;80.0;90.1;8.2;'''Value available but space kid: Southern; Able first expect however partner'''
Mrs. Lauren Bender PhD;86.0;25.1;22.2;'''Note: Religious large candidate; then Design where'''
Ms. Ariana Thompson;23.0;41.1;38.2;'''Challenge catch: Present south; Information'''
Jessica Mathews;39.0;76.1;26.2;'''Where return: Lay assume sound be; Kind computer recent station'''
Sandra Ellis;5.0;6.1;98.2;'''Note: Travel; then Heavy then'''
Chad Lozano;51.0;75.1;51.2;'''Note: Usually above city; then Despite seat eight meeting actually'''
Katherine Nelson;51.0;1.1;27.2;'''Expect chance know air bring; Not feel story Other hold'''
Mark Martin;32.0;80.1;15.2;'''Technology whether; Store moment piece Fast put floor learn evidence'''
Megan Simon;89.0;39.1;;'''Bar enjoy realize free; Author pick green either build Idea front'''
Julie Collins;27.0;27.1;33.2;'''Statement meeting so stock already; Dog sit beat effect Scene scene'''
Melissa Richmond;30.0;45.1;1.2;'''Note: Appear special sea; then Republican prepare life onto second'''
Edwin Krueger;42.0;55.1;99.2;'''View behavior better water; Partner fire week ; Design customer new month'''
Michelle Torres;46.0;54.1;36.2;'''Support raise; Near ; Bill candidate floor structure family information'''
Andrew Sharp;12.0;;74.2;'''Social and more: Item kid; Edge physical'''
Christopher Brown;63.0;97.1;67.2;'''Note: Try thus politics; then Seem sure plant Democrat court agent'''
Victor Madden;43.0;83.1;36.2;'''Human; Food lot ; Night generation'''
Lee Spencer;53.0;66.1;92.2;'''Little event; Writer book rate Wall treat international write know'''
Teresa Barber;76.0;73.1;17.2;'''Religious dinner: Upon else forget; Set man low'''
Andrew Guerrero;13.0;94.1;56.2;'''Note: Team career agency pick; then Anything after huge'''
Kendra Marsh;8.0;42.1;96.2;'''(Debate act room stuff) ; Garden arrive and How bad'''
Amber Williams;32.0;10.1;28.2;'''Machine; Turn really Hair'''
Jacob Martin;3.0;61.1;75.2;'''Film alone race; Degree ; Cut turn or require never'''
David Davis;55.0;58.1;9.2;'''Size; Radio poor price early Him across doctor marriage'''
Jennifer Richardson;;29.1;35.2;'''Receive PM; Bed Child'''
Jamie Allen;69.0;53.1;15.2;'''Your receive; Security thing process until ; Part job money'''
Evan Hamilton;99.0;36.1;17.2;'''Teacher arrive: These until top; Big value'''
Melanie Richardson;81.0;63.1;55.2;'''(Statement national right create) ; Item and Major join front everything nearly'''
Jeanette Salas;17.0;20.1;75.2;'''Note: Suffer past gun fact add; then Way'''
Taylor Francis;42.0;4.1;12.2;'''Town establish out; Effect police she least ; Sense second'''
