# This is a comment line to skip
username;price;salary;remark
howard_shah_8747;7.0;92.1;"""Enim; Nihil officia rem quasi Fugiat"""
derek_george_1254;20.0;8.1;"""Quam quae: Numquam sapiente; Soluta ratione sequi voluptatum"""
jennifer_wood_7339;75.0;29.1;"""Unde neque blanditiis: Dolorem officiis neque maxime; Architecto"""
miss_taylor_0757;33.0;58.1;"""Ut: Ab; Perferendis"""
mandy_atkinson_3413;11.0;37.1;"""Note: Sunt earum minima sapiente beatae; then Totam illum rem excepturi"""
christine_jones_6665;27.0;9.1;"""(Voluptas esse) ; Soluta eos cupiditate fuga and Error ut"""
leah_bird_4604;85.0;74.1;"""Magni sed quibusdam eaque corporis: Quidem quasi; Vero porro corporis"""
miss_singh_2988;24.0;3.1;"""Officia delectus magni odit; Quidem dolore Deleniti"""
kerry_bates_9184;42.0;64.1;"""Tenetur ratione accusantium: Ratione earum quas; Laborum aspernatur nulla"""
bruce_robinson_7513;25.0;30.1;"""Doloribus error nostrum: Ducimus soluta est minus debitis; Accusamus ullam provident"""
charlene_watson_7865;94.0;99.1;"""Temporibus; Expedita quibusdam magnam maiores Veniam minus facere"""
mr_walker_8007;71.0;86.1;"""Repudiandae temporibus suscipit; Amet id animi quo doloremque ; Ea explicabo"""
terence_moore_2821;31.0;88.1;"""Perspiciatis dolores eos ab sed: Ipsam iure; Minima eum non"""
miss_jones_0932;55.0;38.1;"""(Accusantium molestiae) ; Praesentium rem exercitationem and Odit quisquam eveniet facilis tempore ex"""
clare_norman_6846;67.0;96.1;"""(Debitis sed) ; Ipsam facere vitae and Nobis corporis dignissimos autem"""
olivia_clements_2712;;90.1;"""At; Assumenda quo maxime ; Doloremque corporis illo alias"""
toby_crawford_6811;3.0;57.1;"""(Accusantium) ; Doloremque veniam and Temporibus praesentium omnis tempore rem dignissimos"""
ms_blake_9968;8.0;13.1;"""Provident delectus eius architecto; Distinctio Ratione"""
mrs_knight_1121;16.0;58.1;"""Architecto saepe fugit nihil quidem: Natus voluptate pariatur; Quae facere consequatur exercitationem"""
adam_williamson_5623;55.0;11.1;"""Tenetur dolore doloribus reiciendis ut; Doloremque similique natus amet Temporibus voluptates"""
dominic_davies_8408;21.0;84.1;"""Cumque: Animi architecto; Quia"""
james_holloway_5484;96.0;;"""Quisquam quia reiciendis accusantium; Nulla expedita odit quam nisi laborum Aperiam vel cupiditate"""
dr_lawrence_0655;81.0;4.1;"""Harum aliquid accusantium: Quo; Quas iusto saepe excepturi nam"""
lynn_welch_6930;98.0;94.1;"""(Dolore molestiae fugiat assumenda commodi) ; Debitis recusandae and Voluptatem deserunt"""
bethany_evans_5768;87.0;8.1;"""Sunt neque: Adipisci unde; At occaecati"""
miss_robinson_9376;7.0;92.1;"""Dignissimos corrupti eligendi; Voluptatum necessitatibus saepe ; Nam"""
mr_rose_8953;78.0;96.1;"""Note: Voluptate inventore accusantium beatae natus; then Quas enim"""
alan_harris_5975;11.0;55.1;"""Possimus libero; Quia dolorem ; Ducimus beatae dignissimos rerum impedit illo"""
dr_hope_5566;72.0;45.1;"""Note: Esse officiis; then Sequi nulla"""
