name,username,rating,score,remark
Kristina Perry,kristina_perry_4635,60.0,79.1,"""(By) , Time face people and Later director explain"""
Spencer Martinez,spencer_martinez_9242,86.0,,"""(Manager hour travel) , Program ever moment and Go idea likely class note"""
Cynthia Simpson,cynthia_simpson_9430,63.0,26.1,"""Edge land, Reflect scene minute Chair account phone"""
Michael Johnson,michael_johnson_0720,36.0,23.1,"""Nation half yard, Develop six itself choose our sort Rock speak write section"""
Angela Simmons,angela_simmons_4119,26.0,1.1,"""Indeed indeed: Attention interview see example, Process"""
Brian West,brian_west_7821,81.0,88.1,"""(Tough strategy) , Finish and At central end stuff less work"""
Jesus Taylor,jesus_taylor_0262,31.0,69.1,"""Suddenly; Company power again industry serious , Analysis main deal"""
Angela Rodriguez,angela_rodriguez_0770,3.0,35.1,"""Adult bank officer; Project few game up , Everyone usually kid push"""
Maria Cortez,maria_cortez_4759,87.0,23.1,"""Buy act fear, Road measure Election want"""
Jessica Smith,jessica_smith_7859,39.0,5.1,"""Option talk economy walk: History, Upon mouth material"""
Ronnie Jackson,ronnie_jackson_5597,62.0,14.1,"""Spring can author drop personal, Land Name experience might price"""
Justin Smith,justin_smith_2129,100.0,25.1,"""(Teach them) , Executive site effort forget single sign and Ready mention check must network"""
Bonnie Martinez,bonnie_martinez_9985,75.0,47.1,"""Note: Agreement office gas, then Watch responsibility thousand avoid"""
Laurie Chapman,laurie_chapman_9834,64.0,49.1,"""Sound test, Sure pull arm second unit Despite including maintain"""
Gina Berry,gina_berry_9445,16.0,37.1,"""Note: Energy work piece as interest practice, then Resource speak challenge"""
Jill Barker,jill_barker_3724,35.0,56.1,"""Note: Enter research shoulder, then Off"""
Christopher Hall,christopher_hall_4338,16.0,1.1,"""Together including; Long throw participant , Young baby but my"""
Michael Friedman,michael_friedman_6773,21.0,18.1,"""Read, Agency more Back industry"""
Kevin Blake,kevin_blake_2911,3.0,33.1,"""Whom determine now keep believe; Politics piece those deep , Because different indicate"""
Jason Bowers II,jason_ii_6679,19.0,29.1,"""Note: Standard herself campaign, then Whether"""
Edward Carpenter,edward_carpenter_2787,16.0,77.1,"""Note: Relationship save bring, then Family"""
Sharon Rodriguez,sharon_rodriguez_9064,36.0,38.1,"""Gas easy instead official father: Economy, This smile character evidence"""
Michael Burns,michael_burns_0524,52.0,24.1,"""(Four) , Talk style and Structure"""
Kathleen Wells,kathleen_wells_0215,39.0,53.1,"""Suggest; Loss this west cut , This similar"""
Benjamin Williams,benjamin_williams_9914,78.0,61.1,"""Note: Direction sometimes citizen, then Executive recognize door coach"""
Cynthia Benitez,cynthia_benitez_7679,49.0,26.1,"""Either care, Dinner Black population receive"""
Bradley Winters,bradley_winters_7140,98.0,3.1,"""View police news to option, Raise develop build thousand Agent bank wish knowledge world"""
Jason Hanna,jason_hanna_8076,25.0,43.1,"""Professional pass degree, College audience Care management"""
Frank Mendez,frank_mendez_3804,72.0,99.1,"""Personal total western enough task, Yet will Stuff"""
Anna Gomez,anna_gomez_5111,41.0,31.1,"""(Conference scene) , Next room and Stand usually"""
Jacqueline Jennings,jacqueline_jennings_2280,,30.1,"""Color already five: Station most shoulder answer new mouth, Situation once career current"""
Scott Lopez,scott_lopez_3746,18.0,60.1,"""Note: Drug never either, then Could amount western deal single"""
Kyle Barnes,kyle_barnes_1225,4.0,13.1,"""(Industry) , Suddenly tough and When school both strategy"""
Mrs. Cassandra Gay MD,mrs_md_7847,20.0,48.1,"""Soldier sport eat spend; Agree business include , Mrs"""
Samuel Weber,samuel_weber_0519,2.0,93.1,"""Remember dinner book color, Stage rate Hold tend"""
Mary Parsons,mary_parsons_1716,28.0,26.1,"""Include break wonder nice decide; Ability cover give , Able network"""
e,shelby_williams_4773,5.0,7.1,"""Economy fact; Whom baby free seven , Name beyond chair"""
Bryan Wilson,bryan_wilson_9718,52.0,75.1,"""Miss your mother: Three government system situation, Parent parent"""
April Singleton,april_singleton_4909,71.0,1.1,"""(Probably realize score) , Article wear and Happy future put"""
Dennis Stewart,dennis_stewart_3285,47.0,89.1,"""Pattern watch investment, Someone Camera lay support"""
Alexis Anderson,alexis_anderson_3517,37.0,78.1,"""Group most marriage; Interview all answer , Appear become"""
Bruce Chapman,bruce_chapman_2404,2.0,88.1,"""Form try stock, Of economy about add first security Reflect these support bring"""
Arthur Mitchell,arthur_mitchell_7143,80.0,16.1,"""(Watch exactly believe can) , Often human country and Price foot challenge will if design"""
Brady Liu,brady_liu_6870,4.0,68.1,"""High support, Theory small Republican matter production enjoy"""
James Decker,james_decker_4077,54.0,9.1,"""Inside work; Picture eat them , Collection recently prepare crime nearly"""
Kevin Ellis,kevin_ellis_7114,10.0,64.1,"""Itself into; Than glass against dark unit about , Impact the time pick"""
Brandi Cooper,brandi_cooper_9021,88.0,70.1,"""Strategy then; Someone , Window responsibility individual watch inside"""
Kayla Gutierrez,kayla_gutierrez_7408,69.0,89.1,"""Though; Wife soon , There traditional then director"""
