name	username	salary	summary
Mr Scott Baker	mr_baker_1296	89.0	'''(Vel) 	 Nisi quasi and Ad porro enim consectetur ab'''
Dr Bruce Henry	dr_henry_9446	5.0	'''(Voluptas reprehenderit tempora exercitationem) 	 Modi odio odit libero and Quod eos'''
o	teresa_power_0947	63.0	'''Ab: Consectetur harum nisi	 Perferendis amet'''
Dr Jasmine McDonald	dr_mcdonald_7323	90.0	'''Note: Vero vero occaecati expedita	 then Illo atque'''
Samuel Howe	samuel_howe_6328	89.0	'''Note: Nemo	 then Distinctio officia maxime'''
George Richardson	george_richardson_7742	7.0	'''Facilis fugiat	 Libero quod velit inventore Deleniti neque tempora'''
Marcus Hall	marcus_hall_1433	42.0	'''Nemo distinctio; Pariatur cum 	 Numquam perspiciatis praesentium'''
Sophie Quinn	sophie_quinn_2362	95.0	'''Note: Eos	 then Asperiores quidem adipisci natus delectus omnis'''
Dr Nigel Turner	dr_turner_3629	45.0	'''Eius repellat aspernatur; Id 	 Doloremque excepturi cupiditate'''
Duncan Lee	duncan_lee_3339	45.0	'''Ut neque accusamus nesciunt minus eligendi minima: Quam hic sint rerum	 Voluptates laudantium laboriosam'''
Jodie Baker-Lewis	jodie_lewis_9178	34.0	'''(Beatae labore reiciendis voluptate nam) 	 Vitae and Vitae labore facere enim suscipit facilis'''
Harriet Atkinson-Ward	harriet_ward_2778	45.0	'''Dolore; Cum mollitia dolorem 	 Corporis dolorum impedit autem'''
June Wilson	june_wilson_8553	6.0	'''Fugiat dolore	 Mollitia modi Odit accusamus in dolores'''
Charles Lewis	charles_lewis_3926	71.0	'''Note: Quo rerum praesentium	 then Vel'''
Lucy Ellis	lucy_ellis_4881	72.0	'''At unde minima natus; Neque fugiat voluptatum repellendus doloremque 	 Ab facere asperiores'''
Damian Hardy	damian_hardy_7871	86.0	'''Nobis esse laudantium: Ea quisquam voluptatum	 Soluta corporis expedita'''
Ben Johnson-Phillips	ben_phillips_1149	92.0	'''Note: Porro necessitatibus nesciunt perspiciatis ratione ratione	 then Saepe ipsam'''
Diane Cox	diane_cox_3566	40.0	'''Id	 Dolores nemo Quis'''
Mr Colin Chan	mr_chan_4044	94.0	'''Doloremque beatae esse minima ducimus	 Ullam et quae Maiores quia tempore consequuntur quos'''
Geoffrey Parsons	geoffrey_parsons_6906	55.0	'''(Consequuntur odio dolor minima) 	 Beatae harum animi vel and Laboriosam officia molestiae natus'''
Nigel Parker-Watson	nigel_watson_0950	55.0	'''Perspiciatis corrupti dignissimos eos facere: Soluta culpa	 Quia ullam placeat quam'''
Susan Carroll	susan_carroll_0065	1.0	'''Note: Iusto	 then Nemo nisi corrupti magnam'''
Dr Phillip Gregory	dr_gregory_8138	49.0	'''(Ipsa) 	 Quibusdam aliquam hic and Quod est'''
Miss Melissa Taylor	miss_taylor_3629	7.0	'''Note: Mollitia magni	 then Voluptas velit repellendus reprehenderit facere'''
Lynn Murphy	lynn_murphy_2638	7.0	'''(Voluptatum dolore) 	 Voluptas and Eveniet consequuntur sequi'''
Ben Sanderson	ben_sanderson_1571	26.0	'''Nulla; At cupiditate asperiores eum 	 Aut neque'''
Carol Hunt	carol_hunt_7428	49.0	'''Laboriosam hic; Praesentium nulla veritatis 	 Minima beatae cupiditate'''
Charlene Shah-Hopkins	charlene_hopkins_3055	85.0	'''Veritatis quis; Veritatis corrupti accusamus ab est 	 Magni dolores'''
Miss Megan Atkinson	miss_atkinson_1515		'''(Autem iusto) 	 Cum debitis and Odit vitae'''
Jade Carter	jade_carter_0052	74.0	'''Culpa tempore	 Sapiente temporibus amet quasi molestiae hic Vitae porro'''
Patricia Lee	patricia_lee_4680	29.0	'''Note: Ea	 then Doloribus tempora vero dignissimos'''
Joanna Hamilton-Wells	joanna_wells_9999	6.0	'''Expedita aliquid; Aperiam eveniet 	 At'''
Miss Leah Parker	miss_parker_7903	5.0	'''(Ipsa ullam) 	 Consectetur sint culpa ducimus and Ad accusantium eos'''
Annette Dale	annette_dale_1064	69.0	'''Eos asperiores nam dolor nihil; Ipsam a dicta quisquam 	 Consequatur ratione doloribus nobis quas quidem'''
Mr Martin Fowler	mr_fowler_0808	46.0	'''Note: Autem molestiae officia porro quod molestiae	 then Dolorum'''
Kathleen Holden-Brown	kathleen_brown_9222	13.0	'''(Nihil quasi debitis) 	 Perferendis qui sapiente consequatur fuga and Ex quisquam aliquam'''
Elaine Morris	elaine_morris_4394	29.0	'''Iusto et	 Debitis et ipsa Quia'''
Simon Begum-Williams	simon_williams_2818	56.0	'''Doloribus enim et unde: Doloribus fugit harum explicabo ullam	 Quas'''
