# This is a comment line to skip
name;total_count;rating;review;comment
Dr Sophie Griffin;50.0;43.1;"""Note: Perspiciatis totam sunt; then Fugiat sit aliquid est""";"""(Placeat) ; Minus quo at harum and Rerum blanditiis et"""
Nicola Hudson;65.0;75.1;"""(Eius) ; Reprehenderit occaecati inventore ratione and Eaque quam voluptatem sint""";"""Dolores et labore; Vero aspernatur beatae Ad ut"""
Ms Grace Brown;91.0;57.1;"""(Amet tenetur fuga ut) ; Quae and Veritatis ab""";"""Facere: Deleniti quod nulla velit itaque; Consectetur ipsum enim"""
Donna Taylor;67.0;19.1;"""Sapiente atque; Vitae unde consequatur consectetur soluta ; Cupiditate porro id""";"""Voluptas ea harum quibusdam: Aspernatur autem distinctio; Hic voluptatibus"""
Mr Oliver Hawkins;21.0;70.1;"""Note: Voluptas non repellat excepturi porro; then Beatae autem aliquid""";"""Quos in eligendi dolorum exercitationem; Voluptate modi reiciendis vero fugiat ; Reprehenderit"""
Charlie Poole;100.0;88.1;"""Nostrum maiores saepe: Aliquam; Maiores""";"""Note: Rerum; then Repudiandae laudantium"""
Louise Osborne;90.0;89.1;"""Note: Culpa quaerat sed; then Corporis""";"""Deserunt saepe: Reiciendis; Quod quo animi blanditiis labore"""
Keith Hunt;44.0;41.1;"""Tenetur nisi similique; In nostrum odio ; Accusamus voluptates rerum nobis""";"""Sed inventore commodi ad: Voluptas ipsum; Sequi consectetur aliquid nam animi"""
Alison Rowe;70.0;84.1;"""Placeat; Sapiente consequuntur omnis Impedit""";"""Culpa magnam iusto; Incidunt Fuga"""
Ms Sophie Saunders;66.0;19.1;"""Dolor excepturi: Dolorum deserunt nesciunt minima repellat laborum; Mollitia praesentium hic ea placeat""";"""Inventore aliquam; Aspernatur tempora Maiores tenetur"""
Miss Cheryl Lloyd;21.0;44.1;"""Consectetur illo; Explicabo nemo ea ; Error officia""";"""Note: Rem voluptatem; then Facilis aut ab iusto"""
Natasha Moss;16.0;71.1;"""Note: Sapiente; then Commodi tempora enim""";"""Note: Aliquid culpa; then Ut quod sint corrupti consectetur laboriosam"""
Dr Richard Hall;70.0;3.1;"""Veritatis: Blanditiis eaque officia alias ab dolores; Officia voluptate veniam""";"""Voluptas quaerat reprehenderit: Repudiandae; Exercitationem non"""
Mr Adrian Pritchard;54.0;68.1;"""Temporibus pariatur dicta: Eaque molestiae magnam; Cumque ex cupiditate odio""";"""Quod ad odit ullam quidem; Consequatur optio occaecati ea occaecati Aspernatur facilis sed magnam culpa facere"""
D;67.0;;"""(Voluptatum minus neque) ; Aliquam and Sint voluptas""";"""Laboriosam dolores praesentium; Quidem ; Magni"""
Miss Chelsea Chambers;77.0;20.1;"""Debitis voluptate; Voluptas ; Sunt quos""";"""Nemo quae temporibus dicta; Explicabo ; Omnis nam quas"""
Hannah Smith-Jackson;60.0;97.1;"""Note: Ut; then Repellat quod""";"""Possimus suscipit fugit; Cumque ; Fuga hic voluptatum repellat incidunt omnis"""
Dr Leslie Phillips;76.0;90.1;"""(Provident quaerat optio tempore) ; Illum eaque numquam and Repellat quis""";"""Note: Eius; then Labore nostrum eaque tenetur illo"""
Chloe Yates;70.0;89.1;"""Sed error; Quas ea ; Eum impedit totam""";"""Laborum sit recusandae consequuntur tempora ab; Tempore voluptatem voluptatibus cumque ; Rerum adipisci debitis"""
Martyn Berry;;25.1;"""Note: Inventore eum at molestiae; then Commodi debitis libero odit""";"""Note: Tenetur; then Aliquid"""
