name	rating	salary	summary
Derek Wheeler	26.0	7.1	"""Note: Laborum placeat soluta	 then Vero mollitia magnam commodi"""
Bruce Roberts-Lawrence	97.0	13.1	"""Reiciendis aperiam a velit sit: Voluptate eum nihil reprehenderit natus expedita	 Eum quos animi"""
Ms Jodie Hill	94.0	77.1	"""Fugit debitis nihil: Quas quis iure pariatur	 Itaque reprehenderit voluptate omnis perspiciatis facilis"""
Roy Cooper	38.0	66.1	"""Cupiditate quo: Mollitia magni autem repellendus consequatur neque	 Maiores"""
Lee Coles	75.0	56.1	"""Laboriosam rerum: Ut facere sapiente dolorum	 Officia impedit cum maiores"""
Jonathan Mason		26.1	"""Modi qui eaque; Aspernatur occaecati quis eius 	 Officiis facilis rerum vero"""
Sara Edwards	95.0	15.1	"""Note: Neque magni beatae	 then Qui"""
Miss Sarah Miah	23.0	5.1	"""(Recusandae) 	 Nobis harum and Praesentium labore ipsa"""
Trevor Reynolds	73.0	22.1	"""(Qui libero) 	 Sint and Fuga error a assumenda"""
Elliot Taylor	98.0	79.1	"""Quasi natus commodi; Aut aut voluptatibus 	 Maiores architecto repudiandae accusamus"""
Ms Kirsty Walker	65.0	37.1	"""(Nam occaecati autem vero neque) 	 Delectus molestias adipisci dolores deserunt impedit and Alias repudiandae soluta sequi optio"""
Alexandra Hall	15.0	95.1	"""Velit libero similique qui atque sit; Soluta 	 Quasi reprehenderit"""
Mrs Sophie Cole	58.0	9.1	"""Note: Nostrum	 then Officia"""
Kimberley Clarke	30.0	53.1	"""Cum voluptatibus: Quia reprehenderit quae	 Ducimus"""
Bernard Buckley	63.0	65.1	"""Note: Ratione aliquam	 then Ea qui maxime fuga odit vitae"""
Kelly Jackson-Knight	40.0	83.1	"""(Nemo eligendi temporibus) 	 Nesciunt debitis asperiores iste corrupti recusandae and Fuga fugit dignissimos"""
D	66.0		"""Repellat ipsa	 Alias laborum dicta debitis Voluptates deserunt ipsa"""
Connor Dawson	37.0	35.1	"""Est modi; Vel provident quas qui 	 Totam"""
Samantha Simpson	50.0	82.1	"""Note: Voluptatibus mollitia tempore fugiat	 then Placeat voluptatibus autem accusantium"""
Michael Johnson	83.0	27.1	"""(Architecto deleniti) 	 Numquam nulla commodi and Repellendus repellat ratione architecto"""
Mr Marc Lyons	19.0	17.1	"""Explicabo non illo omnis fugit: Vitae fuga eaque reprehenderit molestiae temporibus	 Dolore similique consequatur"""
Miss Barbara Abbott	95.0	15.1	"""Note: Numquam	 then Saepe similique fugit expedita"""
