# This is a comment line to skip
name;price;salary;note
Samuel Kelly;3.0;;"""Non nisi magnam; Sed eius aspernatur Perspiciatis occaecati"""
Vanessa Price-Adams;62.0;70.1;"""Note: Quis autem; then Nesciunt neque nostrum eveniet repellendus"""
Karen Johnston;24.0;65.1;"""Nesciunt: Animi delectus alias; Optio"""
Chloe Jordan;17.0;7.1;"""Note: Rerum quod; then Excepturi recusandae dolor"""
Wendy Vincent-Stevens;59.0;30.1;"""Note: Delectus non architecto; then Voluptate"""
Joyce O'Sullivan;36.0;48.1;"""Hic laborum nostrum impedit saepe: Necessitatibus itaque beatae veritatis cum sequi; Atque assumenda harum"""
Marian Ford;28.0;95.1;"""Culpa voluptatum; Aperiam ; Veniam dolores"""
Janet Sheppard-Page;;100.1;"""Similique quidem nisi; At Dolorum nemo nostrum"""
Dale Bennett;42.0;52.1;"""Optio illo; Nisi atque Quae nostrum dolorem illum consequatur"""
Ashleigh Storey;10.0;32.1;"""Maiores id expedita quidem; Mollitia ; Tempora amet quaerat voluptas"""
Ms Anne Atkinson;11.0;42.1;"""Eveniet culpa illum quos; Ab harum veniam tempora Illum quod impedit aliquid iure assumenda"""
Dr Gavin Lee;51.0;23.1;"""Inventore; Incidunt numquam atque esse porro Quam eum error quia iste"""
Mr Ricky Jones;95.0;25.1;"""Saepe nemo laudantium: Corporis doloribus minima optio animi; Maxime"""
Ms Holly Robinson;87.0;85.1;"""Note: Consequuntur reprehenderit asperiores; then Laborum magnam ratione"""
Sandra Jones;86.0;34.1;"""Expedita voluptas rem: Ratione possimus; Quisquam a placeat quam"""
Dr Joseph Hardy;42.0;75.1;"""Labore in modi: Nam autem sed; Vel sapiente ex"""
Valerie Short;65.0;1.1;"""Note: Laborum; then Reiciendis maiores"""
Charlie Chambers-Price;90.0;53.1;"""(Illo perferendis dolorem) ; At laborum iste pariatur doloribus and Occaecati explicabo vitae vitae"""
Liam Freeman-Hudson;36.0;32.1;"""Sapiente iure: Pariatur pariatur deserunt animi quas ullam; Iusto velit autem"""
Mrs Linda Fox;81.0;77.1;"""Perspiciatis iure eaque: Nemo beatae veritatis provident consequuntur; Temporibus corrupti minima exercitationem"""
Mr Shaun Wood;88.0;79.1;"""(Blanditiis repudiandae) ; Expedita doloremque and Deleniti saepe"""
Paul Wells;9.0;51.1;"""Odit adipisci: Quo aut tempora; Voluptatem eius occaecati nulla"""
Jordan Burton;75.0;54.1;"""Ex tempora dolores veniam earum: Veniam hic; Neque consequatur"""
Henry Griffiths;31.0;48.1;"""Note: Quam labore iste laudantium impedit fugit; then Animi odit laboriosam"""
Shane Williams;24.0;54.1;"""Sed; Earum veritatis tempore suscipit ; Ratione excepturi"""
Charlotte Anderson;43.0;15.1;"""Note: Sint adipisci; then Laudantium id dicta hic"""
Melissa Rogers;18.0;61.1;"""Quo: Laboriosam officia incidunt sunt; Vero rerum vitae"""
Timothy Barrett;21.0;69.1;"""(Atque eius) ; Tenetur quas and Aspernatur perspiciatis"""
x;12.0;37.1;"""(Rem sed) ; Sed libero reprehenderit nam and Non quia ipsam"""
Lauren Burrows;77.0;12.1;"""Hic repudiandae laborum; Modi quidem vero ut consequatur ; Officiis occaecati velit"""
Toby Gregory;24.0;2.1;"""Inventore temporibus: Hic; Accusamus praesentium nesciunt distinctio"""
Adrian Shepherd;77.0;44.1;"""Note: Dolorem quae nihil; then Repudiandae repudiandae nemo ducimus odit"""
Tony Atkinson;24.0;42.1;"""Esse; Hic soluta magnam ; Quaerat sunt omnis natus"""
Geraldine Hill;94.0;5.1;"""Tempora sapiente; Ab fugiat maiores fugiat ; Ad"""
Hazel Lawrence;10.0;22.1;"""Note: Corrupti et; then Numquam aperiam ab porro"""
Conor Lucas;3.0;14.1;"""(Corporis quae possimus fugiat) ; Earum eligendi and Velit placeat id"""
