username,salary,rating,score,remark,comment
hannah_wright_3592,,50.1,36.2,"""Est mollitia, Exercitationem tenetur Nulla dignissimos deleniti""","""Note: Veritatis error amet, then Qui corporis deleniti"""
dawn_hall_1570,23.0,24.1,25.2,"""Nobis: Quidem voluptatum ipsum, Quam dolorum""","""Note: Ducimus inventore ea tempore laborum, then Rerum adipisci"""
diane_brown_8652,64.0,51.1,76.2,"""Autem doloremque repudiandae, Ipsam debitis Excepturi asperiores minima atque""","""Fuga doloribus; Esse recusandae aliquid , Quod adipisci accusamus"""
marc_williamson_5703,91.0,57.1,69.2,"""Possimus veniam totam; Officiis doloremque quia quis , Repudiandae illo quo""","""Fugit, Aliquam adipisci velit voluptatibus In"""
ashley_forster_3841,32.0,80.1,71.2,"""Note: Soluta nobis aspernatur, then Delectus odit deleniti animi unde id""","""Expedita pariatur, Adipisci quia impedit quo atque Delectus esse neque ducimus temporibus totam"""
damien_phillips_9618,44.0,89.1,26.2,"""Officiis aliquid; Necessitatibus praesentium culpa , Alias dolorum""","""(Necessitatibus cum consequatur neque repudiandae asperiores animi) , Dicta animi and Expedita repudiandae fugiat earum vero explicabo"""
lewis_smith_4689,53.0,38.1,63.2,"""(Molestias voluptatem quaerat cum) , Eos fuga sit and Totam eveniet""","""Nisi, Quasi maiores Et laborum consequatur omnis"""
nicola_wilkins_6018,71.0,74.1,30.2,"""(Eaque mollitia) , In distinctio doloribus laboriosam and Repellendus consectetur ipsa""","""Note: Quibusdam harum quasi autem, then Error numquam nihil aliquam"""
karen_coles_9303,49.0,10.1,89.2,"""Quidem illo iure; Aliquam , Dolor""","""Minima iusto in, Cumque fugit nostrum cumque Quisquam repudiandae similique est"""
lesley_robinson_9615,97.0,100.1,66.2,"""(Cum itaque) , Illo expedita rem veniam tempore possimus and Magnam ratione quas""","""Note: Dolores numquam, then Fuga dolore assumenda"""
dr_jarvis_3677,19.0,36.1,81.2,"""Voluptatibus odio quaerat voluptatum, Ratione illum architecto numquam necessitatibus Quae velit voluptas""","""(Rerum blanditiis) , Dolores et dolorum animi and Occaecati reiciendis voluptate"""
mitchell_price_7914,83.0,15.1,2.2,"""Quos: Eveniet, Magnam dolorem""","""Note: Quos aliquid, then Nesciunt doloremque soluta eveniet"""
amanda_smith_3981,11.0,20.1,47.2,"""Note: Minima, then Modi recusandae natus amet iste at""","""Note: Impedit enim vel commodi distinctio quam, then Rerum aut quisquam consequatur"""
elliot_nelson_0309,34.0,72.1,23.2,"""Repudiandae earum quibusdam delectus, Quod fugiat cupiditate ad cum provident facere Id quas""","""Placeat distinctio: Mollitia officiis perferendis, Numquam porro cupiditate alias a"""
dr_williams_5441,41.0,42.1,73.2,"""Note: Minima sapiente dolores cumque, then Enim amet totam""","""Optio amet; Harum quos suscipit , Similique"""
simon_walker_3438,79.0,62.1,36.2,"""Occaecati fugiat: Ipsam perspiciatis tempore, Corporis omnis perferendis expedita doloribus veritatis""","""Note: Ratione corrupti, then Tempora pariatur corporis fugiat quidem"""
samuel_bradley_9399,50.0,,50.2,"""Note: Dolore excepturi nemo rerum voluptate, then Quidem odit sapiente adipisci""","""Note: Magni voluptas, then Voluptate ea"""
jemma_davies_6134,65.0,27.1,86.2,"""(Ea) , Modi reprehenderit and Dolorem fugiat doloremque sed voluptate provident""","""Note: Optio vero ex sequi repellendus, then Assumenda fuga earum"""
frances_henderson_9032,69.0,10.1,12.2,"""Numquam rem voluptatum; Eos nobis cum pariatur deleniti , Doloremque est modi omnis corrupti similique""","""Fugiat, Voluptatum fuga deleniti asperiores vero Commodi laboriosam velit quae"""
dr_davis_2940,11.0,78.1,88.2,"""Sapiente corporis optio: Magni odit perferendis tenetur unde, Repudiandae repudiandae""","""(Repellendus quae rem) , Sapiente and Sint earum"""
robin_marshall_2609,53.0,48.1,4.2,"""Qui soluta: Quas harum odit minima dolores, Pariatur tempore""","""(Ratione animi ipsam) , Voluptatum and Sint aperiam"""
mr_taylor_1951,59.0,63.1,29.2,"""Note: Earum quidem, then Eligendi officiis cumque""","""Corporis; Accusantium adipisci , Quisquam neque quibusdam eligendi fugit"""
josh_jenkins_4876,71.0,53.1,48.2,"""Ipsam doloribus; Debitis quidem hic , Dolorem""","""(Illum accusamus) , Nemo and Voluptatum quas sunt soluta"""
ms_hobbs_4014,31.0,28.1,54.2,"""Quos molestias, Veritatis eaque numquam atque Dolorem error culpa""","""Note: Quis corporis, then Quibusdam tempora molestias"""
jordan_armstrong_1455,21.0,79.1,,"""Note: Laudantium delectus optio, then Veritatis placeat sapiente eveniet natus""","""Hic minima; Sed , Ipsa"""
dr_jones_9146,72.0,30.1,74.2,"""Esse animi inventore nihil; Sint natus adipisci aperiam iure , Maiores non necessitatibus id optio""","""Aliquid; Aperiam odit , Delectus suscipit"""
owen_woods_0706,52.0,15.1,95.2,"""Temporibus corporis at: Dicta quas, Itaque libero explicabo""","""Note: Eum illo repellendus, then Nisi illo quo"""
