username,total_count,salary,comment
mr_roberts_0360,2.0,13.1,"""Alias cupiditate minima necessitatibus veniam: Ipsa minima placeat, Numquam voluptas consequuntur rerum"""
amber_field_0216,67.0,54.1,"""Note: Harum aliquam nobis repellat eaque neque, then Ipsum sunt accusantium sint animi"""
clare_richardson_4488,34.0,10.1,"""Facilis libero, Perspiciatis ullam debitis ipsam saepe Architecto"""
dale_gordon_8883,38.0,,"""(Cupiditate magnam vel praesentium) , Impedit officiis and Soluta illo"""
miss_tucker_4746,2.0,23.1,"""Reprehenderit totam unde reiciendis: Optio, Deleniti culpa ea qui ratione"""
wayne_owen_7997,23.0,13.1,"""(Sit necessitatibus) , Quo sunt suscipit facere and Dignissimos sint corrupti"""
dr_ward_8252,93.0,47.1,"""Placeat, Quasi placeat aliquam molestiae delectus delectus Qui voluptatibus"""
mrs_brady_9541,,90.1,"""Note: Perspiciatis nisi repellat, then Praesentium quasi minus"""
victor_hooper_8125,21.0,36.1,"""Delectus explicabo suscipit accusamus, Mollitia beatae ad Libero delectus est dolores"""
nicole_smith_2041,63.0,2.1,"""Soluta ipsum molestiae, Temporibus fugit necessitatibus explicabo Fugiat praesentium"""
marc_hussain_3870,47.0,33.1,"""Voluptate eum dolorem; Unde molestiae dolorum , Cum modi"""
leon_fox_1424,83.0,37.1,"""Nesciunt, Incidunt voluptatum molestiae nam Praesentium cumque"""
leigh_lewis_7721,5.0,23.1,"""(Exercitationem nisi) , Recusandae veritatis aperiam and Repudiandae molestias"""
mr_gregory_0493,60.0,44.1,"""Ea debitis eos deserunt tempora iusto, Rem Reiciendis illum quaerat"""
dr_warner_0520,92.0,4.1,"""(Sit dolorem) , Omnis ipsam harum inventore and Ea"""
janet_brown_2076,89.0,25.1,"""Voluptate hic quas sit in; Vel dolorum , Quaerat occaecati"""
leigh_simpson_4130,5.0,61.1,"""Deserunt praesentium; Beatae nihil , In quos"""
irene_burton_2507,44.0,84.1,"""Repudiandae beatae ratione; Optio , Iste dignissimos dolores possimus illo assumenda ut"""
mr_harrison_0209,43.0,28.1,"""Consequatur, Numquam quisquam Vitae ratione"""
norman_wright_3564,52.0,32.1,"""(Minima dolorum a molestiae) , Pariatur nulla reprehenderit expedita and Commodi vero"""
