name,total_count,note
Heidi Christian,97.0,'''Least; Itself reach well authority , Those build'''
Lance Sutton,64.0,'''Knowledge sport, Performance degree Family full right'''
Michael Ayala,6.0,'''(Far) , Book throughout Mrs and Security realize'''
 ,37.0,'''Apply establish street; Model , Throw to stop'''
Cameron Griffin,1.0,'''Morning create be; Night country , Decade various fear'''
Michael Ramsey,25.0,'''Clearly; Truth management short wait method , Itself should'''
Tanner Silva,88.0,'''Note: Record popular, then Health want single even'''
Tyler Miller,87.0,'''Part clear, Age Task defense professor behavior'''
Angel Lee,25.0,'''Quite situation real, Term expect Property'''
Erica Schultz,77.0,'''Center apply daughter; Bank certainly up will adult , Where our human'''
Vanessa Bush,50.0,'''Lead region include key notice: Herself Democrat window guy, Morning owner animal whether'''
Kim Gross,91.0,'''Staff thus amount: Effort, Purpose see'''
Edward Lewis,12.0,'''Note: Itself interesting window, then Specific second doctor risk information toward'''
William Peck,,'''Medical source, Travel soon do Right build one'''
Anna Shelton,57.0,'''Score citizen film nature; Easy , Behavior green ask'''
Catherine Lee,42.0,'''Affect political accept: Past, Save industry throughout'''
Jenna Campbell,72.0,'''Open though try wish guy, Glass left today institution majority boy Control'''
William Smith,94.0,'''Be husband, Need never street Visit money arrive beautiful'''
Theresa Cummings,62.0,'''Note: Though write, then Help positive music defense a degree'''
Alan Meadows,91.0,'''Note: Direction buy, then Per upon court'''
