# This is a comment line to skip
username,age,salary,total_count,description,summary
sean_morgan_5940,6.0,77.1,53.2,"""Dolore aperiam hic expedita; Unde adipisci , Possimus molestiae autem""","""Alias; Laudantium eligendi , Dolore officia atque odio nesciunt"""
dr_jones_8618,42.0,77.1,39.2,"""Ratione dolores minus iure: Ducimus consequatur, Explicabo quaerat quas saepe""","""(Magni) , Quaerat aliquam culpa eaque corporis quisquam and Pariatur"""
natasha_williams_4180,97.0,70.1,86.2,"""Quaerat occaecati; Aperiam distinctio illum aperiam quo , Odio sit""","""Note: Tempore nesciunt laudantium earum, then Corporis suscipit eveniet"""
lee_miller_0343,41.0,63.1,49.2,"""Assumenda, Suscipit Minima voluptatum minus et""","""Debitis dicta repudiandae, Temporibus harum nulla Quas exercitationem itaque"""
mr_tucker_0101,37.0,92.1,74.2,"""Quo; Reiciendis impedit dolore accusamus asperiores , Eum consequuntur deserunt error""","""Ipsam error: Quas non, Consectetur nesciunt a"""
jenna_clarke_0172,9.0,94.1,30.2,"""(Nostrum) , Harum ad deserunt ipsa and Deserunt unde""","""Perferendis corrupti praesentium eligendi: Labore doloribus, Est"""
andrea_phillips_5343,17.0,24.1,3.2,"""Ratione quis esse fugit: Recusandae numquam quae, Laborum assumenda""","""Officia hic sapiente inventore, Ipsa unde Ea"""
hazel_schofield_9758,18.0,12.1,3.2,"""Note: Distinctio saepe, then Placeat totam""","""Note: Alias consequuntur incidunt, then Tenetur porro neque nulla rem"""
rachel_king_0279,26.0,14.1,90.2,"""(Eum ipsum deserunt cupiditate) , Maxime fugiat ratione ad and Temporibus quo""","""(Quasi harum aut illo) , Alias dicta esse and Asperiores quidem asperiores"""
douglas_evans_6206,42.0,34.1,19.2,"""Delectus, Eius laboriosam Iste neque et asperiores""","""(Tenetur quibusdam quasi eveniet) , Libero quidem nesciunt odio tempore and Facilis"""
chelsea_potter_3618,84.0,51.1,8.2,"""Magnam iste perferendis; Atque fugit dolorum , Recusandae error""","""Vero eum aut est quasi, Iste officia debitis Iure corrupti inventore"""
danny_cox_5639,23.0,95.1,40.2,"""(Nobis) , Magni facere and Minima culpa est""","""(Facilis) , Ipsam voluptas perspiciatis odio quisquam ullam and Ex"""
natalie_shepherd_5172,15.0,56.1,,"""Note: Numquam quod explicabo facere, then Esse dolorem atque""","""Amet dolorum rerum culpa exercitationem dicta, Nesciunt Consequuntur ad odit quasi consequatur libero"""
mr_barrett_8700,84.0,89.1,17.2,"""(Alias esse eos quaerat reprehenderit) , Atque non and Blanditiis cumque laborum""","""(Ullam) , Incidunt quod deleniti et delectus incidunt and Voluptates sit quod iure"""
marion_mitchell_3177,53.0,14.1,94.2,"""Est sunt; Numquam possimus , Voluptate laboriosam""","""Odio deserunt vel quo eligendi delectus: Ipsum non, Laudantium saepe iure"""
rhys_mclean_0438,36.0,100.1,63.2,"""(Itaque maiores earum veniam) , Reiciendis repellendus and Facere cumque quia""","""Cupiditate minus assumenda molestiae voluptates perferendis, Rerum molestias reiciendis earum delectus pariatur Eveniet aperiam animi"""
dr_stephens_9274,37.0,74.1,1.2,"""Note: Placeat, then Porro eligendi""","""(Quisquam) , Enim nobis and Eveniet"""
dr_marsh_9922,97.0,,46.2,"""Note: Id expedita suscipit eos sed, then Eaque optio rerum adipisci cumque""","""Note: Perspiciatis eveniet asperiores ipsa, then Quis neque itaque"""
eleanor_payne_2874,57.0,81.1,63.2,"""Molestias eius: Aliquam dolore optio, Occaecati fugit dolores quam rerum tempore""","""Nulla facere quaerat, Eius dolorum pariatur delectus Architecto expedita ipsum ducimus amet"""
dr_hobbs_7085,78.0,69.1,85.2,"""(Quam) , Et repudiandae quasi velit laudantium minus and Mollitia esse voluptas adipisci""","""Nihil numquam consectetur, Illum saepe unde ad vel molestiae Amet ullam"""
nicola_anderson_7376,75.0,16.1,79.2,"""Doloremque alias nam architecto adipisci deleniti; Ea consectetur , Magnam mollitia cupiditate""","""Similique in: Soluta fuga aliquam, Natus architecto"""
mr_stokes_2330,24.0,4.1,51.2,"""Dolorum vel explicabo earum, Exercitationem cum expedita mollitia Architecto ipsum perferendis""","""Sequi tempore, Qui laudantium hic ex Et alias corrupti"""
miss_gardner_0861,14.0,87.1,43.2,"""(Tenetur) , Vero maxime tenetur and Veritatis quo""","""(Consequatur nesciunt) , In molestias voluptates nemo nostrum maxime and Facilis tenetur assumenda a corporis"""
kyle_kennedy_0896,100.0,100.1,66.2,"""Dolor soluta incidunt eum doloremque: Quam voluptatem sint molestiae dignissimos eius, Fugit""","""Ratione molestiae dignissimos; Velit dolore , Odio atque repellendus"""
denise_collins_8528,46.0,58.1,27.2,"""(Quidem odit) , Corporis quas alias suscipit voluptas quibusdam and Voluptate rerum tenetur""","""Debitis repudiandae beatae vitae; Molestias tempora , Nesciunt pariatur tempore"""
dr_wheeler_6093,,89.1,59.2,"""Officiis nesciunt: Quo porro quam laudantium cupiditate, Perferendis ex cumque laudantium dolorum""","""Aliquid nobis cumque modi nobis, Fugiat similique ullam repellat A totam cumque"""
mathew_doherty_0588,64.0,67.1,57.2,"""Unde deleniti error: Nisi eaque id, Voluptatum magni""","""Voluptatibus qui nemo: Suscipit fuga quidem aut eum, Veniam"""
bruce_brown_9094,71.0,7.1,26.2,"""Magni debitis saepe ab perspiciatis: Ipsum quasi laudantium, Amet""","""Quibusdam voluptatem, Fuga in odit Impedit nemo accusantium"""
