name,salary,remark
Michael Schneider,57.0,"""White audience both federal: Call three coach, Capital loss put floor create expert"""
Eric Smith,17.0,"""Thought: Table admit, Scientist even"""
Lori Maynard,47.0,"""American individual remember; Open as themselves artist , Main father game drug important"""
Dale Smith,46.0,"""Eat whose miss; Rule model figure , Give authority"""
Willie Roach,100.0,"""Wear writer PM: Happy, Though despite same per wall"""
Stephen Melendez,87.0,"""Drive animal point; Although tend , Value board"""
Shari Winters,22.0,"""(Finally) , A reveal discuss ball and Window whom mother well"""
Kevin Webb,32.0,"""Note: She tough, then Over"""
Joshua Smith,4.0,"""Just anything trial measure east, Huge wait force write college modern Bed last"""
Michael Ward,7.0,"""(News impact serve exactly) , Concern common tonight and Focus"""
Bryan Ali,21.0,"""Make; Probably role lay how , Take"""
Gina Chen,43.0,"""Positive available: Moment once actually game since recently, Much cause"""
Scott Lopez,39.0,"""Evidence behavior note, Guess usually certain Attack senior the write mention"""
Sharon Little,71.0,"""Will can; West all , Whom everything PM bed"""
Cody Williams,67.0,"""(Such keep) , Sometimes media by national name and Us everyone remain"""
Joseph Rios,3.0,"""Hair southern; Side let , Difference top"""
Hector Dougherty,55.0,"""Kind management begin, Authority everyone much big Bed ever"""
Lisa Estrada,92.0,"""Improve; View painting , Four message"""
Kimberly Baldwin,17.0,"""Note: Woman, then Son fast their kid hot"""
Steven Parks,87.0,"""At this artist, Own significant drive today line Tend economy science assume"""
Kevin Carney,90.0,"""Full organization true strong great population, Easy Speak coach"""
Jessica Juarez,99.0,"""Western political method today their the; Care buy value , Student"""
Larry Schroeder,,"""Contain: There chair, Always authority move glass general face"""
Courtney Erickson,30.0,"""Begin particularly successful realize very certainly, During protect yourself Would seat training material"""
Lauren Stewart,16.0,"""Return employee: Available save read bank, Send"""
Brian Blair,40.0,"""Would whom: Big sign sure, Admit team believe"""
Gerald Carpenter,58.0,"""Bring reality interview religious: Think issue, Beat this poor"""
Brandon Davis,20.0,"""Send away tough: Support raise, Condition if maintain"""
James Higgins,10.0,"""Give list, Base Edge would"""
D,62.0,"""(Almost character machine reduce area) , Live media public blood product and Party brother"""
Kayla Lee,74.0,"""Note: After different still, then Cause deal over part generation"""
Jordan Parker,82.0,"""Key issue hold: Hit policy, Part"""
Javier Clark,44.0,"""Note: Certainly style investment college focus, then My food language bit since"""
Rachel Floyd,43.0,"""These new our: About return, Movement instead"""
Joseph Barton,31.0,"""(White fight us) , Strong and International analysis outside"""
Suzanne Hall,42.0,"""(Across how practice they) , Including and Argue value play I strong"""
