# This is a comment line to skip
name;username;score;price;review
William Johnson;william_johnson_6202;70.0;77.1;'''Those big I third produce; Federal challenge create Doctor president'''
Philip Hall;philip_hall_7095;68.0;89.1;'''Forward assume Democrat; Task economy everyone picture series ; Get tough choose'''
Cynthia Larson;cynthia_larson_9778;16.0;43.1;'''Note: Official strong; then Know grow poor'''
Dylan Powell;dylan_powell_8839;88.0;57.1;'''Term method; Tv him know wrong mention painting Author cause'''
Richard Welch;richard_welch_9811;85.0;21.1;'''Give security box threat their: None; Foot'''
Rebecca Henry;rebecca_henry_3171;71.0;47.1;'''North which; Region owner one operation Share several'''
Jonathan Wood;jonathan_wood_1558;29.0;27.1;'''Democratic appear lose; Field above Computer conference teach'''
Cody Lang;cody_lang_1365;90.0;12.1;'''Four great; Each Before itself that'''
Mary Harris;mary_harris_0625;55.0;74.1;'''Rock chair; Day pay top kid class compare travel ; Process southern'''
Rebecca Wilson;rebecca_wilson_6919;66.0;66.1;'''(Draw fine) ; Appear attention want television and Radio Congress onto including like'''
Dillon Tran;dillon_tran_9982;82.0;37.1;'''Note: Agent describe; then Majority'''
Angela Bailey;angela_bailey_7697;42.0;80.1;'''Natural price nice because; Trade everything ; Form report'''
Terrence Rivera;terrence_rivera_3170;39.0;62.1;'''Note: Not; then Son without four'''
Joseph Murphy;joseph_murphy_2747;54.0;66.1;'''Long because trial former oil: Leg use pull theory; Point fine manager future leader special'''
Miss Audrey Buck;miss_buck_9188;17.0;83.1;'''Chance fill write individual none allow; Whatever health ; Up near like until'''
Yolanda Wade;yolanda_wade_0577;64.0;85.1;'''Us sister see politics; Contain record away any ; Region investment hair market place end'''
Matthew Taylor;matthew_taylor_8515;72.0;59.1;'''Need tend floor: Mean glass under rich stuff; Service customer'''
Kimberly Campbell;kimberly_campbell_7894;100.0;;'''Note: Traditional scientist recognize game result Congress; then Leg former onto though'''
Alison Sheppard;alison_sheppard_4319;59.0;99.1;'''Beyond old training: Bring century; Dog save order'''
Michael Wu;michael_wu_1300;98.0;96.1;'''Include total: Group study feeling financial final low; Important none'''
Mason Hurst;mason_hurst_8027;28.0;84.1;'''Daughter matter politics blood price: Life arm keep; Ready responsibility myself response huge'''
Ann Forbes;ann_forbes_2541;98.0;49.1;'''Note: Reason so far; then Right arm agent game learn'''
Allen Boyd;allen_boyd_3747;30.0;71.1;'''Note: Common family health them; then Family one sign catch'''
Robert Brock MD;robert_md_9676;78.0;23.1;'''(Remain cell entire) ; Evening word and Staff yourself significant'''
x;anthony_jr_4266;47.0;43.1;'''(Seek audience) ; Sign week very house and Ground season represent fine year enough'''
Lisa Larson;lisa_larson_6650;45.0;40.1;'''Color culture compare listen: May recent your ask; Own watch'''
Jonathan Mccarty;jonathan_mccarty_1157;28.0;17.1;'''Wonder during hair trade: Stay lay its explain her; Toward myself game'''
Laura Ryan;laura_ryan_7352;9.0;24.1;'''(And sing maintain) ; Show pick usually and Behavior general against'''
Melissa Moore;melissa_moore_5542;64.0;22.1;'''Race; Place ; During talk itself door staff'''
Tyler Mathews;tyler_mathews_8642;;67.1;'''(Hold) ; Player and Range most believe around small rock'''
Walter Welch;walter_welch_2101;30.0;14.1;'''Professor son; Play rich office federal Almost amount him small'''
Carl Avila;carl_avila_4717;60.0;66.1;'''Note: Difficult style; then Kitchen exist send'''
Mark Tyler;mark_tyler_5444;33.0;33.1;'''Sea standard include enjoy threat; Young support through ; My federal save yeah oil during'''
Sabrina Anderson;sabrina_anderson_6305;36.0;36.1;'''(Either very movement safe) ; General future and Rather start eye six'''
Garrett Jones;garrett_jones_7847;56.0;40.1;'''Away suggest; Old board trouble ; Vote'''
Aaron Price;aaron_price_4348;47.0;4.1;'''Eye deal plant four soldier president; Physical fly data Put argue'''
