username;name;score;price;salary;message
kristina_lopez_4482;Kristina Lopez;81.0;95.1;35.2;"""Note: Speak; then Send"""
carmen_smith_6771;Carmen Smith;49.0;8.1;100.2;"""Million yard; Majority decade garden ; Price"""
lindsay_evans_2533;Lindsay Evans;7.0;65.1;92.2;"""Impact network still memory against book: Student employee; Fire nation"""
pedro_gardner_2041;Pedro Gardner;58.0;23.1;28.2;"""Note: Issue number toward give; then Nature"""
curtis_fernandez_2551;Curtis Fernandez;40.0;50.1;73.2;"""(Clearly) ; Pressure and Blood"""
christopher_cherry_9113;Christopher Cherry;2.0;75.1;98.2;"""Century thousand; Put chance focus work couple President"""
catherine_yang_0036;Catherine Yang;23.0;75.1;5.2;"""(Provide) ; Fall area and Involve must"""
john_morales_5507;John Morales;35.0;72.1;20.2;"""Miss; Scene recognize ; Letter magazine"""
michael_cooley_0949;Michael Cooley;9.0;;2.2;"""Serve room; Mother ; Guess sort something"""
robert_taylor_9666;Robert Taylor;95.0;2.1;43.2;"""Few place; Land return eat When yet box"""
heidi_myers_2937;Heidi Myers;75.0;73.1;52.2;"""Bad ago prepare knowledge school model; Field determine list human ; Quickly four mention"""
cole_raymond_9329;Cole Raymond;61.0;37.1;73.2;"""(Himself evidence ability) ; Practice and Respond forward same"""
mrs_gay_0330;Mrs. Katherine Gay;37.0;2.1;91.2;"""Note: Morning decade ever specific; then Ground image bit"""
scott_miles_0243;Scott Miles;85.0;31.1;82.2;"""Officer then officer light: Forget for yeah line; Mother mention remember two"""
justin_lee_7048;Justin Lee;68.0;3.1;55.2;"""When discussion wear: Successful option fact; Town candidate become fast less pretty"""
sandra_chang_6523;Sandra Chang;82.0;33.1;25.2;"""Grow picture: Which; Section their little"""
sarah_johnson_1641;Sarah Johnson;63.0;84.1;15.2;"""Can threat past; Government weight ; Include energy nor wall"""
michael_church_9802;Michael Church;13.0;19.1;65.2;"""Yes sound security; Maybe have ten ; Into to"""
kara_jones_6210;Kara Jones;18.0;55.1;41.2;"""(Society health keep) ; Forward and Black personal president cold size"""
joshua_brown_0589;Joshua Brown;66.0;79.1;44.2;"""Look; Girl degree agency fine ; Piece court deal card mouth require"""
derek_petersen_7718;Derek Petersen;72.0;37.1;66.2;"""Will over letter; In Let eat forward"""
maurice_fox_3898;Maurice Fox;81.0;98.1;99.2;"""Case each history: Ground argue; Free positive"""
justin_jordan_2258;Justin Jordan;96.0;98.1;80.2;"""Dream; Turn laugh evidence top environmental ; Answer guess stuff try"""
karina_olson_5491;Karina Olson;93.0;77.1;32.2;"""Control manager environment low: Half how both; Interesting drug"""
glenn_miranda_7533;Glenn Miranda;25.0;58.1;18.2;"""Note: Fly buy; then Too long American"""
kristin_stephens_5365;Kristin Stephens;95.0;79.1;;"""Note: Office detail political garden; then Speech professional boy benefit"""
kevin_johnson_4101;Kevin Johnson;9.0;47.1;22.2;"""Indicate base environmental send no: Direction government day billion election dream; Girl place scene mission like"""
kevin_smith_4189;Kevin Smith;83.0;24.1;32.2;"""(Must brother above huge) ; Song deep may and Fine word person hot him image"""
ashley_johnson_1003;Ashley Johnson;35.0;99.1;58.2;"""Heart upon tend; Support marriage still in available Really while"""
michael_prince_6888;Michael Prince;65.0;21.1;77.2;"""Bed central; Over part ; Draw evidence may response white continue"""
tiffany_dvm_1246;Tiffany Rodriguez DVM;29.0;23.1;2.2;"""Baby guess west; Young author ; Left yet federal sell"""
ann_campbell_0453;Ann Campbell;65.0;45.1;51.2;"""(Play build) ; Hold so information determine official and Imagine"""
kevin_mack_6919;Kevin Mack;52.0;54.1;18.2;"""Note: Field hundred reach trouble ask; then Carry road amount"""
mary_owens_9467;Mary Owens;63.0;92.1;83.2;"""Note: Tough; then Prevent green"""
lisa_cooper_6434;Lisa Cooper;2.0;40.1;18.2;"""(Loss) ; Return season air spring international and College"""
travis_bell_2532;Travis Bell;;73.1;17.2;"""Note: Share while soon; then Late time remain"""
pamela_christensen_6606;Pamela Christensen;5.0;9.1;4.2;"""(Least) ; Table style and Citizen capital"""
jacob_hendricks_5671;Jacob Hendricks;84.0;22.1;23.2;"""Red activity surface hand thank; About budget former ; System try begin understand"""
victoria_chan_4753;Victoria Chan;55.0;4.1;2.2;"""Positive stuff; Grow cell ; Heavy final policy"""
melissa_franklin_8255;Melissa Franklin;49.0;87.1;58.2;"""Coach modern third office; Deep sing sound Crime month executive"""
emily_holmes_3853;Emily Holmes;28.0;45.1;58.2;"""Prepare general say but; Later sure others forward ; Listen eye"""
bryan_thomas_7735;x;38.0;38.1;37.2;"""Note: International government; then Theory plant some common include"""
savannah_phelps_1650;Savannah Phelps;9.0;36.1;25.2;"""Doctor audience clearly serious official half; Think Knowledge subject"""
