name;score;rating;price;description
Clifford Watson-Farrell;25.0;39.1;83.2;'''Repudiandae voluptatum blanditiis cupiditate; Expedita enim aliquam ; Molestiae voluptatibus maxime ex eos perspiciatis'''
Karen Bell;73.0;88.1;63.2;'''(Dolore veritatis) ; A dolore and Accusantium recusandae repudiandae'''
Mr Gregory Sheppard;19.0;88.1;87.2;'''(Repellendus laboriosam necessitatibus) ; Eaque aspernatur and Fugit maxime iusto necessitatibus'''
Nathan Jones;74.0;43.1;53.2;'''Note: Architecto error ipsa; then Nam minus'''
Jeffrey May;80.0;64.1;82.2;'''Note: Voluptas quaerat vel quae; then Placeat quia libero beatae unde'''
Susan Taylor;91.0;79.1;66.2;'''Maiores hic tempore minus voluptas perspiciatis; Molestias ad minus facilis Laboriosam accusamus'''
Helen Davies;63.0;6.1;59.2;'''Eveniet voluptas: Quasi ea facilis animi; Voluptates voluptatem'''
Dr Jamie Davis;38.0;58.1;61.2;'''Culpa voluptates: Qui nihil; Voluptatum animi non consectetur'''
Amanda Howard;27.0;89.1;77.2;'''Distinctio: Non earum; Consequatur ullam eligendi corporis repudiandae'''
Dr Anna Chandler;67.0;65.1;45.2;'''Magnam; Inventore deleniti Necessitatibus ratione'''
Kim Harris;55.0;49.1;73.2;'''Note: Blanditiis labore magnam praesentium quod natus; then Inventore error eos'''
Mr Adrian Jones;87.0;37.1;38.2;'''Perspiciatis ipsa vel; Consectetur delectus maiores nam impedit reprehenderit ; Nisi corrupti dolores sapiente aliquam'''
Peter Dean;79.0;75.1;16.2;'''Hic nostrum mollitia: Sequi; Sunt sunt laboriosam'''
Sylvia Clarke;60.0;;92.2;'''(Eos expedita officiis) ; Quaerat iste explicabo ad eligendi nobis and Voluptate odit'''
D;67.0;1.1;;'''Et nam: Porro magnam hic laboriosam; Cupiditate'''
Dorothy Miller;22.0;2.1;52.2;'''(Cum voluptate maiores expedita autem) ; Necessitatibus magnam vero and Officia optio ducimus'''
Carole Phillips;47.0;30.1;54.2;'''Note: Cumque corrupti quam fugit; then Magnam ut ad'''
Norman Cook;55.0;91.1;39.2;'''(Ea ea laudantium omnis quas facilis) ; Iusto deleniti dolorem doloremque and Enim nobis amet'''
Benjamin Wilson;;19.1;70.2;'''Laboriosam cupiditate totam numquam; Neque minus modi ; Sapiente'''
Mr Shane Kent;53.0;80.1;12.2;'''(Assumenda nisi a) ; Reprehenderit neque molestiae saepe and Unde'''
Lucy Bell-Franklin;62.0;47.1;59.2;'''Note: Blanditiis; then Quis perferendis'''
Tina Ward;68.0;100.1;73.2;'''Vero quaerat; Possimus sequi itaque ; Dolor beatae minus ipsam'''
Alex Berry;40.0;8.1;73.2;'''Note: Tempora possimus vel eius eligendi cumque; then Expedita nobis corrupti'''
Lorraine Ellis;73.0;26.1;32.2;'''Cupiditate veniam; Minus autem Dolores'''
Wendy Davies;53.0;21.1;67.2;'''(Aut distinctio magni) ; Quo repudiandae mollitia non and Natus voluptatum occaecati error cupiditate soluta'''
Marion Jones;34.0;45.1;6.2;'''(Fugiat quisquam) ; Omnis reprehenderit and Ipsam fugit quidem'''
Amy Jones;39.0;42.1;87.2;'''Soluta quidem aut quibusdam ex; Maxime dolorum ; Dicta veritatis laudantium'''
Dr Jeffrey Hart;19.0;89.1;22.2;'''(Quis rem) ; Iusto quo repudiandae and Temporibus illum eos asperiores perspiciatis'''
Lynn Wilson;31.0;21.1;80.2;'''Ut; Ipsum culpa beatae ; Repellendus'''
'Mrs Carolyn O''Connor';30.0;91.1;57.2;'''Note: Quasi libero maiores; then Doloribus consequatur tenetur'''
Martin Whittaker;46.0;64.1;94.2;'''Nemo et mollitia eius; Et architecto eum ipsum ; Iusto modi molestias'''
Miss Donna Robinson;84.0;78.1;80.2;'''(Tempore) ; Laudantium ratione and Voluptatem necessitatibus magni vitae iure'''
Adrian Bates-Martin;29.0;64.1;92.2;'''Note: Asperiores occaecati sunt; then Esse maxime iure pariatur cumque voluptatum'''
Julia Bond-Davies;38.0;14.1;43.2;'''(Optio) ; Delectus nisi and Ipsum vero veritatis quas odio'''
Alan Fox;52.0;32.1;27.2;'''Eius; Sint ; Odit architecto deserunt sapiente'''
Stewart Kelly-Walsh;79.0;57.1;59.2;'''Note: Id doloribus id sapiente; then Praesentium modi totam voluptatem'''
Melissa Barnes;70.0;21.1;92.2;'''Cupiditate deserunt vel quia doloribus labore; Deleniti minima Sint et odit'''
