name,age,total_count,price,remark
Robert Edwards,27.0,90.1,34.2,'''Draw capital movie: My others station, Difficult event'''
Shannon Young,98.0,21.1,45.2,'''Game agree mention: Want if field color, Sister describe current'''
Matthew Freeman,62.0,80.1,21.2,'''Life as just community; Coach sea beat pass , Participant music conference'''
Jason Collins,2.0,21.1,14.2,'''Avoid point: Trouble manage practice treat friend about, Attention himself'''
Donald Howard,22.0,51.1,90.2,'''Mr where; Machine people , Director six their for'''
o,51.0,,71.2,'''(Next nearly next) , Near Democrat base and Onto again'''
Mark Sherman,68.0,29.1,63.2,'''Floor business whether, Outside care should Someone growth grow group'''
Emily Young,79.0,18.1,57.2,'''Window, Firm week audience up beautiful Actually front stuff yet particular'''
Andres Gomez,27.0,92.1,,'''Matter, Though other poor either tough Safe'''
Anthony Nelson,11.0,2.1,89.2,'''Also soon sign: Almost box, Military'''
Catherine Robinson,87.0,63.1,25.2,'''Three learn child; Tv table city , Some show'''
James Perez,98.0,69.1,42.2,'''Loss specific politics, Number continue store speech either fire Benefit seek believe'''
Nicole Williams,24.0,88.1,99.2,'''Deal yourself than less; Grow air scene , Level others'''
Alexandra Sutton,24.0,87.1,81.2,'''Operation, Plant arrive Interesting building'''
Joy Farley,3.0,52.1,21.2,'''Citizen if simple wife culture, Quite recently Have onto many item'''
Philip Boyd,,78.1,92.2,'''Will policy window; Wind practice , Avoid they'''
Carrie Adams,14.0,69.1,87.2,'''Note: Sound measure fill, then Mission democratic state near learn'''
Frances Davis,32.0,53.1,58.2,'''Big size all near; Now alone , Close various world before'''
Michelle Nelson,41.0,8.1,56.2,'''Produce so benefit reason because; Paper throw bag lose rich never , Nor nor some'''
Kristopher Moore,64.0,99.1,3.2,'''As time while: Ok include purpose teach charge, Task medical'''
Carolyn Davis,84.0,80.1,14.2,'''Into building catch, Successful customer second wide positive Black'''
Timothy Stewart,9.0,75.1,30.2,'''Note: Still later near, then Similar through despite'''
Brittany Barnett,78.0,83.1,68.2,'''Find organization teach, Research discuss everything large foot until Four apply southern baby entire'''
Michelle Conley,63.0,57.1,55.2,'''Note: Sometimes including, then Nation population maintain no'''
Alicia Hoffman,60.0,96.1,96.2,'''Plant something avoid: Yard similar decision, Mind'''
Lindsey Mcneil,68.0,14.1,6.2,'''(Least movie) , For half and Want'''
Joseph Collins,29.0,4.1,59.2,'''Apply behind explain reveal grow: Much why power, Sign city successful conference real'''
Bridget Hunt,28.0,48.1,51.2,'''Note: Least measure Mrs, then Allow close'''
George Oneal,41.0,65.1,42.2,'''Do: Like, Question his maintain'''
Cynthia James,21.0,72.1,25.2,'''Significant feeling himself style cause: Have right, Indeed present live'''
Kelly Schultz,4.0,30.1,73.2,'''(Military general) , Population and Management small boy'''
Erica Sawyer,87.0,58.1,37.2,'''(Force above one manage discuss politics) , Could education and Need lose single'''
Tammie Lucas,5.0,84.1,42.2,'''Still better; Early poor , Different trip'''
Wendy Morgan,76.0,85.1,11.2,'''Recently speak newspaper trade, One window pretty Front century break'''
Jeremy Davidson,18.0,99.1,87.2,'''Nearly, Hand Film physical magazine international'''
Melissa King,74.0,87.1,5.2,'''(Night too page leader day) , Memory pattern bad offer and Avoid'''
Brooke Williams,15.0,98.1,60.2,'''(Positive speech) , Father and Keep back thus'''
Alexandra Marks,99.0,47.1,95.2,'''Son entire, Year tell Away lot'''
