name,username,total_count,age,price,remark,message
Leah Tucker,leah_tucker_5667,42.0,70.1,69.2,"""Esse pariatur ex perspiciatis: Nihil eius, Nostrum minima eligendi""","""Illo architecto; Laboriosam , Laborum natus"""
Dawn Wallis,dawn_wallis_4916,25.0,92.1,90.2,"""Voluptatum minima; Fugit fuga quaerat , Est ipsum atque ullam""","""Note: Sequi molestias unde, then Quaerat quod distinctio"""
Mr Mohammad Green,mr_green_4973,10.0,15.1,1.2,"""Natus: Consequatur minus unde, Tempora""","""Vitae repudiandae doloremque ea praesentium occaecati, Ratione cumque aperiam Eos aperiam doloribus molestiae"""
Philip Kay,philip_kay_8927,19.0,76.1,73.2,"""Accusantium: Minima, Pariatur nesciunt consequuntur""","""Quasi corrupti, Porro qui Eius officiis perspiciatis error"""
Victor Walker,victor_walker_3433,42.0,23.1,30.2,"""Eum molestiae modi sit suscipit dolorum, Sunt harum iusto doloribus qui Quidem explicabo repellendus iusto""","""Note: Voluptatem consequatur tenetur molestiae qui officia, then Beatae"""
Robin Patel,robin_patel_8190,99.0,82.1,37.2,"""Expedita quisquam provident, Recusandae velit Occaecati""","""Provident, Quas maiores iusto ratione amet Accusantium dolore quas quibusdam sunt"""
Mathew Parry,mathew_parry_8030,10.0,16.1,1.2,"""Tempore culpa: Ipsum earum, Nihil dolor exercitationem""","""Illo magni; Consequatur sequi maxime fugit , Quaerat beatae error alias"""
Miss Alexandra Rhodes,miss_rhodes_8101,74.0,78.1,32.2,"""Perspiciatis voluptate, Necessitatibus iure Accusantium maiores eveniet assumenda veritatis excepturi""","""Ipsam at, Rem explicabo nisi nostrum repudiandae Soluta alias adipisci"""
Mr Gregory Ahmed,mr_ahmed_7199,97.0,95.1,63.2,"""Est ut blanditiis nobis, Eos deserunt consequuntur Omnis aperiam""","""(Voluptatem aperiam fugiat) , Beatae repellat consequatur and Eum beatae quod voluptate"""
Pauline Howell,pauline_howell_8551,78.0,31.1,68.2,"""Repellendus explicabo eos; Id accusantium modi occaecati , Praesentium eligendi modi aliquid""","""(Laboriosam aperiam exercitationem quos) , Quis similique adipisci and Quasi illo explicabo nemo placeat"""
Mrs Paige Taylor,mrs_taylor_8208,79.0,16.1,52.2,"""Note: Dolores, then Itaque cum itaque quos vero perspiciatis""","""(Tempora commodi asperiores incidunt) , Unde cupiditate and Optio nesciunt"""
Julie Dennis,julie_dennis_5573,70.0,90.1,17.2,"""Cum earum; Similique autem , Minus accusamus iure enim""","""Note: Illum ut, then Esse dolor fugiat"""
Josephine Hilton,josephine_hilton_6075,84.0,100.1,59.2,"""Atque hic doloremque dicta, Fugiat occaecati soluta aliquam Omnis occaecati""","""Note: Tempora odit, then Labore corporis ab"""
Shane Dixon,shane_dixon_1421,17.0,38.1,71.2,"""(Vel alias quae) , Ipsam and Iste quo""","""Delectus eius consequuntur, Amet Labore accusantium recusandae similique vel"""
Dr Raymond Hawkins,dr_hawkins_4771,52.0,12.1,89.2,"""(Laudantium) , Harum pariatur and Libero non""","""Esse sit; Iure vitae , Neque exercitationem illum"""
Kate Jones-Taylor,kate_taylor_9548,82.0,89.1,41.2,"""(Architecto) , Mollitia cupiditate and Eligendi""","""(Itaque) , Voluptatum nihil and Perferendis"""
Kyle Shah,kyle_shah_1498,49.0,4.1,44.2,"""Molestias consequatur nemo; Nam alias maiores , Ea nemo ipsam quaerat""","""Vitae quidem inventore quaerat: Reiciendis enim excepturi, Ipsa nobis fugit cumque a"""
Gavin Williams,gavin_williams_2993,65.0,1.1,22.2,"""(Vero assumenda suscipit assumenda) , Et consequuntur and Atque harum""","""Ea fugit ducimus quaerat: Eligendi harum, Occaecati itaque nesciunt quas excepturi"""
Leanne Fletcher,leanne_fletcher_3236,73.0,45.1,15.2,"""Dolorem aliquam quibusdam: Beatae reiciendis, Amet incidunt""","""(Officiis alias repellendus) , In and Sint doloremque quo quis"""
Dr Marc Johnson,dr_johnson_5250,49.0,77.1,3.2,"""Velit beatae vitae natus; Facilis dignissimos tempore consequuntur , Quibusdam autem""","""Dolor dolorum consectetur: Totam animi dignissimos, Officiis maxime culpa"""
Kirsty Byrne,kirsty_byrne_7325,92.0,80.1,92.2,"""Ipsa repellendus numquam aperiam: Nam vitae ad ipsam, Sequi amet aperiam aspernatur odio""","""Quasi eligendi nam molestias, Aliquam excepturi ratione Labore"""
Arthur Williams-Moss,arthur_moss_2226,19.0,8.1,87.2,"""Harum iure ad, Consequatur consequatur corrupti beatae occaecati numquam Ipsa porro quos eaque reiciendis eum""","""Note: Vero velit, then Quidem animi rem dicta"""
Sean Singh,sean_singh_4184,97.0,82.1,35.2,"""Ipsam praesentium: Similique mollitia, Laudantium ut commodi temporibus""","""(Velit quisquam) , Amet minima nisi occaecati fugit and Dolorem iure officiis unde"""
Abdul Jackson,abdul_jackson_7485,62.0,4.1,98.2,"""(Laboriosam exercitationem) , Maxime sint animi vitae and Nostrum magnam""","""Note: Dignissimos similique, then Autem modi debitis harum"""
