name;rating;summary;review
Stewart Lee;80.0;'''Facere sequi non occaecati accusamus: Vero consectetur; Quaerat culpa sint mollitia delectus at''';'''(Recusandae) ; Excepturi expedita quod exercitationem and Nesciunt animi aliquid'''
o;84.0;'''Dolore: Magnam assumenda; Esse culpa unde natus itaque''';'''At magnam laborum non; Illum deserunt Accusantium repudiandae maxime quo'''
Dr Brandon Phillips;85.0;'''Iure quod rem sapiente; Quo Exercitationem tempora autem''';'''Note: Modi; then Quam eos nostrum officiis rerum'''
Tom Harris-Patel;36.0;'''Minus repellat laborum doloribus fugiat laudantium; Enim ; Officia maiores''';'''At perferendis magni rerum; Ipsam enim placeat laudantium ea aut Quidem aut a commodi facere magnam'''
Kieran Fleming;19.0;'''Ipsa eaque; Iusto explicabo Consectetur dolore amet''';'''Note: Voluptates sapiente cumque corrupti; then Autem eligendi suscipit sint et'''
Jodie Norman-Brown;80.0;'''Note: Eos omnis magni; then Pariatur sapiente labore aliquid qui nostrum''';'''Note: Laboriosam impedit vel nostrum voluptates; then Blanditiis accusantium impedit'''
Lindsey Cook;;'''Note: Quasi dolores; then Id a voluptatum''';'''(Accusantium nulla) ; Possimus animi quisquam and Earum recusandae molestiae est tenetur vero'''
Gary Brown-King;13.0;'''Esse: Dolorem maiores; Ipsa alias consectetur''';'''Totam necessitatibus; Eos occaecati Explicabo dignissimos'''
Hannah Gibson;53.0;'''Veniam; Delectus ; Earum aut''';'''Note: Autem sint reprehenderit harum nostrum; then Quam perspiciatis odio'''
Ms Caroline Slater;51.0;'''Note: Unde quidem ducimus; then Aliquid facere''';'''Cupiditate atque repudiandae sint; Tenetur asperiores ; Quasi maiores cumque vero'''
Dr Dominic Carter;66.0;'''Ut ab magnam omnis: Nulla cumque eaque nesciunt in quae; Exercitationem earum harum corporis''';'''(Suscipit quod amet minima) ; Ad voluptatibus facilis and Provident consequuntur'''
Ms Caroline Davies;52.0;'''(Eum natus) ; Quasi repudiandae and Illo pariatur sit''';'''(Exercitationem nostrum fugiat eum) ; Nemo and Dignissimos laborum consectetur quaerat non'''
Mr Dale Long;30.0;'''Note: Modi recusandae; then Laudantium non est''';'''Atque: Dignissimos sunt nostrum necessitatibus suscipit; In accusantium'''
Jayne Patel;89.0;'''Reiciendis illum atque voluptas temporibus; Rerum animi consequuntur Neque eligendi''';'''Ipsam minus mollitia; Ut quam ut laudantium ; Hic necessitatibus perferendis temporibus'''
Damien Mason;53.0;'''(Numquam facere facilis ad) ; Eveniet modi necessitatibus and Blanditiis unde''';'''Note: Dolore dolore quae; then Laudantium'''
