name;username;age;total_count;summary
Gavin Brennan;gavin_brennan_9202;98.0;37.1;"""Note: Pariatur iure cumque; then Occaecati temporibus minima minus corporis"""
Dr Barry Brooks;dr_brooks_5134;55.0;99.1;"""Vero corrupti et: Inventore perspiciatis; Doloribus repudiandae dignissimos doloribus"""
Bruce Wilson;bruce_wilson_5448;27.0;34.1;"""Deleniti reprehenderit fugit asperiores ipsa voluptas; Consectetur quam consectetur Architecto magnam"""
Janice Jones;janice_jones_9364;1.0;71.1;"""Expedita tempore animi: Rerum; Ad voluptatum"""
Jonathan Wood;jonathan_wood_3720;5.0;;"""Necessitatibus minima; Corporis laudantium voluptatum corrupti ; Non ex ad"""
Harry Brooks;harry_brooks_5294;91.0;7.1;"""Note: Omnis voluptatibus sint; then Iusto reprehenderit totam"""
Antony Richards-Foster;antony_foster_9706;65.0;31.1;"""Impedit odit nam doloribus: Enim quo asperiores doloremque; Recusandae est"""
Beth Nelson;beth_nelson_0836;38.0;13.1;"""Deleniti; Illo ; Possimus delectus veniam"""
Kieran Myers;kieran_myers_5165;55.0;92.1;"""Architecto ratione hic eveniet dolore vero; Inventore ; Voluptatibus commodi hic fugiat"""
Brandon Barnes;brandon_barnes_7935;91.0;18.1;"""Note: Quisquam; then Necessitatibus modi deserunt"""
Ms Kerry Clark;ms_clark_6197;5.0;37.1;"""(At nisi iure architecto fuga) ; Quisquam magni commodi and Voluptate dolores"""
Dr Sylvia Hayes;dr_hayes_2523;58.0;77.1;"""Cumque quas deserunt minima: Harum; Perferendis aliquid"""
Dr Bryan Bailey;dr_bailey_1948;19.0;50.1;"""Totam cumque; Officia esse quod ; Culpa nihil neque"""
e;roy_clements_2430;44.0;38.1;"""(Numquam animi aliquam perspiciatis omnis eligendi) ; Suscipit aut rem and Ratione sint vero"""
Simon Bates;simon_bates_0326;40.0;68.1;"""Note: Voluptatem asperiores; then Mollitia expedita recusandae eligendi temporibus"""
Jean Farrell;jean_farrell_1960;53.0;69.1;"""Note: Ut itaque minus; then Praesentium quaerat provident itaque"""
Jane Jones;jane_jones_4636;94.0;64.1;"""Note: Nihil nobis omnis in voluptatibus; then Nobis molestias dignissimos rem ea"""
Yvonne Stanley;yvonne_stanley_1822;82.0;86.1;"""(Accusamus) ; Voluptatem and Illum qui dolorum placeat distinctio"""
Amy Perkins;amy_perkins_7245;;8.1;"""Note: Sunt vel itaque pariatur distinctio; then Dolor libero"""
Aimee Thomas;aimee_thomas_3420;66.0;76.1;"""(Maiores nihil doloremque) ; Repellat and Iusto repellat veniam quae nulla"""
Joyce Brooks;joyce_brooks_0057;100.0;63.1;"""Praesentium error repellendus; Voluptas sequi eius nulla Id iure unde"""
Debra Davies;debra_davies_7055;93.0;25.1;"""Autem animi soluta; Et ipsum Necessitatibus illo"""
Brett Gordon;brett_gordon_1458;54.0;83.1;"""(Ut rerum) ; Fugit and Nulla quaerat aspernatur blanditiis"""
David Lloyd;david_lloyd_8285;58.0;64.1;"""Note: Sed placeat eligendi tempore tenetur; then Quae eaque ipsum optio"""
Lawrence Baxter;lawrence_baxter_8177;15.0;88.1;"""(Quaerat dignissimos dolorem culpa nam ullam) ; Doloremque and Saepe eaque eligendi"""
Amber Parkinson;amber_parkinson_9107;74.0;94.1;"""Voluptates aliquid possimus; Dolorum eum eligendi Voluptatum dolorem molestias"""
Lewis Smith;lewis_smith_7962;100.0;13.1;"""Occaecati error; Molestiae porro Recusandae explicabo soluta nisi in"""
Mr Joshua Roberts;mr_roberts_6107;55.0;81.1;"""Itaque assumenda a et: Adipisci non in labore iste; Ut deleniti minus"""
Anne Hunt-Smith;anne_smith_9447;43.0;94.1;"""Perspiciatis deserunt; Laboriosam molestiae Sint a ipsam quos numquam quae"""
Jeremy Gill;jeremy_gill_2241;71.0;73.1;"""(Voluptatum) ; Fuga modi dolore illum vel and Omnis laboriosam impedit"""
