# This is a comment line to skip
username;price;score;rating;comment
paul_becker_5031;54.0;81.1;37.2;'''Away call north: Soldier; Collection tree'''
james_rodriguez_9715;24.0;80.1;66.2;'''(Investment ever interest owner) ; Woman practice other and Truth'''
ricky_fisher_6736;77.0;57.1;95.2;'''Wish reality series; Force trade fund ; Ever'''
jennifer_bautista_3045;2.0;45.1;41.2;'''Reduce provide light; Stock far Fear under'''
linda_smith_5059;41.0;89.1;14.2;'''Yes hot political main; Green research firm Above indicate still'''
kelly_roman_3134;48.0;7.1;29.2;'''Note: Series measure condition society; then Impact'''
brandon_lawrence_1198;44.0;13.1;82.2;'''(Happen opportunity) ; Wait nearly real and Simply'''
monica_hernandez_3483;67.0;32.1;11.2;'''Area thing beautiful; Fight Worker'''
deborah_lara_8597;50.0;65.1;68.2;'''(Fact) ; Start identify subject than and Above'''
aaron_west_2127;28.0;77.1;76.2;'''State understand parent blue; Position shoulder approach ; Least'''
chris_tucker_3954;7.0;69.1;26.2;'''About moment major worry never: Young prepare design leave body anyone; Story major image artist'''
timothy_dudley_8959;41.0;46.1;72.2;'''Note: Whether; then Same'''
jennifer_arnold_9603;98.0;85.1;32.2;'''War pretty: Answer but billion; Be sense sure'''
dustin_coleman_9834;3.0;33.1;99.2;'''Necessary speak; Indicate conference Begin trade mind moment people'''
james_jackson_0264;5.0;80.1;34.2;'''(Everyone trade drive wait) ; Administration record help and Series exactly'''
lee_price_0937;92.0;44.1;56.2;'''Note: Chair lay relationship; then Vote image energy'''
gary_pace_7524;6.0;94.1;90.2;'''Hard exactly: Concern coach sit production stuff; Heart media nothing'''
jaime_obrien_3886;26.0;42.1;66.2;'''Note: A direction black whether; then Nothing'''
christine_wheeler_4650;13.0;14.1;;'''Many friend; Respond again structure nice ; Choose mother'''
renee_martinez_8636;29.0;75.1;63.2;'''Keep management: Well; Compare goal'''
ronald_flores_2467;43.0;;1.2;'''Fight between situation role: Attorney thought; Large start himself'''
lauren_yates_0265;36.0;95.1;60.2;'''Note: Bar model power argue; then No small person loss person perhaps at'''
shelly_alvarez_0843;28.0;92.1;34.2;'''True author these; Record performance right miss popular ; Scientist American heavy'''
james_george_0608;66.0;78.1;48.2;'''(Country heart especially) ; Car true police name national and Evening benefit write usually'''
tammy_johns_9321;66.0;72.1;20.2;'''(Us four north great center) ; Central paper require sea if and College'''
natalie_martinez_3983;41.0;25.1;38.2;'''Feel senior system including western family must: Will tonight involve; Cost'''
peggy_francis_9650;71.0;22.1;58.2;'''Anything; Civil include Exactly argue'''
jeffrey_wagner_6465;79.0;40.1;62.2;'''Parent a newspaper; Spring Pass above seek'''
nina_shepard_0177;80.0;17.1;63.2;'''Tax game big: Choice material cover; Money price'''
bradley_jones_0359;46.0;82.1;87.2;'''Only reality: Local; Art determine'''
connie_willis_2468;94.0;33.1;66.2;'''(Forward section daughter later) ; Magazine area and Not investment between'''
david_bowen_1188;17.0;99.1;27.2;'''Bring rather chair: Pattern large; Certain country'''
melissa_parker_3020;44.0;23.1;87.2;'''(Arrive public entire us) ; Hundred agency sing total and Another long wonder too'''
ronnie_edwards_8465;37.0;75.1;69.2;'''(Difference article quite) ; Food design do choice and However'''
annette_king_0995;69.0;13.1;23.2;'''Capital cup agency second few; Article support tax Reach along'''
howard_clark_4538;5.0;9.1;99.2;'''Main amount: Race white; Federal side'''
deborah_richards_6983;;98.1;9.2;'''Tax to Congress vote drug theory; Who recently month ; Traditional computer activity factor continue'''
william_franklin_9852;22.0;6.1;45.2;'''(Several) ; After state and Name eight'''
abigail_davis_4120;82.0;10.1;98.2;'''Language manage reduce when hospital; Region seek green Accept or science'''
sandra_prince_9422;36.0;5.1;91.2;'''Color card rich age; End clearly ; Can meet space five develop'''
ryan_farmer_5590;91.0;90.1;65.2;'''Same night; News professor because ; Simply magazine mention'''
dawn_rangel_6880;41.0;69.1;41.2;'''(Race century) ; Pressure and North none'''
phillip_huerta_5809;16.0;72.1;48.2;'''(Bed deep sense theory) ; Executive and Experience'''
