# This is a comment line to skip
name;score;price;rating;review
Ms Jemma Gallagher;25.0;24.1;59.2;"""Minima; In et harum ; Iure nobis"""
Dr Alexander Bell;94.0;55.1;84.2;"""Ipsam totam aliquid perspiciatis expedita facilis; Quibusdam quas ; Cupiditate veritatis"""
Dean Reed;3.0;10.1;17.2;"""Neque debitis similique unde perferendis; Distinctio cupiditate nisi natus ; Tempora molestias fugiat saepe"""
Mr Marc Evans;83.0;17.1;14.2;"""Nulla consequuntur perspiciatis cupiditate reiciendis: Excepturi ut; Consectetur eos nam nisi"""
Alan Roberts;72.0;62.1;20.2;"""(Cumque beatae beatae) ; Numquam sunt quibusdam esse accusantium natus and Deleniti consectetur earum"""
Dr Jake Bradley;67.0;56.1;79.2;"""(Blanditiis) ; Saepe and Excepturi quisquam"""
Andrea Baker;16.0;95.1;;"""Est commodi nobis consectetur; Quidem provident Autem inventore"""
Miss Maureen Reynolds;44.0;43.1;35.2;"""Note: Minima porro; then Odio cupiditate perspiciatis"""
Denis Parker;78.0;59.1;98.2;"""Ad dolore aspernatur neque: Aut ipsam odit; Dignissimos"""
A;51.0;5.1;9.2;"""Note: Veniam animi; then Architecto"""
Iain Jones;18.0;2.1;76.2;"""Recusandae velit: Nobis quas; Delectus"""
Mary Chapman;77.0;64.1;26.2;"""Id culpa: Corrupti facilis; Architecto officiis doloremque ut"""
Dr Melanie Webb;46.0;24.1;87.2;"""(Perferendis autem) ; Tenetur odio quia and Qui delectus"""
Gemma Robinson;24.0;17.1;4.2;"""(Veritatis debitis) ; Expedita quisquam eligendi vel and Eius nam excepturi consequatur laboriosam impedit"""
Pamela Jackson;68.0;85.1;55.2;"""Aspernatur eum; Eius ; Non ea rem atque dolor"""
Katherine Smith;30.0;55.1;27.2;"""Note: Quasi dicta excepturi quos; then Quis"""
Ms Fiona Fletcher;77.0;40.1;63.2;"""Aliquid molestiae quibusdam qui; Sunt eius Occaecati suscipit harum occaecati incidunt repellat"""
Dr Kevin Robson;84.0;45.1;70.2;"""Note: Velit libero; then Quas fugit deserunt voluptate quasi"""
Mr Allan Smith;57.0;51.1;65.2;"""Reiciendis perspiciatis necessitatibus illum; Recusandae aliquid ; Cupiditate assumenda"""
Dr Victor Adams;98.0;16.1;54.2;"""(Possimus) ; Error pariatur and Autem ducimus blanditiis"""
Claire Higgins;46.0;50.1;46.2;"""Assumenda exercitationem: Saepe aperiam maiores; Enim tempora temporibus"""
