username,name,score,price,review
danny_thomas_0835,Danny Thomas,26.0,81.1,"""Hic; Architecto , Placeat blanditiis amet"""
rachael_hughes_0582,Rachael Hughes,52.0,71.1,"""Illo molestiae quas impedit, Omnis Mollitia quod quo placeat enim"""
dr_warner_2703,Dr Hazel Warner,13.0,68.1,"""Quibusdam enim non perspiciatis, Omnis porro Culpa quis"""
martyn_white_1787,Martyn White,60.0,95.1,"""(Molestiae quidem in similique) , Dolores nemo hic and Laborum natus voluptatum facilis"""
timothy_stevens_1049,Timothy Stevens,31.0,15.1,"""Mollitia iure et nostrum at consequuntur; Doloremque impedit soluta aperiam , Doloremque natus accusamus culpa"""
leigh_harvey_3021,Leigh Harvey,42.0,53.1,"""Note: Dicta cupiditate, then Nulla minus vero"""
kathleen_white_6758,Kathleen White,23.0,79.1,"""Note: Voluptate, then Voluptatibus expedita"""
mandy_smith_1607,Mandy Armstrong-Smith,8.0,94.1,"""Ullam pariatur quam totam voluptatem id, Quo vel velit Nobis eligendi voluptate"""
ryan_ellis_8352,Ryan Ellis,39.0,5.1,"""Unde porro sapiente: Ab, Laudantium nihil natus"""
dr_pickering_3973,Dr Albert Pickering,91.0,61.1,"""Aspernatur vero, Placeat occaecati ad Tenetur minima distinctio voluptas"""
danny_fraser_8278,Danny White-Fraser,66.0,57.1,"""Earum; Consequatur ea amet incidunt , Odit"""
reece_haynes_1790,Reece Haynes,54.0,87.1,"""Blanditiis labore numquam, Illo qui Ducimus exercitationem quasi"""
adam_may_3506,Adam May,61.0,6.1,"""Note: Doloribus eius, then Facere exercitationem"""
jane_stevens_5430,Jane Stevens,50.0,30.1,"""Aut dolor aperiam corporis, Sit molestias odio Sapiente hic culpa iusto nemo nesciunt"""
jake_white_7025,Jake White,14.0,67.1,"""Soluta tempore aperiam, Mollitia perspiciatis dolorum porro Veniam aperiam vitae"""
phillip_martin_0174,Phillip Martin-Martin,61.0,61.1,"""(Nihil repudiandae) , Doloribus ullam repudiandae animi quidem and Officiis tenetur"""
mark_smith_7549,Mark Smith,64.0,6.1,"""Note: Placeat non necessitatibus sint, then Aliquam"""
dr_roberts_9591,Dr Abdul Roberts,85.0,,"""Culpa modi praesentium inventore: In reiciendis, Omnis fuga quidem"""
katy_jones_9685,Katy Jones,100.0,51.1,"""Doloremque, Sunt eveniet Molestiae ad a"""
stanley_mills_7508,Stanley Mills,36.0,72.1,"""Inventore sequi eligendi; Odit ratione , Blanditiis"""
jasmine_sullivan_1804,Jasmine Davies-Sullivan,91.0,10.1,"""Asperiores architecto exercitationem quas: Eveniet eaque, Ea saepe iste nemo"""
amanda_cox_0539,Amanda Cox,30.0,12.1,"""Note: Illum aliquam eligendi animi excepturi, then Facere odio totam"""
amy_edwards_5478,Amy Edwards,56.0,33.1,"""Note: Facilis, then Quod dolore fugiat magnam eaque"""
naomi_perry_0533,Naomi Perry,,62.1,"""Note: Expedita rem dignissimos iste, then Quisquam officiis explicabo enim ut perspiciatis"""
neil_heath_1699,Neil Evans-Heath,76.0,65.1,"""Rem pariatur a, Pariatur assumenda possimus nam Enim"""
alan_knowles_4379,Alan Knowles,12.0,82.1,"""Facilis veritatis, Eveniet ratione nesciunt Aspernatur"""
miss_jones_9801,Miss Natalie Jones,20.0,47.1,"""Distinctio provident voluptas: Voluptatem voluptatibus natus voluptate eum, Voluptatum rem doloribus"""
karen_birch_8327,Karen Birch,50.0,61.1,"""Nulla repellendus non recusandae: Minima optio fugit eaque esse ducimus, Consequatur eum omnis officiis"""
maurice_james_1045,Maurice James,59.0,12.1,"""Quidem doloremque; Eligendi pariatur , Earum"""
mr_craig_2192,Mr Adrian Craig,60.0,43.1,"""Id animi et facilis delectus: Esse tenetur, Vel"""
malcolm_lee_3929,Malcolm Lee,63.0,85.1,"""Enim minus quas repellendus; Eum nam , Sed"""
miss_mitchell_2513,x,43.0,52.1,"""Minima maxime; Magnam fugiat , Blanditiis in labore quidem"""
mr_hall_5272,Mr Frederick Hall,62.0,75.1,"""Quis sapiente reprehenderit cupiditate, Minus aut voluptate cupiditate quod Nam illo"""
mrs_miah_0000,Mrs Bethany Miah,62.0,29.1,"""Note: Quod accusamus, then Ipsam veniam"""
melanie_rhodes_4499,Melanie Rhodes,83.0,44.1,"""Facilis in ab impedit voluptates sed, Ipsa quaerat debitis quaerat Rem animi officia"""
garry_bradshaw_4707,Garry Bradshaw,55.0,2.1,"""Cupiditate doloribus: Consequuntur delectus necessitatibus adipisci, Culpa"""
