name;username;salary;price;description
Sheila Myers;sheila_myers_2041;64.0;10.1;"""Note: Value miss meet; then Attack example according decide call baby"""
Mckenzie Hatfield;mckenzie_hatfield_5109;8.0;28.1;"""Cultural table: Start can; Item offer trade"""
Michael Rogers;michael_rogers_6237;61.0;85.1;"""Resource then debate; Director continue ; Standard"""
Lacey Higgins;lacey_higgins_5717;16.0;96.1;"""Simple middle character imagine more: Budget charge television economic report very; Kind easy upon"""
Rhonda Carroll;rhonda_carroll_5160;74.0;93.1;"""Court husband: Draw; Worry stand"""
Anna Campbell;anna_campbell_5178;5.0;4.1;"""Note: Here author; then Significant herself"""
Angela Zamora;angela_zamora_4967;59.0;57.1;"""Stay young adult news government; Result pull design partner Nearly sometimes read"""
Brooke Simpson;brooke_simpson_2596;32.0;23.1;"""Radio finally: City great; Age hour leader"""
Tonya West;tonya_west_1239;78.0;66.1;"""(Entire so side grow whole of) ; Born town those and Century add senior"""
Ashley Robertson;ashley_robertson_0424;51.0;31.1;"""Center almost rest husband share; Have hand product Wind"""
Brenda Mueller;brenda_mueller_0634;36.0;16.1;"""Election general: Few share well why; Line at"""
Kathy Daniels;kathy_daniels_8801;83.0;83.1;"""Phone; Upon organization property Republican ; Way magazine prevent avoid"""
Phillip Smith;phillip_smith_2669;34.0;78.1;"""Note: Story front election event place beautiful; then Hundred suffer third activity agency charge"""
Brooke Davis;brooke_davis_5679;61.0;37.1;"""(Performance TV next) ; Decision purpose remain occur key and Interview should clear"""
Debra Hodges;debra_hodges_6870;3.0;88.1;"""Note: Detail each home; then Social break artist"""
 ;brandon_alvarez_3555;74.0;24.1;"""Note: Goal director; then Issue"""
Amanda Suarez;amanda_suarez_4593;69.0;47.1;"""Mission: Method me; Decision probably movie"""
Rodney Lewis;rodney_lewis_4432;20.0;81.1;"""After article race: Shake total recognize; Teach impact more force"""
Renee Cobb;renee_cobb_8820;87.0;1.1;"""College might cultural: Move central organization; Miss pattern real"""
James Beck;james_beck_5285;2.0;71.1;"""Note: Short respond follow; then Later fact"""
Jack Shelton;jack_shelton_7268;79.0;24.1;"""Born: Bit beautiful economy; Nor"""
Danielle Nelson;danielle_nelson_8312;37.0;91.1;"""Offer development: When fly; Opportunity continue"""
Patricia Perkins;patricia_perkins_2862;75.0;11.1;"""Population analysis support; Represent treatment ; Media matter rich"""
Tim Brooks;tim_brooks_8673;21.0;16.1;"""Stand; Leave cause ; His my marriage"""
Joshua Wright;joshua_wright_9986;44.0;81.1;"""(His statement evening) ; Yet next season they focus kid and World glass skill set"""
John Jimenez;john_jimenez_7997;98.0;12.1;"""Cold mouth seem better thought event; Fear least as ; Budget make"""
Nancy Hall;nancy_hall_4821;37.0;74.1;"""(Help window) ; Offer culture PM and While design industry"""
Stephanie Adams;stephanie_adams_7072;15.0;;"""Option listen: Break important certainly interview inside argue; Attack see attack"""
Katherine Villa;katherine_villa_8518;30.0;8.1;"""Note: Have; then Smile some quality night lead available"""
Omar White;omar_white_0815;50.0;45.1;"""System natural something; Friend age stay scientist under Remain enter"""
Rodney Perez;rodney_perez_4077;64.0;40.1;"""(Someone also) ; Consider happy thousand score and Data decision source main"""
Timothy Reese;timothy_reese_2405;19.0;5.1;"""Measure for; Name suggest paper ; Traditional hair"""
Lori Wilkins;lori_wilkins_1218;82.0;55.1;"""(Measure against) ; Song dog least identify and Seven authority near"""
Katherine Sanchez;katherine_sanchez_7214;80.0;63.1;"""(Find four energy) ; Real and Whole what do could to entire"""
Jennifer Hicks;jennifer_hicks_5757;;56.1;"""(Do development prevent) ; Unit marriage kid although and However push production budget add"""
Matthew Richards;matthew_richards_5301;74.0;97.1;"""Blue tax rock require rather; Market before campaign left have Year"""
Jennifer Fletcher;jennifer_fletcher_2636;60.0;44.1;"""Note: Individual future especially then to; then Throughout onto after kitchen tough"""
Patrick Jackson;patrick_jackson_8920;7.0;93.1;"""(Before) ; Quite style bit suggest and Fall room probably nearly list rather"""
Andre Bush;andre_bush_9431;71.0;74.1;"""Since range property rich: Behavior today computer meeting speech; Into"""
Kevin Johnson;kevin_johnson_4615;41.0;94.1;"""Most specific stand result baby; Management economic material could ; Green take cold field member be"""
