# This is a comment line to skip
username,name,age,price,review,description
kenneth_jacobs_3205,Kenneth Jacobs,85.0,16.1,"""Land democratic; Prove along establish focus , Senior""","""(Address structure explain check party) , Black and Door short series grow art"""
robin_thomas_7926,Robin Thomas,52.0,43.1,"""Either, Two specific section foot policy authority Arrive perform then""","""Treat painting project most; Strong need , Away situation"""
daniel_blake_3100,Daniel Blake,24.0,65.1,"""Kid oil: College wonder per, Open change""","""(Than stock performance particularly any) , It and Thousand put"""
catherine_evans_0744,Catherine Evans,28.0,9.1,"""Son relationship simply country; Happen argue , Thousand majority project""","""(All cold kitchen best guy) , Will concern and Answer main traditional understand"""
emily_thompson_0737,Emily Thompson,69.0,91.1,"""(Three read window) , Public be hear finish and Evening toward dog western experience""","""World goal office suggest require; Teach why life nor matter daughter , Provide lead"""
angela_shaffer_1905,Angela Shaffer,78.0,7.1,"""Note: Under son center, then Likely""","""Cover professional high: Course imagine, Together travel seek realize office"""
erika_wilson_3668,Erika Wilson,55.0,64.1,"""Staff paper box; Somebody interest your , Black quality""","""(All effort) , Structure town and Manage maintain mother alone believe weight"""
erin_lowery_3631,Erin Lowery,42.0,1.1,"""(Have whatever) , Natural movement and Including room whether cause""","""Expert vote trade: Deep individual office, Situation"""
sierra_barnes_2999,Sierra Barnes,10.0,13.1,"""Challenge time why level; House treat order step black , Both drug""","""Beat specific: This four serious always, Marriage picture star game"""
richard_brown_3101,Richard Brown,45.0,3.1,"""Real take explain: Just word stage, Peace national build""","""(Better) , Easy you during everything and Whether order"""
cassandra_rodriguez_6805,Cassandra Rodriguez,32.0,91.1,"""Deal: Understand bill, Present""","""Without, Eat ago stop Gas support perform financial"""
jeremy_henry_8776,Jeremy Henry,64.0,63.1,"""Far seek: Four far why, Camera yourself respond end""","""(Half water certain religious) , Most will Mrs left relationship direction and Mother"""
brian_ward_1201,Brian Ward,69.0,99.1,"""Civil teacher near; Space lose serious , One ago kid less season""","""Forget air: Beyond, Cut start"""
jacob_mccoy_7627,Jacob Mccoy,92.0,24.1,"""(Gas fill) , Level number blood and Media defense""","""(Long region reflect better address) , Ball real dog and Bit expert capital citizen natural party"""
michelle_brown_2720,Michelle Brown,43.0,29.1,"""Billion science officer board; Political husband door , History southern bar""","""Note: Former color, then Dinner peace"""
daniel_reed_6281,Daniel Reed,17.0,26.1,"""Note: Thus wonder, then Prevent there""","""Newspaper their gas try best avoid understand, Knowledge degree company Expect left TV"""
joseph_wheeler_6839,Joseph Wheeler,8.0,,"""Note: Fight garden back human, then Agency yourself radio writer""","""Partner, Take modern commercial Probably while most turn president full"""
gwendolyn_jones_7215,Gwendolyn Jones,29.0,51.1,"""Kitchen shake; Class realize , Phone success large stop country""","""Since shoulder even expert test, Yard necessary Red discuss"""
lisa_tran_6163,Lisa Tran,92.0,12.1,"""Pretty really identify; Discuss ok theory , Phone lot relate operation""","""(International who four) , Walk network within and Allow ball"""
michael_ellis_5782,Michael Ellis,7.0,74.1,"""(Year room sing) , It new role and Usually pick""","""Note: Remain, then Bit interview gas"""
michael_brewer_7454,Michael Brewer,,34.1,"""Music relationship government effect stock; Lawyer including return send miss , East""","""Difficult will; Sell size , Administration raise"""
juan_young_0022,Juan Young,19.0,39.1,"""Another heavy: Individual fine number letter career, Economy data ability""","""Another later travel: Can poor staff, Whether"""
lisa_mckinney_0068,Lisa Mckinney,83.0,26.1,"""Room free: Wind style past foot, Project design tonight avoid""","""(Speak) , Against forget and Carry too past affect"""
christopher_beck_1055,x,53.0,14.1,"""(Former) , Into main each and Benefit door approach six debate individual""","""(Past Mrs the) , Recent and Building town"""
cheryl_nelson_7413,Cheryl Nelson,56.0,99.1,"""Girl plan; Tv after north expect , Head""","""Note: Direction simply apply continue, then Doctor central"""
kelly_morales_9644,Kelly Morales,39.0,17.1,"""Note: Shoulder check necessary, then Poor""","""Note: Reality my article, then Sound that similar"""
evan_dorsey_9934,Evan Dorsey,12.0,17.1,"""(It party animal technology) , Bit bank and Indeed manager field""","""Note: Look few ask, then Near Republican rise"""
emily_brown_3188,Emily Brown,21.0,12.1,"""Market: Child than significant throw, Soldier daughter""","""Second detail suffer fall administration air, Meeting worker Yourself important"""
sarah_davis_8050,Sarah Davis,24.0,25.1,"""Note: International, then Sit resource real""","""Note: Education huge, then Authority street everything"""
donna_duran_0999,Donna Duran,35.0,70.1,"""(Recent two) , Cell star and Speech art""","""(Personal weight write simply power) , Onto need house and Form"""
natasha_jordan_8977,Natasha Jordan,68.0,80.1,"""Expert answer: Court, Probably kid""","""Success page agent figure road; Huge , Strong research"""
ashley_hudson_3702,Ashley Hudson,61.0,51.1,"""Her year: Learn question low project window, While hotel""","""Quality language: Once, Cultural military enough prove"""
james_blackwell_7435,James Blackwell,44.0,32.1,"""(Present direction ask remember business) , Suddenly first campaign fire sort and Letter""","""Know increase point for; Certainly , Interest"""
