name,username,age,price,message,note
Kelly Ray,kelly_ray_5411,31.0,50.1,'''Lay wall herself, Simple them health itself adult Better''','''Development clear: Suggest once case, Everything ask'''
Kimberly Green,kimberly_green_0762,19.0,1.1,'''Old dream: His travel, Size glass pretty scientist''','''Note: Key, then Yourself firm town recognize'''
Joshua Gardner,joshua_gardner_5623,41.0,75.1,'''Note: Able region, then Do group''','''Note: Drive, then Space degree skill condition'''
Jesse Herman,jesse_herman_5003,91.0,48.1,'''Customer: Them know pressure never, Evening collection music until benefit population''','''Note: Wall toward growth growth, then Safe degree'''
Lisa Torres MD,lisa_md_1401,75.0,50.1,'''Note: Plant idea address movement determine, then Guy''','''Many hand, Watch Change build loss media position stop'''
Justin Campbell,justin_campbell_2730,69.0,35.1,'''Wonder rest manage fill white offer; Effort feeling should , Sit smile wear''','''Sense plan: Collection impact, Would network drop image'''
Patricia Martinez,patricia_martinez_2258,63.0,58.1,'''(Approach) , Poor and In agree toward weight''','''Note: Evening study recognize Mrs, then And contain'''
Jonathan Davis,jonathan_davis_7314,42.0,3.1,'''Benefit whole former within; Determine society get , Focus a form week democratic''','''(Often) , Bill we attention usually and Usually the reveal'''
Katie Turner,katie_turner_2650,35.0,79.1,'''Summer mention wish hear: Consumer water, Lead source fear''','''Center hear run girl, Ok what Know listen president'''
Anne Ward,anne_ward_0477,63.0,93.1,'''(Assume despite area) , Sure exist my network and Call world and''','''Course; Home conference position know American , Where hundred moment'''
Melanie Lutz,melanie_lutz_3958,47.0,36.1,'''Pressure film court, They While great gun''','''Coach campaign, Bar future Like series month'''
David Carpenter,david_carpenter_7329,3.0,10.1,'''Music medical garden attention night two; Stop billion exist top , Great operation each''','''Rate blue bring admit; Sound serious , City leader pattern college'''
David Thompson,david_thompson_6931,99.0,21.1,'''Past name catch, Huge year Defense car''','''Information increase, This suffer with Throw art own'''
Steven Abbott,steven_abbott_6932,68.0,92.1,'''All body instead police: Say finally low again, He''','''(Exist) , Raise himself and Happy common'''
Margaret David,margaret_david_8897,38.0,4.1,'''Customer itself strong, Education out that Look''','''Likely order: Church visit coach, Card own'''
Sarah Caldwell,sarah_caldwell_7515,78.0,48.1,'''Eye you: Run key wish, Forward Congress''','''Note: Senior worry eat business, then Policy cultural'''
Pamela Bell,pamela_bell_1231,84.0,38.1,'''Note: Herself stuff, then White every relate respond''','''Her herself explain environmental game, Organization rest Oil mind'''
Lori Byrd,lori_byrd_2817,95.0,38.1,'''Note: Structure there radio, then Return collection simply others''','''Note: Where for total, then Second rest network evening finally'''
