username;salary;price;note
jacob_valencia_6189;46.0;32.1;'''(His computer run month) ; Ball check and Strategy'''
robyn_ross_9893;81.0;2.1;'''Tree source might practice man; Fast ; Wide mean school agree'''
erik_wilkins_6814;6.0;66.1;'''Better; School ; Teach full customer company allow drive'''
kristina_collins_4003;53.0;;'''Watch which; He another week ; Image'''
jerome_espinoza_1688;41.0;4.1;'''Anything keep white know past: Way wind; Action tend and direction'''
mr_mendez_0146;66.0;34.1;'''Note: Oil coach meeting; then Crime so game any white'''
jenna_mcdowell_7037;66.0;91.1;'''Throughout; Thus Decision garden structure'''
melanie_holland_6201;93.0;65.1;'''Note: Mind what move; then Local newspaper'''
nicholas_gallagher_5739;41.0;8.1;'''(Act) ; Realize husband region and Where that'''
christine_chapman_5972;3.0;28.1;'''(Cost good learn race stay) ; Any contain at team and Help soldier'''
samuel_garcia_9860;87.0;19.1;'''Over agency total of; Throughout capital Behind able enjoy'''
jonathan_carroll_3912;61.0;45.1;'''Off; Professional night catch interest stuff race Six include'''
ryan_ewing_2493;34.0;61.1;'''Note: Between effort family others; then Price crime'''
jennifer_giles_6117;54.0;87.1;'''Wear: Those; Certainly card election'''
joshua_henderson_2466;85.0;85.1;'''Agreement system life run: Security; Message stage avoid'''
kathleen_hanson_1013;19.0;14.1;'''Should; Realize development information management never involve Example fire debate'''
erin_huffman_1720;73.0;87.1;'''Culture well often; Despite view must Summer'''
frank_hicks_1470;82.0;68.1;'''(Evidence world available pay order help) ; Most same team and These power'''
sophia_benton_1614;30.0;9.1;'''(National war still) ; Out common Mrs laugh and Maybe look'''
crystal_trevino_6893;100.0;10.1;'''(Trouble her eat) ; Each ago and Medical like your'''
whitney_tyler_5565;22.0;12.1;'''Note: Move; then Piece mother add effect'''
matthew_anthony_2134;74.0;61.1;'''Key chance outside help free; Yeah Level during'''
andrea_gomez_3234;53.0;13.1;'''(Learn phone) ; Nor laugh same economic score and Forward cell through'''
mr_escobar_6009;83.0;1.1;'''(Friend particularly book) ; Political night trip and Town animal'''
ashley_cooper_0798;23.0;70.1;'''Necessary; Series value many Return else'''
gregory_johnson_1232;7.0;84.1;'''Note: Clear prevent fund meeting; then Until style size price'''
kathy_stewart_4145;83.0;24.1;'''(Recent while across field) ; Fish type arm over represent and Buy let hit'''
shannon_gilbert_4440;38.0;22.1;'''Home itself: Follow wind; Physical two'''
elizabeth_whitehead_5320;11.0;76.1;'''Policy four; Couple ; Than exactly suggest size treatment'''
charles_hatfield_5846;91.0;74.1;'''Own executive: Officer serious; Ahead family institution'''
james_malone_6466;15.0;6.1;'''Need foot; Certainly management Couple pay'''
jeffrey_dean_0147;39.0;89.1;'''Take; Hour spend Ahead least relate'''
christopher_hawkins_2806;59.0;48.1;'''North; Various Peace politics employee task'''
seth_diaz_0555;12.0;78.1;'''Reality federal case these: Yourself system reason; Ok walk young'''
mary_wallace_6551;49.0;40.1;'''Note: Join and; then Card'''
natalie_bell_8226;;42.1;'''Space street: During believe manage; Across approach possible'''
richard_hess_3099;44.0;66.1;'''Recent can bad large: Participant popular; Rule field side process well'''
miguel_henderson_6214;73.0;3.1;'''Full career game know top: Oil operation development; Me both ten over'''
cassandra_swanson_3199;100.0;51.1;'''Give place: None institution book; About society cell'''
angela_cox_8087;50.0;71.1;'''World wife: Hot instead image democratic; Position country article onto hour level'''
tyler_clark_2746;1.0;61.1;'''Note: Throughout top he; then Me onto'''
tracy_taylor_1227;35.0;57.1;'''(Forget family) ; Laugh wear first program and Treat now'''
janet_harris_1921;67.0;22.1;'''Note: Put; then Party entire manage'''
dustin_alvarez_7761;62.0;83.1;'''(Often will change) ; Identify federal suffer and News capital out cold'''
