name	total_count	comment
Sara Smith	72.0	'''List; Story business traditional 	 Republican last'''
David Miller	72.0	'''Majority court	 Stuff City'''
Theresa Sexton	43.0	'''(Produce its) 	 Rich home particularly understand and Poor so sell to'''
Jessica Johnson	22.0	'''Avoid public coach institution member fast	 Election term girl Whom'''
Trevor Moody	54.0	'''(Sport community) 	 Body light eight and Get your'''
Maria Vance	27.0	'''Note: Garden ground chance	 then Like can mother admit suddenly'''
Johnny Castillo	34.0	'''Several short surface	 Night upon make at along Western culture last'''
David Bowers	4.0	'''Mean; Sure call box table technology 	 Production war'''
Veronica Lambert	39.0	'''(Each cover true) 	 Federal and List range'''
l	21.0	'''Tv attention face lay perhaps; Analysis 	 Case lay onto'''
Amy Cooke	17.0	'''Late big investment represent: Decade right move	 Record son'''
Ryan Smith	22.0	'''(Bank modern teach) 	 Nothing remain think and Boy'''
Lauren Shepherd	91.0	'''Early course relationship: Herself lead	 History knowledge stuff carry'''
Christine Calderon	82.0	'''Student everybody different: Common	 Lead data young'''
Ashley Jones	76.0	'''Agency program; Bit between in meet between 	 Policy expect rise'''
Lindsey Jones	76.0	'''Several push exist shoulder right: Certain I	 Beat agreement'''
Brittany Harris MD	58.0	'''Prove single	 Yourself they control report money term Stand if gas'''
Ethan Simpson	44.0	'''(Among attack economy job speak three) 	 Show speak cover if school yet and Ask week line available clear air'''
John Pearson	36.0	'''Two medical detail: Computer environment whose pay their tax	 Again itself'''
Samuel Smith	27.0	'''Society main: Never	 Prepare experience work kid shoulder'''
Monique Brown		'''Note: Whose sit wind	 then News crime medical'''
Andrew Rogers	40.0	'''Long; Point 	 Water between evidence'''
Stephen Mitchell	33.0	'''(Hear final international various) 	 Their and Every special'''
