# This is a comment line to skip
name;price;total_count;review
Xavier Marshall;48.0;50.1;"""Music happen end never; Break left Man chance"""
Janice Ware;25.0;53.1;"""Through interview weight usually: Each should PM own; Billion simply focus"""
Sabrina Tucker;84.0;96.1;"""Pretty end perform: Attorney miss student; History turn among voice"""
Connie Hill;76.0;26.1;"""Those task building: Leave; Defense determine"""
Christopher Mcgee;41.0;74.1;"""Note: Popular serious attorney; then Next dream"""
Mark Rodriguez;90.0;63.1;"""Note: South; then Court to same forget step"""
Alexander Salazar;40.0;1.1;"""Today third: Same improve understand find; Senior"""
Melanie Baird;84.0;66.1;"""Line box seem; Common thus Consider sign respond nearly"""
Elizabeth Lane;93.0;85.1;"""Note: Research; then Hotel"""
Lance Wallace;55.0;30.1;"""(Himself general effect) ; Make pretty and Pattern dinner"""
Rachel Garcia;2.0;90.1;"""(Record yet full newspaper) ; Recognize attack read rate and Everyone Mr position occur television edge"""
Robert Leon;91.0;4.1;"""Product marriage: Various; Be travel"""
D;84.0;85.1;"""(Book specific develop) ; Close and Believe"""
Dennis Brown;52.0;89.1;"""Note: Old heart; then Generation way find"""
Jeffrey White;24.0;86.1;"""Three condition else reality; Believe see Single board apply base he enjoy"""
Mason Gibson;23.0;6.1;"""His recently: Director worker; Interest challenge box mind"""
Julia Moore;50.0;32.1;"""Trouble: Stock; Agree every"""
Jose Lopez;60.0;81.1;"""(Exist perform claim) ; Cell main there body and Safe be parent condition compare"""
Jennifer Gardner;49.0;35.1;"""Note: Consumer why; then Thing sort international whole"""
Henry Sanchez;;22.1;"""(Push) ; Western and Summer bring artist"""
Kenneth Smith;14.0;5.1;"""Than must; Half Company agency buy right"""
Theodore Baker;68.0;38.1;"""Industry; Make must However increase recognize dark cause"""
Andrew Wallace;53.0;72.1;"""Window could; Identify middle occur ; Couple nor six fund suggest"""
Tina Davis;23.0;35.1;"""(Own stand) ; Fish rest and Agency serious customer"""
Debbie Nguyen;2.0;;"""Really actually however; Again worker real way wonder shake ; Woman"""
Keith Thomas;31.0;41.1;"""Sometimes: Structure; Management although"""
Anthony Bennett;1.0;32.1;"""Among: Research exactly; Rule already her"""
Manuel Wilson;55.0;82.1;"""Cause down myself; Deep born Follow trip Democrat go"""
Jerry Matthews;56.0;77.1;"""Note: Population; then Choose industry letter fly cost"""
Rebecca Molina;31.0;32.1;"""(Manage) ; Truth enough and Recent star miss most"""
Barry Dunn;33.0;50.1;"""(Out religious) ; Leg college she with necessary and Price high"""
Jessica Jones;79.0;68.1;"""Base number stop stand: Very; Thought population life anyone"""
Timothy Barry;21.0;10.1;"""Wait: Show sell protect; Again off time"""
Tyler Wilson;35.0;5.1;"""Soldier much box professional: Require woman end believe training; Gun dream"""
Alan Gutierrez;57.0;13.1;"""Student week; Partner ; Mind tax"""
Travis Dunn;77.0;28.1;"""Note: Particularly benefit; then Pick nearly message until often"""
Natasha Rush;4.0;19.1;"""Wrong particular leg deep; Start economy fill all Man join yeah"""
Casey Howell;69.0;36.1;"""Miss force: Camera government economy red only; Front speech"""
