name,username,rating,summary,message
Rachel Smith-O'Connor,rachel_connor_6792,89.0,"""Note: Similique veniam adipisci dolorum delectus, then Libero nemo aliquam""","""Nisi explicabo: Eos quia soluta, Eum ipsa quisquam"""
Shannon Mitchell,shannon_mitchell_4807,16.0,"""Similique minus: Accusantium temporibus sed, Ad cum optio facilis nemo""","""Recusandae distinctio recusandae, At ullam voluptates saepe Nisi consectetur ut"""
Ms Christine Akhtar,ms_akhtar_4793,92.0,"""Note: Eaque blanditiis, then Reiciendis illum eaque corrupti laboriosam""","""Note: Et magni, then Voluptatibus itaque"""
Mary Patel,mary_patel_3838,29.0,"""Optio consectetur velit; Maiores saepe voluptatum molestiae et sed , Ipsum corporis""","""Note: Fuga perferendis quas eligendi aliquid, then Eveniet veniam velit"""
Olivia Vaughan,olivia_vaughan_7495,6.0,"""(Exercitationem) , Itaque tempore maiores illo minima repudiandae and Occaecati voluptas corporis quo""","""Dolores soluta eligendi harum animi, Numquam Repellendus"""
Ian Whitehead-Harris,ian_harris_8311,88.0,"""Omnis minima, Molestias Doloribus atque quos iusto tempora""","""Cum: Laborum similique, Consequatur neque accusantium officiis"""
Dr Zoe Rogers,dr_rogers_3465,7.0,"""Note: Fugiat delectus, then Molestias labore consequuntur""","""(Magni sunt) , Ipsam ea and Distinctio repellat"""
Heather Booth-Fletcher,heather_fletcher_8725,52.0,"""Natus sunt alias quam: Voluptate amet, Perferendis""","""Incidunt fuga, Animi tempora tempora sequi totam Molestias impedit"""
Gregory Woodward,gregory_woodward_9345,88.0,"""Note: Ad odio sed, then At sint in odio sapiente necessitatibus""","""Voluptas iste harum magnam, Alias Laudantium alias ratione"""
Pamela Atkinson,pamela_atkinson_3972,7.0,"""(Recusandae ipsum est tempora) , Impedit consectetur and Quo ipsa""","""Porro totam; Optio tempore et provident , Mollitia"""
Dr Lawrence Smith,dr_smith_5839,40.0,"""(Explicabo deserunt) , Aliquid aspernatur and Officiis laboriosam unde""","""(Sit ex nesciunt quo) , Odit and Similique"""
