username,name,age,salary,score,note,message
aimee_bibi_4765,Aimee Bibi,83.0,42.1,77.2,"""Quidem vel cum; Veritatis distinctio maxime nostrum , Recusandae""","""Aliquid suscipit voluptate ipsa; Ullam tempore placeat rem amet totam , Sunt culpa dolores culpa blanditiis"""
frank_potts_4070,Frank Wood-Potts,33.0,23.1,66.2,"""Qui ad excepturi enim dolor: Repellendus quos, Sint""","""Note: Perferendis corporis unde, then Vel"""
wendy_patel_1996,Wendy Patel,67.0,61.1,44.2,"""Note: Assumenda, then Natus fugiat quisquam magnam""","""(Doloribus iste corporis esse dicta quae) , Ullam vel and Eveniet iure"""
stephanie_summers_1643,Stephanie Summers,41.0,46.1,51.2,"""Dignissimos rem consequatur ullam: Dolores aspernatur labore ex, Dicta corporis explicabo nostrum ut voluptas optio""","""(Autem tenetur autem velit) , Quos placeat accusantium and Sunt eveniet soluta consequuntur"""
miss_simpson_9351,Miss Rosemary Simpson,45.0,97.1,32.2,"""Ipsam non; Sint iste harum pariatur blanditiis enim debitis , Vero hic""","""Quod cumque; Voluptate at , Cupiditate sed iste enim"""
pauline_campbell_1063,Pauline Campbell,23.0,32.1,85.2,"""Quo at fugiat; At unde , Laborum minus natus deleniti""","""Note: Molestiae impedit, then Fugit illo ipsum laboriosam"""
rhys_douglas_3445,Rhys Douglas,2.0,34.1,83.2,"""Nemo eaque, Eaque praesentium quo Corrupti velit recusandae nihil""","""Note: Incidunt culpa, then Incidunt provident soluta"""
susan_day_0206,Susan Day,81.0,4.1,47.2,"""Note: Doloribus aliquid perferendis, then Ipsum deserunt voluptatum""","""Inventore corrupti: Nostrum, Quod quidem"""
mrs_wilson_9871,Mrs Elizabeth Wilson,18.0,22.1,67.2,"""Mollitia exercitationem: Ad iusto, Fugiat qui""","""Quas consequatur, Minus aut fuga quod accusantium dolorum Earum rem hic unde corporis"""
kevin_palmer_1014,Kevin Palmer,39.0,45.1,16.2,"""Adipisci odit quisquam iste ex dicta: Eaque, Perferendis deserunt""","""Blanditiis perferendis quas pariatur; Voluptatum tenetur dolores , Sunt eos amet voluptate corporis"""
hannah_davies_4941,Hannah Davies,,2.1,16.2,"""Nisi consequuntur; Quidem deleniti , Velit numquam eaque commodi numquam tenetur""","""Note: Esse qui fugiat, then Laudantium accusantium"""
laura_craig_6102,Laura Craig,37.0,34.1,28.2,"""Possimus nulla: Reprehenderit asperiores quae, Eius voluptas fugit""","""(Alias esse fuga) , Cum totam iusto ipsum and Similique ab suscipit minima"""
bruce_reid_2911,Bruce Reid,58.0,8.1,30.2,"""Possimus ipsam, Similique maiores minus deserunt soluta Blanditiis corporis porro""","""Dicta possimus quam atque; Magni velit quia non , Numquam officiis"""
marie_dobson_3555,Marie Dobson,12.0,50.1,81.2,"""(Est harum repellat) , Ullam earum and Voluptates sit officiis est""","""Exercitationem enim; Non sapiente , Exercitationem exercitationem voluptates qui esse a"""
patricia_yates_8108,Patricia Yates,83.0,55.1,69.2,"""Animi doloremque dolor excepturi; Veritatis nostrum laudantium sint , Repellat excepturi""","""Note: Quis, then Quisquam nam provident"""
roy_turner_7965,Roy Quinn-Turner,93.0,14.1,85.2,"""Soluta sapiente blanditiis harum, Modi debitis illo atque Inventore dolorum consequuntur illo""","""Alias perspiciatis, Odio voluptatibus excepturi quidem eius Dolores necessitatibus aspernatur facilis"""
helen_williams_6072,x,13.0,99.1,98.2,"""Eligendi facere: Velit natus hic, Suscipit iusto""","""Doloremque et minus labore tempora; Ut , Corrupti minima harum dicta amet"""
john_berry_6828,John Berry,79.0,37.1,69.2,"""Odio fugit nam aliquam; Culpa suscipit , Culpa accusantium""","""(Repudiandae iure) , Mollitia and Distinctio eligendi asperiores cum"""
mrs_bailey_0445,Mrs Gillian Bailey,4.0,91.1,70.2,"""(Debitis culpa corporis) , Tempora quam rerum magnam and Eveniet dicta commodi""","""Note: Incidunt quam dolorem, then Veniam est non laboriosam"""
brenda_harding_7253,Brenda Harding,88.0,22.1,76.2,"""Note: Possimus ab reprehenderit, then Vero molestiae culpa est molestiae facilis""","""Beatae, Alias fuga ipsam At iure numquam voluptatibus"""
callum_jenkins_2697,Callum Jenkins,12.0,51.1,10.2,"""A quaerat: Amet quo quidem ea eaque, Explicabo qui harum""","""Note: Pariatur assumenda enim hic, then Odit"""
thomas_wallace_4257,Thomas Wallace,95.0,58.1,21.2,"""Note: Consequuntur ducimus molestias, then Dolores quas provident""","""Facilis quibusdam illo rem deserunt; Nostrum totam nesciunt ex esse , Eius consequatur voluptas"""
michael_wright_2863,Michael Wright,34.0,83.1,19.2,"""Note: Sit a exercitationem, then Nihil quis""","""Et consectetur expedita, Ad Quis officiis"""
