name,rating,note
Ashley Dougherty,39.0,'''Back security year; Trip series structure , Fast'''
Martha Mcclure,31.0,'''Alone discover: New go, Claim edge'''
Rebekah Parks,57.0,'''Owner world visit: Rich, Religious appear respond present'''
Amy Conner,,'''(Phone respond) , Situation thus true and Finally'''
Travis Robertson,17.0,'''Company space, Police significant Father machine section call page'''
Benjamin Wolf,37.0,'''Note: More, then Economy size money'''
Julia White,82.0,'''Chance morning public task race process; Direction air war message , Hotel floor court'''
Lydia Mercado,68.0,'''Forget memory pretty record seat; Will case , Two value'''
Anthony Black,23.0,'''Defense scientist four, Church Physical gun whose option'''
Mark Watkins,54.0,'''Physical on: Prevent himself today travel, Fly'''
Taylor Smith,43.0,'''Note: Already seek some here among, then Our herself environment'''
Willie Robbins,49.0,'''Heavy question son: Around under save rich set, Amount'''
Charles Madden,58.0,'''Contain month, Peace probably throughout Claim specific difference'''
Erika Hudson,95.0,'''Carry: Figure south baby receive, Kid end her yeah'''
o,59.0,'''(Institution matter) , Other hear and Laugh'''
Crystal Marsh,77.0,'''Market; More , Structure then'''
Alexandra Martin,39.0,'''Prove piece fact pressure; Candidate theory affect , Stop list charge space'''
Amber Maddox,19.0,'''Mention, Feel feeling art stop itself well Break kid apply draw here expert'''
Adrienne Wood,80.0,'''Sense news: Effect than toward human woman responsibility, Glass common night across candidate'''
Laura Berry,71.0,'''Note: Thing story pay take upon, then News news less amount'''
Jeremy Alvarez,35.0,'''Various go minute; Base anyone , Live word friend field'''
Rebekah Miller,9.0,'''Set wish before cut foot media: Grow police, Energy foreign'''
Mr. Hayden Houston,86.0,'''Station rather sell: Many back, Else future'''
Taylor Rich,60.0,'''(Successful read option) , Focus news million structure so and Policy sign shake open'''
Ashlee Gonzalez,35.0,'''Note: Drop drive, then Maintain'''
Sarah Welch,35.0,'''Note: Off agent, then Win'''
Eugene Cox,66.0,'''On war civil participant say; Painting late run visit audience home also , Serve seat'''
Kyle Olsen,38.0,'''Accept feeling and; Go take , Will chair skill'''
Sarah Pratt,62.0,'''(Yes) , Feeling and Character style day'''
Rebekah Martinez,60.0,'''(Traditional pull) , Car imagine skill through side occur and Agree side thing'''
Daniel Howell,8.0,'''Vote follow when impact; Since authority , Line'''
Ryan Mosley,46.0,'''Student analysis production common; Speak until contain wish body , Stop common relate'''
Thomas Flores,56.0,'''Personal seem: There begin note just, Effort rest six may'''
Robert Kemp,17.0,'''These environmental anyone; Hotel throughout people , Computer religious'''
Ann Roberts,54.0,'''Factor recently few; Good Democrat develop federal modern , Office chair'''
Tracie Goodman,28.0,'''Note: Institution style treat, then Election sound writer'''
Patrick Goodman,9.0,'''Spend which painting opportunity: Floor good, Tax want'''
Ralph Daniel,19.0,'''Note: Wind, then Attorney national industry American cause medical'''
Sara Tucker,1.0,'''(Order wrong) , Allow word and Rate Mr'''
Christopher Washington,18.0,'''One reality: New American, Region western manager enjoy meet eye'''
Melissa Turner,83.0,'''Note: Painting ten thought, then Local'''
